"Label (Grouping)","Trinity County, California!!Total!!Estimate","Trinity County, California!!Total!!Margin of Error","Trinity County, California!!Male!!Estimate","Trinity County, California!!Male!!Margin of Error","Trinity County, California!!Female!!Estimate","Trinity County, California!!Female!!Margin of Error"
"Total population","13,693","*****","7,015","±205","6,678","±205"
"AGE","","","","","",""
"    Under 5 years","5.9%","±0.8","5.0%","±1.7","7.0%","±1.8"
"    5 to 9 years","4.4%","±1.2","3.8%","±2.0","5.0%","±1.7"
"    10 to 14 years","5.6%","±1.2","4.4%","±1.4","6.8%","±2.5"
"    15 to 19 years","4.7%","±0.8","5.0%","±1.4","4.4%","±1.0"
"    20 to 24 years","4.4%","±0.9","4.0%","±1.5","4.8%","±1.0"
"    25 to 29 years","4.5%","±0.7","5.3%","±1.3","3.6%","±0.3"
"    30 to 34 years","5.1%","±0.5","5.4%","±0.9","4.7%","±0.7"
"    35 to 39 years","6.3%","±1.3","8.6%","±1.5","4.0%","±1.8"
"    40 to 44 years","3.7%","±1.2","2.1%","±1.1","5.3%","±1.9"
"    45 to 49 years","7.1%","±0.4","6.7%","±0.5","7.6%","±0.8"
"    50 to 54 years","9.1%","±0.5","9.0%","±0.7","9.2%","±0.8"
"    55 to 59 years","10.4%","±1.4","10.5%","±2.0","10.3%","±1.6"
"    60 to 64 years","8.9%","±1.4","8.8%","±1.8","8.9%","±1.9"
"    65 to 69 years","6.9%","±1.0","8.8%","±1.3","4.8%","±1.3"
"    70 to 74 years","5.2%","±0.9","4.8%","±1.1","5.7%","±1.3"
"    75 to 79 years","3.4%","±0.9","4.0%","±1.3","2.7%","±1.1"
"    80 to 84 years","1.5%","±0.6","1.4%","±0.8","1.5%","±0.9"
"    85 years and over","3.1%","±1.1","2.5%","±1.3","3.7%","±1.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","9.9%","±0.9","8.2%","±2.1","11.7%","±2.2"
"    15 to 17 years","3.5%","±0.4","3.2%","±0.3","3.8%","±0.8"
"    18 to 24 years","5.6%","±0.6","5.8%","±0.9","5.3%","±0.9"
"    15 to 44 years","28.6%","±0.8","30.3%","±1.6","26.8%","±1.3"
"    16 years and over","83.0%","±0.9","86.1%","±2.7","79.8%","±2.4"
"    18 years and over","80.6%","±0.9","83.6%","±2.7","77.5%","±2.4"
"    60 years and over","28.9%","±1.4","30.3%","±2.0","27.4%","±2.1"
"    62 years and over","25.7%","±1.0","27.0%","±1.7","24.3%","±1.8"
"    65 years and over","20.0%","±0.4","21.5%","±1.0","18.5%","±0.6"
"    75 years and over","7.9%","±0.3","7.9%","±0.5","8.0%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","49.2","±0.5","49.9","±1.1","48.3","±1.5"
"    Sex ratio (males per 100 females)","105.0","±6.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.0","±2.6","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","33.0","±1.0","(X)","(X)","(X)","(X)"
"        Child dependency ratio","31.9","±1.9","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.9%","(X)","(X)","(X)","(X)","(X)"
