"Label (Grouping)","Yuba County, California!!Total!!Estimate","Yuba County, California!!Total!!Margin of Error","Yuba County, California!!Male!!Estimate","Yuba County, California!!Male!!Margin of Error","Yuba County, California!!Female!!Estimate","Yuba County, California!!Female!!Margin of Error"
"Total population","73,897","*****","37,471","±101","36,426","±101"
"AGE","","","","","",""
"    Under 5 years","8.3%","±0.1","8.4%","±0.1","8.1%","±0.1"
"    5 to 9 years","8.1%","±0.5","8.0%","±0.8","8.3%","±0.7"
"    10 to 14 years","7.2%","±0.5","7.9%","±0.8","6.5%","±0.7"
"    15 to 19 years","6.7%","±0.2","6.9%","±0.4","6.6%","±0.3"
"    20 to 24 years","7.7%","±0.2","8.2%","±0.3","7.3%","±0.2"
"    25 to 29 years","8.2%","±0.2","8.4%","±0.3","8.0%","±0.2"
"    30 to 34 years","7.2%","±0.2","7.3%","±0.2","7.2%","±0.2"
"    35 to 39 years","5.9%","±0.5","6.0%","±0.6","5.8%","±0.6"
"    40 to 44 years","6.0%","±0.4","5.8%","±0.6","6.3%","±0.6"
"    45 to 49 years","5.7%","±0.2","5.7%","±0.3","5.6%","±0.2"
"    50 to 54 years","6.2%","±0.2","6.0%","±0.2","6.3%","±0.2"
"    55 to 59 years","6.4%","±0.3","6.3%","±0.6","6.4%","±0.6"
"    60 to 64 years","4.9%","±0.3","4.6%","±0.6","5.1%","±0.5"
"    65 to 69 years","4.4%","±0.3","4.2%","±0.4","4.6%","±0.5"
"    70 to 74 years","2.6%","±0.3","2.4%","±0.4","2.8%","±0.5"
"    75 to 79 years","1.9%","±0.3","1.7%","±0.3","2.0%","±0.4"
"    80 to 84 years","1.3%","±0.2","1.2%","±0.3","1.3%","±0.3"
"    85 years and over","1.3%","±0.3","1.0%","±0.3","1.6%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.4%","±0.1","15.9%","±0.1","14.8%","±0.2"
"    15 to 17 years","4.2%","±0.1","4.4%","±0.2","4.1%","±0.2"
"    18 to 24 years","10.2%","±0.2","10.7%","±0.3","9.7%","±0.1"
"    15 to 44 years","41.8%","±0.2","42.5%","±0.4","41.2%","±0.3"
"    16 years and over","74.8%","±0.3","74.2%","±0.4","75.5%","±0.5"
"    18 years and over","72.1%","*****","71.4%","±0.2","72.9%","±0.2"
"    60 years and over","16.3%","±0.3","15.2%","±0.6","17.5%","±0.5"
"    62 years and over","14.2%","±0.4","13.1%","±0.5","15.3%","±0.6"
"    65 years and over","11.5%","±0.1","10.6%","±0.1","12.4%","±0.2"
"    75 years and over","4.4%","±0.1","3.9%","±0.1","5.0%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.2","±0.2","31.1","±0.4","33.2","±0.5"
"    Sex ratio (males per 100 females)","102.9","±0.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.8","±0.3","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","18.9","±0.2","(X)","(X)","(X)","(X)"
"    Child dependency ratio","46.0","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)"
