"Label (Grouping)","Yuba County, California!!Total!!Estimate","Yuba County, California!!Total!!Margin of Error","Yuba County, California!!Male!!Estimate","Yuba County, California!!Male!!Margin of Error","Yuba County, California!!Female!!Estimate","Yuba County, California!!Female!!Margin of Error"
"Total population","72,244","*****","36,580","±124","35,664","±124"
"AGE","","","","","",""
"    Under 5 years","8.5%","±0.1","8.9%","±0.2","8.2%","±0.2"
"    5 to 9 years","7.9%","±0.6","8.2%","±0.8","7.6%","±0.9"
"    10 to 14 years","7.9%","±0.5","8.0%","±0.8","7.9%","±0.8"
"    15 to 19 years","7.5%","±0.2","7.9%","±0.4","7.1%","±0.2"
"    20 to 24 years","7.5%","±0.2","7.5%","±0.3","7.6%","±0.3"
"    25 to 29 years","7.7%","±0.2","7.7%","±0.2","7.7%","±0.3"
"    30 to 34 years","7.1%","±0.2","7.3%","±0.4","7.0%","±0.2"
"    35 to 39 years","5.9%","±0.4","6.0%","±0.6","5.8%","±0.6"
"    40 to 44 years","6.2%","±0.4","6.1%","±0.5","6.3%","±0.6"
"    45 to 49 years","6.6%","±0.2","6.5%","±0.3","6.7%","±0.4"
"    50 to 54 years","6.5%","±0.2","6.4%","±0.3","6.6%","±0.1"
"    55 to 59 years","5.3%","±0.4","5.5%","±0.6","5.1%","±0.6"
"    60 to 64 years","5.2%","±0.4","4.9%","±0.5","5.5%","±0.6"
"    65 to 69 years","3.2%","±0.3","3.3%","±0.4","3.2%","±0.4"
"    70 to 74 years","2.5%","±0.3","2.3%","±0.3","2.7%","±0.4"
"    75 to 79 years","1.5%","±0.2","1.7%","±0.3","1.4%","±0.3"
"    80 to 84 years","1.7%","±0.2","1.2%","±0.3","2.3%","±0.4"
"    85 years and over","1.1%","±0.2","0.8%","±0.3","1.4%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.8%","±0.2","16.2%","±0.3","15.5%","±0.2"
"    15 to 17 years","4.6%","±0.1","4.7%","±0.3","4.4%","±0.2"
"    18 to 24 years","10.5%","±0.2","10.7%","±0.2","10.2%","±0.3"
"    15 to 44 years","41.9%","±0.3","42.5%","±0.4","41.4%","±0.4"
"    16 years and over","74.4%","±0.3","73.7%","±0.4","75.2%","±0.4"
"    18 years and over","71.1%","±0.1","70.3%","±0.2","71.9%","±0.2"
"    60 years and over","15.3%","±0.4","14.1%","±0.5","16.5%","±0.6"
"    62 years and over","12.9%","±0.4","11.9%","±0.5","13.9%","±0.6"
"    65 years and over","10.1%","±0.2","9.2%","±0.3","11.0%","±0.2"
"    75 years and over","4.4%","±0.2","3.7%","±0.2","5.0%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.9","±0.3","31.1","±0.3","32.7","±0.4"
"    Sex ratio (males per 100 females)","102.6","±0.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.0","±0.6","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","16.6","±0.4","(X)","(X)","(X)","(X)"
"        Child dependency ratio","47.5","±0.3","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.7%","(X)","(X)","(X)","(X)","(X)"
