"Label (Grouping)","Riverside County, California!!Total!!Estimate","Riverside County, California!!Total!!Margin of Error","Riverside County, California!!Male!!Estimate","Riverside County, California!!Male!!Margin of Error","Riverside County, California!!Female!!Estimate","Riverside County, California!!Female!!Margin of Error"
"Total population","2,323,892","*****","1,156,126","*****","1,167,766","*****"
"AGE","","","","","",""
"    Under 5 years","6.8%","*****","7.0%","*****","6.6%","*****"
"    5 to 9 years","7.4%","±0.1","7.6%","±0.1","7.1%","±0.1"
"    10 to 14 years","7.5%","±0.1","7.7%","±0.1","7.4%","±0.1"
"    15 to 19 years","7.7%","*****","7.9%","*****","7.5%","*****"
"    20 to 24 years","7.4%","*****","7.6%","*****","7.2%","*****"
"    25 to 29 years","6.9%","*****","7.1%","*****","6.7%","*****"
"    30 to 34 years","6.6%","*****","6.7%","*****","6.6%","*****"
"    35 to 39 years","6.4%","±0.1","6.3%","±0.1","6.5%","±0.1"
"    40 to 44 years","6.4%","±0.1","6.4%","±0.1","6.4%","±0.1"
"    45 to 49 years","6.5%","*****","6.6%","*****","6.4%","*****"
"    50 to 54 years","6.5%","*****","6.6%","*****","6.4%","*****"
"    55 to 59 years","5.7%","±0.1","5.7%","±0.1","5.8%","±0.1"
"    60 to 64 years","5.0%","±0.1","4.8%","±0.1","5.1%","±0.1"
"    65 to 69 years","4.3%","±0.1","4.0%","±0.1","4.6%","±0.1"
"    70 to 74 years","3.1%","±0.1","3.0%","±0.1","3.3%","±0.1"
"    75 to 79 years","2.4%","±0.1","2.2%","±0.1","2.6%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.6%","±0.1","1.9%","±0.1"
"    85 years and over","1.6%","±0.1","1.2%","±0.1","2.0%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","14.9%","*****","15.3%","*****","14.6%","*****"
"    15 to 17 years","4.7%","*****","4.8%","*****","4.6%","*****"
"    18 to 24 years","10.4%","*****","10.7%","*****","10.1%","*****"
"    15 to 44 years","41.4%","*****","42.1%","*****","40.8%","*****"
"    16 years and over","76.7%","±0.1","76.1%","±0.1","77.3%","±0.1"
"    18 years and over","73.6%","*****","73.0%","*****","74.2%","*****"
"    60 years and over","18.2%","±0.1","16.9%","±0.1","19.4%","±0.1"
"    62 years and over","16.1%","±0.1","14.8%","±0.1","17.3%","±0.1"
"    65 years and over","13.2%","*****","12.1%","*****","14.3%","*****"
"    75 years and over","5.8%","±0.1","5.0%","±0.1","6.5%","*****"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.8","±0.1","33.8","±0.1","35.7","±0.1"
"    Sex ratio (males per 100 females)","99.0","*****","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.5","*****","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","21.8","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","43.7","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
