"Label (Grouping)","Riverside County, California!!Total!!Estimate","Riverside County, California!!Total!!Margin of Error","Riverside County, California!!Male!!Estimate","Riverside County, California!!Male!!Margin of Error","Riverside County, California!!Female!!Estimate","Riverside County, California!!Female!!Margin of Error"
"Total population","2,268,783","*****","1,129,796","±255","1,138,987","±255"
"AGE","","","","","",""
"    Under 5 years","7.2%","*****","7.3%","±0.1","7.0%","±0.1"
"    5 to 9 years","7.5%","±0.2","7.5%","±0.3","7.4%","±0.3"
"    10 to 14 years","7.8%","±0.2","8.1%","±0.3","7.5%","±0.3"
"    15 to 19 years","8.1%","±0.1","8.3%","±0.1","7.9%","±0.1"
"    20 to 24 years","7.5%","±0.1","7.8%","±0.1","7.3%","±0.1"
"    25 to 29 years","6.6%","±0.1","6.8%","±0.1","6.4%","±0.1"
"    30 to 34 years","6.5%","±0.1","6.6%","±0.1","6.4%","±0.1"
"    35 to 39 years","6.6%","±0.2","6.5%","±0.3","6.6%","±0.3"
"    40 to 44 years","6.5%","±0.2","6.5%","±0.3","6.5%","±0.3"
"    45 to 49 years","6.6%","±0.1","6.7%","±0.1","6.5%","±0.1"
"    50 to 54 years","6.5%","±0.1","6.6%","±0.1","6.4%","±0.1"
"    55 to 59 years","5.5%","±0.2","5.3%","±0.2","5.7%","±0.2"
"    60 to 64 years","4.8%","±0.2","4.7%","±0.2","4.8%","±0.2"
"    65 to 69 years","4.0%","±0.1","3.8%","±0.2","4.3%","±0.2"
"    70 to 74 years","2.9%","±0.1","2.7%","±0.1","3.0%","±0.2"
"    75 to 79 years","2.3%","±0.1","2.0%","±0.2","2.5%","±0.2"
"    80 to 84 years","1.7%","±0.1","1.7%","±0.2","1.8%","±0.2"
"    85 years and over","1.5%","±0.1","1.0%","±0.1","1.9%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.3%","±0.1","15.6%","±0.1","15.0%","±0.1"
"    15 to 17 years","4.9%","±0.1","5.0%","±0.1","4.8%","±0.1"
"    18 to 24 years","10.7%","±0.1","11.0%","±0.1","10.3%","±0.1"
"    15 to 44 years","41.7%","±0.1","42.4%","±0.1","41.0%","±0.1"
"    16 years and over","75.8%","±0.1","75.2%","±0.2","76.4%","±0.2"
"    18 years and over","72.6%","*****","72.0%","±0.1","73.2%","±0.1"
"    60 years and over","17.2%","±0.2","16.0%","±0.2","18.3%","±0.2"
"    62 years and over","15.3%","±0.2","14.2%","±0.2","16.5%","±0.2"
"    65 years and over","12.4%","±0.1","11.3%","±0.1","13.5%","±0.1"
"    75 years and over","5.5%","±0.1","4.8%","±0.1","6.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.0","±0.1","33.1","±0.2","35.1","±0.1"
"    Sex ratio (males per 100 females)","99.2","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","66.0","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","20.6","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","45.5","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
