"Label (Grouping)","Riverside County, California!!Total!!Estimate","Riverside County, California!!Total!!Margin of Error","Riverside County, California!!Male!!Estimate","Riverside County, California!!Male!!Margin of Error","Riverside County, California!!Female!!Estimate","Riverside County, California!!Female!!Margin of Error"
"Total population","2,387,741","*****","1,187,627","±558","1,200,114","±558"
"AGE","","","","","",""
"    Under 5 years","6.6%","*****","6.7%","±0.1","6.5%","±0.1"
"    5 to 9 years","7.2%","±0.2","7.5%","±0.3","6.9%","±0.4"
"    10 to 14 years","7.3%","±0.2","7.4%","±0.3","7.2%","±0.4"
"    15 to 19 years","7.4%","±0.1","7.6%","±0.1","7.3%","±0.1"
"    20 to 24 years","7.2%","±0.1","7.3%","±0.1","7.0%","±0.1"
"    25 to 29 years","7.2%","±0.1","7.4%","±0.1","6.9%","±0.1"
"    30 to 34 years","6.6%","±0.1","6.8%","±0.1","6.5%","±0.1"
"    35 to 39 years","6.4%","±0.2","6.4%","±0.3","6.5%","±0.3"
"    40 to 44 years","6.2%","±0.2","6.2%","±0.3","6.2%","±0.3"
"    45 to 49 years","6.4%","±0.1","6.5%","±0.1","6.4%","±0.1"
"    50 to 54 years","6.4%","±0.1","6.4%","±0.1","6.3%","±0.1"
"    55 to 59 years","6.1%","±0.2","6.2%","±0.2","6.0%","±0.3"
"    60 to 64 years","5.1%","±0.2","4.9%","±0.2","5.3%","±0.3"
"    65 to 69 years","4.7%","±0.1","4.3%","±0.2","5.0%","±0.2"
"    70 to 74 years","3.2%","±0.1","3.1%","±0.2","3.3%","±0.2"
"    75 to 79 years","2.5%","±0.1","2.4%","±0.2","2.6%","±0.2"
"    80 to 84 years","1.7%","±0.1","1.4%","±0.1","2.0%","±0.2"
"    85 years and over","1.7%","±0.1","1.4%","±0.1","2.1%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","14.6%","±0.1","14.9%","±0.1","14.2%","±0.1"
"    15 to 17 years","4.6%","±0.1","4.6%","±0.1","4.5%","±0.1"
"    18 to 24 years","10.0%","±0.1","10.3%","±0.1","9.8%","±0.1"
"    15 to 44 years","41.0%","±0.1","41.7%","±0.1","40.4%","±0.1"
"    16 years and over","77.3%","±0.1","76.7%","±0.2","77.9%","±0.2"
"    18 years and over","74.3%","*****","73.7%","±0.1","74.9%","±0.1"
"    60 years and over","19.0%","±0.2","17.6%","±0.2","20.3%","±0.3"
"    62 years and over","16.8%","±0.1","15.4%","±0.2","18.1%","±0.2"
"    65 years and over","13.9%","±0.1","12.7%","±0.1","15.0%","±0.1"
"    75 years and over","6.0%","±0.1","5.3%","±0.1","6.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","35.3","±0.1","34.5","±0.1","36.3","±0.2"
"    Sex ratio (males per 100 females)","99.0","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.6","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","23.0","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","42.6","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.9%","(X)","(X)","(X)","(X)","(X)"
