"Label (Grouping)","Tuolumne County, California!!Total!!Estimate","Tuolumne County, California!!Total!!Margin of Error","Tuolumne County, California!!Male!!Estimate","Tuolumne County, California!!Male!!Margin of Error","Tuolumne County, California!!Female!!Estimate","Tuolumne County, California!!Female!!Margin of Error"
"Total population","53,864","*****","28,134","±108","25,730","±108"
"AGE","","","","","",""
"    Under 5 years","4.2%","±0.2","3.9%","±0.1","4.6%","±0.3"
"    5 to 9 years","5.2%","±0.4","5.2%","±0.7","5.2%","±0.6"
"    10 to 14 years","4.2%","±0.4","4.2%","±0.7","4.3%","±0.6"
"    15 to 19 years","5.3%","±0.2","5.6%","±0.4","4.9%","±0.3"
"    20 to 24 years","5.5%","±0.3","6.2%","±0.5","4.8%","±0.3"
"    25 to 29 years","5.7%","±0.3","6.2%","±0.5","5.1%","±0.3"
"    30 to 34 years","5.9%","±0.3","6.7%","±0.4","5.0%","±0.5"
"    35 to 39 years","5.5%","±0.6","5.9%","±0.8","5.0%","±0.9"
"    40 to 44 years","4.9%","±0.7","5.2%","±0.9","4.5%","±0.8"
"    45 to 49 years","5.6%","±0.2","6.1%","±0.4","5.1%","±0.3"
"    50 to 54 years","7.1%","±0.2","6.9%","±0.4","7.4%","±0.2"
"    55 to 59 years","8.3%","±0.7","7.0%","±1.0","9.7%","±0.8"
"    60 to 64 years","9.1%","±0.7","9.4%","±1.0","8.9%","±0.8"
"    65 to 69 years","7.6%","±0.7","7.6%","±0.8","7.5%","±1.0"
"    70 to 74 years","6.1%","±0.7","5.4%","±0.8","6.9%","±1.0"
"    75 to 79 years","3.7%","±0.5","3.4%","±0.6","4.1%","±0.7"
"    80 to 84 years","2.9%","±0.4","2.5%","±0.5","3.5%","±0.6"
"    85 years and over","3.1%","±0.5","2.6%","±0.6","3.6%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","9.4%","±0.3","9.3%","±0.4","9.5%","±0.3"
"    15 to 17 years","3.0%","±0.1","3.0%","±0.1","3.0%","±0.1"
"    18 to 24 years","7.8%","±0.3","8.8%","±0.5","6.6%","±0.2"
"    15 to 44 years","32.7%","±0.4","36.0%","±0.6","29.2%","±0.5"
"    16 years and over","85.4%","±0.3","85.8%","±0.5","85.0%","±0.5"
"    18 years and over","83.3%","±0.2","83.7%","±0.4","82.9%","±0.3"
"    60 years and over","32.6%","±0.7","30.8%","±1.0","34.5%","±0.8"
"    62 years and over","29.5%","±0.7","28.0%","±0.9","31.2%","±0.9"
"    65 years and over","23.4%","±0.2","21.5%","±0.3","25.6%","±0.1"
"    75 years and over","9.8%","±0.2","8.5%","±0.3","11.3%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","48.2","±0.5","45.9","±0.7","51.1","±0.4"
"    Sex ratio (males per 100 females)","109.3","±0.9","(X)","(X)","(X)","(X)"
"    Age dependency ratio","67.0","±0.7","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","39.2","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","27.9","±0.4","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
