"Label (Grouping)","Mariposa County, California!!Total!!Estimate","Mariposa County, California!!Total!!Margin of Error","Mariposa County, California!!Male!!Estimate","Mariposa County, California!!Male!!Margin of Error","Mariposa County, California!!Female!!Estimate","Mariposa County, California!!Female!!Margin of Error"
"Total population","18,193","*****","9,130","±125","9,063","±125"
"AGE","","","","","",""
"    Under 5 years","4.1%","±0.4","3.6%","±0.3","4.6%","±0.8"
"    5 to 9 years","4.0%","±0.9","4.4%","±1.5","3.5%","±1.6"
"    10 to 14 years","6.1%","±1.0","5.2%","±1.4","7.0%","±1.7"
"    15 to 19 years","4.9%","±0.9","4.1%","±1.2","5.7%","±1.5"
"    20 to 24 years","4.4%","±1.1","4.0%","±1.6","4.7%","±1.5"
"    25 to 29 years","4.7%","±1.0","4.8%","±1.8","4.7%","±0.6"
"    30 to 34 years","4.9%","±0.6","4.8%","±0.9","4.9%","±1.1"
"    35 to 39 years","4.7%","±1.0","5.2%","±1.7","4.2%","±1.0"
"    40 to 44 years","5.5%","±1.0","6.2%","±1.5","4.8%","±1.1"
"    45 to 49 years","7.7%","±0.8","8.0%","±1.4","7.3%","±0.8"
"    50 to 54 years","10.0%","±0.8","9.9%","±1.4","10.1%","±0.8"
"    55 to 59 years","9.8%","±1.3","10.4%","±1.9","9.0%","±1.7"
"    60 to 64 years","8.1%","±1.4","8.4%","±1.8","7.8%","±1.7"
"    65 to 69 years","7.7%","±0.9","8.2%","±1.2","7.1%","±1.2"
"    70 to 74 years","4.7%","±0.8","4.2%","±1.1","5.2%","±1.0"
"    75 to 79 years","4.2%","±0.9","3.3%","±1.1","5.0%","±1.3"
"    80 to 84 years","3.1%","±0.8","4.2%","±1.2","2.1%","±0.9"
"    85 years and over","1.5%","±0.6","1.0%","±0.6","2.1%","±1.0"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","10.1%","±0.7","9.6%","±0.8","10.5%","±1.1"
"    15 to 17 years","3.4%","±0.6","2.8%","±1.0","4.1%","±1.3"
"    18 to 24 years","5.9%","±1.1","5.4%","±2.0","6.3%","±1.0"
"    15 to 44 years","29.1%","±1.1","29.1%","±1.7","29.1%","±1.6"
"    16 years and over","84.6%","±0.6","85.8%","±1.0","83.3%","±1.0"
"    18 years and over","82.4%","±0.1","84.0%","±0.9","80.8%","±1.0"
"    60 years and over","29.3%","±1.3","29.3%","±1.9","29.3%","±1.6"
"    62 years and over","26.3%","±1.1","26.9%","±1.7","25.8%","±1.3"
"    65 years and over","21.2%","±0.5","21.0%","±0.7","21.5%","±0.6"
"    75 years and over","8.8%","±0.5","8.5%","±0.7","9.2%","±0.5"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","49.4","±0.6","49.8","±0.9","48.9","±0.9"
"    Sex ratio (males per 100 females)","100.7","±2.8","(X)","(X)","(X)","(X)"
"    Age dependency ratio","63.5","±1.4","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","34.7","±1.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","28.8","±0.3","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
