"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Percent!!Estimate","Santa Clara County, California!!Percent!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Percent Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error","Santa Clara County, California!!Percent Female!!Estimate","Santa Clara County, California!!Percent Female!!Margin of Error"
"Total population","1,924,379","*****","(X)","(X)","974,741","±256","(X)","(X)","949,638","±256","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","113,558","±281","5.9%","±0.1","58,467","±294","6.0%","±0.1","55,091","±226","5.8%","±0.1"
"        5 to 9 years","116,187","±1,859","6.0%","±0.1","60,081","±1,310","6.2%","±0.1","56,106","±1,408","5.9%","±0.1"
"        10 to 14 years","121,890","±1,856","6.3%","±0.1","62,244","±1,304","6.4%","±0.1","59,646","±1,407","6.3%","±0.1"
"        15 to 19 years","114,160","±115","5.9%","±0.1","58,505","±138","6.0%","±0.1","55,655","±122","5.9%","±0.1"
"        20 to 24 years","117,877","±114","6.1%","±0.1","61,802","±92","6.3%","±0.1","56,075","±73","5.9%","±0.1"
"        25 to 29 years","155,965","*****","8.1%","*****","84,712","*****","8.7%","±0.1","71,253","*****","7.5%","±0.1"
"        30 to 34 years","156,698","*****","8.1%","*****","83,617","*****","8.6%","±0.1","73,081","*****","7.7%","±0.1"
"        35 to 39 years","143,104","±2,402","7.4%","±0.1","74,825","±1,628","7.7%","±0.2","68,279","±1,519","7.2%","±0.2"
"        40 to 44 years","135,007","±2,403","7.0%","±0.1","68,152","±1,628","7.0%","±0.2","66,855","±1,519","7.0%","±0.2"
"        45 to 49 years","134,779","±94","7.0%","±0.1","67,825","*****","7.0%","±0.1","66,954","±92","7.1%","±0.1"
"        50 to 54 years","128,417","±94","6.7%","±0.1","65,242","*****","6.7%","±0.1","63,175","±93","6.7%","±0.1"
"        55 to 59 years","122,505","±1,699","6.4%","±0.1","60,665","±1,166","6.2%","±0.1","61,840","±1,234","6.5%","±0.1"
"        60 to 64 years","104,244","±1,699","5.4%","±0.1","52,702","±1,166","5.4%","±0.1","51,542","±1,234","5.4%","±0.1"
"        65 to 69 years","83,532","±1,377","4.3%","±0.1","40,060","±917","4.1%","±0.1","43,472","±840","4.6%","±0.1"
"        70 to 74 years","61,207","±1,368","3.2%","±0.1","27,231","±917","2.8%","±0.1","33,976","±839","3.6%","±0.1"
"        75 to 79 years","45,079","±1,297","2.3%","±0.1","21,240","±910","2.2%","±0.1","23,839","±925","2.5%","±0.1"
"        80 to 84 years","32,202","±1,195","1.7%","±0.1","13,198","±714","1.4%","±0.1","19,004","±839","2.0%","±0.1"
"        85 years and over","37,968","±1,173","2.0%","±0.1","14,173","±714","1.5%","±0.1","23,795","±911","2.5%","±0.1"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","238,077","±280","12.4%","±0.1","122,325","±280","12.5%","±0.1","115,752","*****","12.2%","±0.1"
"        15 to 17 years","70,353","*****","3.7%","*****","35,931","±100","3.7%","±0.1","34,422","±100","3.6%","±0.1"
"        Under 18 years","421,988","*****","21.9%","*****","216,723","±256","22.2%","±0.1","205,265","±256","21.6%","±0.1"
"        18 to 24 years","161,684","*****","8.4%","*****","84,376","*****","8.7%","±0.1","77,308","*****","8.1%","±0.1"
"        15 to 44 years","822,811","*****","42.8%","*****","431,613","±100","44.3%","±0.1","391,198","±100","41.2%","±0.1"
"        16 years and over","1,549,653","±934","80.5%","±0.1","782,685","±629","80.3%","±0.1","766,968","±696","80.8%","±0.1"
"        18 years and over","1,502,391","*****","78.1%","*****","758,018","*****","77.8%","±0.1","744,373","*****","78.4%","±0.1"
"        21 years and over","1,436,965","±936","74.7%","±0.1","723,804","±837","74.3%","±0.1","713,161","±725","75.1%","±0.1"
"        60 years and over","364,232","±1,699","18.9%","±0.1","168,604","±1,166","17.3%","±0.1","195,628","±1,234","20.6%","±0.1"
"        62 years and over","318,337","±1,314","16.5%","±0.1","145,199","±881","14.9%","±0.1","173,138","±952","18.2%","±0.1"
"        65 years and over","259,988","*****","13.5%","*****","115,902","*****","11.9%","±0.1","144,086","*****","15.2%","±0.1"
"        75 years and over","115,249","±67","6.0%","±0.1","48,611","±67","5.0%","±0.1","66,638","*****","7.0%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","37.2","±0.2","(X)","(X)","36.1","±0.1","(X)","(X)","38.4","±0.2","(X)","(X)"
"        Sex ratio (males per 100 females)","102.6","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","54.9","*****","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.9","*****","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","34.0","*****","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","1.9%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
