"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Percent!!Estimate","Santa Clara County, California!!Percent!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Percent Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error","Santa Clara County, California!!Percent Female!!Estimate","Santa Clara County, California!!Percent Female!!Margin of Error"
"Total population","1,937,570","*****","(X)","(X)","982,419","±1,429","(X)","(X)","955,151","±1,429","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","114,873","±822","5.9%","±0.1","58,637","±458","6.0%","±0.1","56,236","±627","5.9%","±0.1"
"        5 to 9 years","110,532","±4,017","5.7%","±0.2","59,219","±2,668","6.0%","±0.3","51,313","±2,910","5.4%","±0.3"
"        10 to 14 years","127,757","±4,168","6.6%","±0.2","63,208","±2,759","6.4%","±0.3","64,549","±3,005","6.8%","±0.3"
"        15 to 19 years","114,555","±712","5.9%","±0.1","59,271","±792","6.0%","±0.1","55,284","±610","5.8%","±0.1"
"        20 to 24 years","120,084","±1,142","6.2%","±0.1","63,279","±1,083","6.4%","±0.1","56,805","±617","5.9%","±0.1"
"        25 to 29 years","157,756","±565","8.1%","±0.1","85,365","±376","8.7%","±0.1","72,391","±386","7.6%","±0.1"
"        30 to 34 years","155,968","±489","8.0%","±0.1","83,421","±488","8.5%","±0.1","72,547","±201","7.6%","±0.1"
"        35 to 39 years","144,933","±4,487","7.5%","±0.2","75,050","±3,062","7.6%","±0.3","69,883","±3,403","7.3%","±0.4"
"        40 to 44 years","134,955","±4,516","7.0%","±0.2","68,780","±3,021","7.0%","±0.3","66,175","±3,488","6.9%","±0.4"
"        45 to 49 years","137,371","±934","7.1%","±0.1","69,405","±735","7.1%","±0.1","67,966","±535","7.1%","±0.1"
"        50 to 54 years","129,082","±713","6.7%","±0.1","65,783","±606","6.7%","±0.1","63,299","±610","6.6%","±0.1"
"        55 to 59 years","120,114","±3,606","6.2%","±0.2","61,165","±2,660","6.2%","±0.3","58,949","±2,483","6.2%","±0.3"
"        60 to 64 years","108,338","±3,552","5.6%","±0.2","53,507","±2,436","5.4%","±0.2","54,831","±2,533","5.7%","±0.3"
"        65 to 69 years","83,113","±3,066","4.3%","±0.2","38,595","±2,109","3.9%","±0.2","44,518","±1,938","4.7%","±0.2"
"        70 to 74 years","62,533","±3,138","3.2%","±0.2","29,099","±2,129","3.0%","±0.2","33,434","±1,947","3.5%","±0.2"
"        75 to 79 years","45,446","±2,719","2.3%","±0.1","21,001","±1,697","2.1%","±0.2","24,445","±1,975","2.6%","±0.2"
"        80 to 84 years","32,643","±2,616","1.7%","±0.1","13,336","±1,540","1.4%","±0.2","19,307","±1,651","2.0%","±0.2"
"        85 years and over","37,517","±2,461","1.9%","±0.1","14,298","±1,335","1.5%","±0.1","23,219","±1,892","2.4%","±0.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","238,289","±1,108","12.3%","±0.1","122,427","±732","12.5%","±0.1","115,862","±716","12.1%","±0.1"
"        15 to 17 years","70,573","±376","3.6%","±0.1","36,318","±489","3.7%","±0.1","34,255","±477","3.6%","±0.1"
"        Under 18 years","423,735","±1,220","21.9%","±0.1","217,382","±1,147","22.1%","±0.1","206,353","±1,153","21.6%","±0.1"
"        18 to 24 years","164,066","±1,150","8.5%","±0.1","86,232","±922","8.8%","±0.1","77,834","±586","8.1%","±0.1"
"        15 to 44 years","828,251","±1,147","42.7%","±0.1","435,166","±1,130","44.3%","±0.1","393,085","±949","41.2%","±0.1"
"        16 years and over","1,560,706","±2,539","80.5%","±0.1","789,321","±2,380","80.3%","±0.2","771,385","±1,598","80.8%","±0.2"
"        18 years and over","1,513,835","±1,220","78.1%","±0.1","765,037","±1,476","77.9%","±0.1","748,798","±748","78.4%","±0.1"
"        21 years and over","1,447,775","±2,498","74.7%","±0.1","728,205","±2,265","74.1%","±0.2","719,570","±1,895","75.3%","±0.2"
"        60 years and over","369,590","±3,606","19.1%","±0.2","169,836","±2,526","17.3%","±0.3","199,754","±2,526","20.9%","±0.3"
"        62 years and over","324,601","±3,543","16.8%","±0.2","147,298","±2,196","15.0%","±0.2","177,303","±2,495","18.6%","±0.3"
"        65 years and over","261,252","±664","13.5%","±0.1","116,329","±436","11.8%","±0.1","144,923","±531","15.2%","±0.1"
"        75 years and over","115,606","±613","6.0%","±0.1","48,635","±406","5.0%","±0.1","66,971","±421","7.0%","±0.1"
"    SUMMARY INDICATORS","","","","","","","","","","","",""
"        Median age (years)","37.2","±0.2","(X)","(X)","36.1","±0.2","(X)","(X)","38.3","±0.3","(X)","(X)"
"        Sex ratio (males per 100 females)","102.9","±0.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age dependency ratio","54.7","±0.2","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.9","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.8","±0.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"    PERCENT ALLOCATED","","","","","","","","","","","",""
"        Sex","(X)","(X)","0.1%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
"        Age","(X)","(X)","2.3%","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)"
