"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Percent!!Estimate","Santa Clara County, California!!Percent!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Percent Male!!Estimate","Santa Clara County, California!!Percent Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error","Santa Clara County, California!!Percent Female!!Estimate","Santa Clara County, California!!Percent Female!!Margin of Error"
"Total population","1,927,852","*****","(X)","(X)","976,303","±695","(X)","(X)","951,549","±695","(X)","(X)"
"    AGE","","","","","","","","","","","",""
"        Under 5 years","111,246","±390","5.8%","±0.1","57,015","±277","5.8%","±0.1","54,231","±286","5.7%","±0.1"
"        5 to 9 years","107,848","±3,978","5.6%","±0.2","53,446","±2,676","5.5%","±0.3","54,402","±2,957","5.7%","±0.3"
"        10 to 14 years","125,837","±4,022","6.5%","±0.2","66,402","±2,708","6.8%","±0.3","59,435","±2,938","6.2%","±0.3"
"        15 to 19 years","116,015","±1,267","6.0%","±0.1","58,947","±645","6.0%","±0.1","57,068","±913","6.0%","±0.1"
"        20 to 24 years","116,225","±1,090","6.0%","±0.1","60,958","±779","6.2%","±0.1","55,267","±674","5.8%","±0.1"
"        25 to 29 years","158,090","±564","8.2%","±0.1","86,504","±563","8.9%","±0.1","71,586","±3","7.5%","±0.1"
"        30 to 34 years","157,024","±554","8.1%","±0.1","83,980","±364","8.6%","±0.1","73,044","±480","7.7%","±0.1"
"        35 to 39 years","145,997","±4,580","7.6%","±0.2","76,961","±3,478","7.9%","±0.4","69,036","±2,377","7.3%","±0.3"
"        40 to 44 years","132,961","±4,554","6.9%","±0.2","66,382","±3,391","6.8%","±0.3","66,579","±2,469","7.0%","±0.3"
"        45 to 49 years","133,140","±979","6.9%","±0.1","67,097","±434","6.9%","±0.1","66,043","±905","6.9%","±0.1"
"        50 to 54 years","126,693","±587","6.6%","±0.1","64,159","±417","6.6%","±0.1","62,534","±356","6.6%","±0.1"
"        55 to 59 years","120,379","±4,460","6.2%","±0.2","58,916","±2,977","6.0%","±0.3","61,463","±2,780","6.5%","±0.3"
"        60 to 64 years","109,572","±4,597","5.7%","±0.2","56,447","±3,033","5.8%","±0.3","53,125","±2,796","5.6%","±0.3"
"        65 to 69 years","83,487","±2,861","4.3%","±0.1","39,696","±2,053","4.1%","±0.2","43,791","±1,721","4.6%","±0.2"
"        70 to 74 years","65,088","±2,879","3.4%","±0.1","29,751","±2,059","3.0%","±0.2","35,337","±1,725","3.7%","±0.2"
"        75 to 79 years","48,463","±2,688","2.5%","±0.1","22,260","±1,694","2.3%","±0.2","26,203","±1,971","2.8%","±0.2"
"        80 to 84 years","34,943","±2,783","1.8%","±0.1","13,702","±1,440","1.4%","±0.1","21,241","±2,184","2.2%","±0.2"
"        85 years and over","34,844","±2,498","1.8%","±0.1","13,680","±1,425","1.4%","±0.1","21,164","±1,954","2.2%","±0.2"
"    SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"        5 to 14 years","233,685","±621","12.1%","±0.1","119,848","±566","12.3%","±0.1","113,837","±536","12.0%","±0.1"
"        15 to 17 years","70,986","±657","3.7%","±0.1","35,885","±130","3.7%","±0.1","35,101","±609","3.7%","±0.1"
"        Under 18 years","415,917","*****","21.6%","*****","212,748","±585","21.8%","±0.1","203,169","±586","21.4%","±0.1"
"        18 to 24 years","161,254","±533","8.4%","±0.1","84,020","±469","8.6%","±0.1","77,234","±332","8.1%","±0.1"
