"Label (Grouping)","Modoc County, California!!Total!!Estimate","Modoc County, California!!Total!!Margin of Error","Modoc County, California!!Male!!Estimate","Modoc County, California!!Male!!Margin of Error","Modoc County, California!!Female!!Estimate","Modoc County, California!!Female!!Margin of Error"
"Total population","9,033","*****","4,637","±102","4,396","±102"
"AGE","","","","","",""
"    Under 5 years","4.2%","±0.3","4.2%","±0.7","4.3%","±0.3"
"    5 to 9 years","5.9%","±1.3","6.8%","±1.6","4.9%","±1.9"
"    10 to 14 years","6.3%","±1.3","6.4%","±1.7","6.1%","±1.8"
"    15 to 19 years","5.8%","±1.0","5.8%","±1.7","5.8%","±2.0"
"    20 to 24 years","3.8%","±1.2","3.6%","±2.2","4.1%","±2.3"
"    25 to 29 years","4.6%","±1.0","4.7%","±1.7","4.5%","±1.1"
"    30 to 34 years","5.9%","±1.1","4.7%","±1.0","7.1%","±1.6"
"    35 to 39 years","4.5%","±1.5","5.5%","±2.0","3.5%","±1.6"
"    40 to 44 years","5.9%","±1.5","6.4%","±2.0","5.5%","±1.7"
"    45 to 49 years","5.9%","±0.9","5.5%","±1.1","6.2%","±1.2"
"    50 to 54 years","7.4%","±0.7","7.8%","±1.4","6.9%","±0.5"
"    55 to 59 years","6.7%","±1.5","6.2%","±2.2","7.2%","±1.8"
"    60 to 64 years","10.0%","±1.8","9.7%","±2.6","10.4%","±2.0"
"    65 to 69 years","8.7%","±1.4","8.2%","±2.2","9.2%","±1.9"
"    70 to 74 years","5.1%","±1.4","5.6%","±2.1","4.6%","±1.6"
"    75 to 79 years","5.4%","±0.9","5.6%","±1.6","5.2%","±1.5"
"    80 to 84 years","1.7%","±0.7","1.7%","±0.8","1.7%","±1.2"
"    85 years and over","2.2%","±0.7","1.7%","±0.8","2.8%","±1.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.2%","±0.4","13.2%","±0.9","11.0%","±0.6"
"    15 to 17 years","3.7%","±0.3","4.1%","±1.4","3.2%","±1.3"
"    18 to 24 years","6.0%","±1.2","5.3%","±1.6","6.6%","±1.9"
"    15 to 44 years","30.5%","±1.3","30.6%","±2.0","30.4%","±1.5"
"    16 years and over","82.9%","±0.4","81.5%","±0.8","84.3%","±0.6"
"    18 years and over","79.9%","*****","78.5%","±1.1","81.5%","±1.2"
"    60 years and over","33.2%","±1.5","32.4%","±2.3","33.9%","±2.0"
"    62 years and over","29.4%","±1.6","28.5%","±2.4","30.4%","±2.3"
"    65 years and over","23.1%","±0.8","22.7%","±1.3","23.6%","±1.3"
"    75 years and over","9.3%","±0.7","8.9%","±1.1","9.8%","±1.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","47.1","±0.6","46.6","±1.1","47.8","±2.3"
"    Sex ratio (males per 100 females)","105.5","±4.8","(X)","(X)","(X)","(X)"
"    Age dependency ratio","76.0","±2.5","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","40.7","±2.0","(X)","(X)","(X)","(X)"
"    Child dependency ratio","35.3","±0.5","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)"
