"Label (Grouping)","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Total!!Margin of Error","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Male!!Margin of Error","Sonoma County, California!!Female!!Estimate","Sonoma County, California!!Female!!Margin of Error"
"Total population","483,456","*****","237,760","±141","245,696","±141"
"AGE","","","","","",""
"    Under 5 years","5.8%","±0.1","6.0%","±0.1","5.6%","±0.1"
"    5 to 9 years","6.1%","±0.2","6.4%","±0.3","5.8%","±0.2"
"    10 to 14 years","6.1%","±0.2","6.2%","±0.3","5.9%","±0.2"
"    15 to 19 years","6.9%","±0.1","7.2%","±0.1","6.6%","±0.1"
"    20 to 24 years","6.7%","±0.1","7.1%","±0.1","6.2%","±0.1"
"    25 to 29 years","6.5%","±0.1","6.9%","±0.1","6.1%","±0.1"
"    30 to 34 years","6.1%","±0.1","6.3%","±0.1","5.8%","±0.1"
"    35 to 39 years","6.2%","±0.2","6.4%","±0.3","6.0%","±0.2"
"    40 to 44 years","6.4%","±0.2","6.5%","±0.3","6.3%","±0.2"
"    45 to 49 years","7.3%","±0.1","7.2%","±0.1","7.4%","±0.1"
"    50 to 54 years","7.7%","±0.1","7.6%","±0.1","7.9%","±0.1"
"    55 to 59 years","7.4%","±0.2","7.0%","±0.3","7.7%","±0.3"
"    60 to 64 years","6.8%","±0.2","6.7%","±0.3","6.8%","±0.3"
"    65 to 69 years","4.5%","±0.1","4.3%","±0.2","4.6%","±0.2"
"    70 to 74 years","3.0%","±0.1","2.8%","±0.2","3.3%","±0.2"
"    75 to 79 years","2.4%","±0.1","2.0%","±0.1","2.7%","±0.2"
"    80 to 84 years","1.9%","±0.1","1.7%","±0.1","2.2%","±0.1"
"    85 years and over","2.4%","±0.1","1.5%","±0.1","3.2%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.1%","±0.1","12.6%","±0.1","11.7%","±0.1"
"    15 to 17 years","4.0%","±0.1","4.2%","±0.1","3.8%","±0.1"
"    18 to 24 years","9.5%","±0.1","10.1%","±0.1","9.0%","±0.1"
"    15 to 44 years","38.7%","±0.1","40.4%","±0.1","37.0%","±0.1"
"    16 years and over","80.8%","±0.1","80.1%","±0.1","81.6%","±0.1"
"    18 years and over","78.1%","*****","77.2%","±0.1","78.9%","±0.1"
"    60 years and over","20.9%","±0.2","19.1%","±0.3","22.7%","±0.3"
"    62 years and over","17.9%","±0.2","16.2%","±0.2","19.6%","±0.2"
"    65 years and over","14.1%","±0.1","12.4%","±0.1","15.9%","±0.1"
"    75 years and over","6.6%","±0.1","5.2%","±0.1","8.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","39.8","±0.2","38.1","±0.2","41.5","±0.2"
"    Sex ratio (males per 100 females)","96.8","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","56.5","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","22.1","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","34.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
