"Label (Grouping)","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Total!!Margin of Error","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Male!!Margin of Error","Sonoma County, California!!Female!!Estimate","Sonoma County, California!!Female!!Margin of Error"
"Total population","491,829","*****","241,524","±781","250,305","±781"
"AGE","","","","","",""
"    Under 5 years","5.6%","±0.1","5.8%","±0.1","5.4%","±0.1"
"    5 to 9 years","6.0%","±0.5","6.3%","±0.7","5.7%","±0.6"
"    10 to 14 years","6.0%","±0.4","6.1%","±0.6","5.9%","±0.5"
"    15 to 19 years","6.3%","±0.2","6.0%","±0.3","6.5%","±0.3"
"    20 to 24 years","7.0%","±0.2","7.6%","±0.3","6.4%","±0.2"
"    25 to 29 years","6.4%","±0.2","7.0%","±0.2","6.0%","±0.3"
"    30 to 34 years","6.3%","±0.1","6.6%","±0.3","6.0%","±0.1"
"    35 to 39 years","6.0%","±0.4","6.4%","±0.6","5.5%","±0.6"
"    40 to 44 years","6.2%","±0.4","6.3%","±0.6","6.1%","±0.6"
"    45 to 49 years","6.8%","±0.1","6.7%","±0.1","6.9%","±0.2"
"    50 to 54 years","7.6%","±0.1","7.5%","±0.2","7.8%","±0.1"
"    55 to 59 years","7.4%","±0.4","7.0%","±0.5","7.9%","±0.5"
"    60 to 64 years","7.1%","±0.4","7.2%","±0.5","7.0%","±0.5"
"    65 to 69 years","5.0%","±0.3","4.6%","±0.4","5.4%","±0.4"
"    70 to 74 years","3.5%","±0.3","3.5%","±0.4","3.5%","±0.4"
"    75 to 79 years","2.4%","±0.3","2.0%","±0.3","2.8%","±0.4"
"    80 to 84 years","1.8%","±0.2","1.5%","±0.3","2.1%","±0.3"
"    85 years and over","2.4%","±0.3","1.8%","±0.3","3.0%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.0%","±0.1","12.5%","±0.2","11.5%","±0.2"
"    15 to 17 years","3.7%","±0.1","3.8%","±0.1","3.6%","±0.1"
"    18 to 24 years","9.6%","±0.2","9.8%","±0.2","9.3%","±0.3"
"    15 to 44 years","38.2%","±0.1","39.9%","±0.2","36.6%","±0.2"
"    16 years and over","81.2%","±0.2","80.6%","±0.3","81.9%","±0.3"
"    18 years and over","78.7%","±0.1","77.9%","±0.2","79.4%","±0.2"
"    60 years and over","22.3%","±0.4","20.6%","±0.5","23.9%","±0.5"
"    62 years and over","19.1%","±0.3","17.6%","±0.5","20.5%","±0.4"
"    65 years and over","15.2%","±0.1","13.4%","±0.1","16.9%","±0.1"
"    75 years and over","6.7%","±0.1","5.3%","±0.1","8.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","40.3","±0.3","38.6","±0.5","42.2","±0.4"
"    Sex ratio (males per 100 females)","96.5","±0.6","(X)","(X)","(X)","(X)"
"    Age dependency ratio","57.6","±0.2","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","23.9","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.6","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
