"Label (Grouping)","Sonoma County, California!!Total!!Estimate","Sonoma County, California!!Total!!Margin of Error","Sonoma County, California!!Male!!Estimate","Sonoma County, California!!Male!!Margin of Error","Sonoma County, California!!Female!!Estimate","Sonoma County, California!!Female!!Margin of Error"
"Total population","503,070","*****","245,647","±907","257,423","±907"
"AGE","","","","","",""
"    Under 5 years","5.1%","±0.1","5.3%","±0.2","4.9%","±0.1"
"    5 to 9 years","5.6%","±0.4","6.1%","±0.7","5.1%","±0.5"
"    10 to 14 years","6.0%","±0.4","5.9%","±0.7","6.0%","±0.5"
"    15 to 19 years","5.8%","±0.1","5.9%","±0.2","5.7%","±0.2"
"    20 to 24 years","6.0%","±0.2","6.3%","±0.1","5.6%","±0.3"
"    25 to 29 years","6.6%","±0.1","7.1%","±0.2","6.1%","±0.1"
"    30 to 34 years","6.4%","±0.1","6.6%","±0.1","6.1%","±0.1"
"    35 to 39 years","6.2%","±0.4","6.1%","±0.6","6.2%","±0.6"
"    40 to 44 years","6.2%","±0.5","6.6%","±0.6","5.9%","±0.7"
"    45 to 49 years","6.4%","±0.1","6.5%","±0.3","6.3%","±0.2"
"    50 to 54 years","7.0%","±0.2","7.0%","±0.3","7.0%","±0.2"
"    55 to 59 years","6.7%","±0.4","6.5%","±0.5","6.9%","±0.6"
"    60 to 64 years","7.9%","±0.5","7.6%","±0.5","8.1%","±0.6"
"    65 to 69 years","7.2%","±0.3","6.5%","±0.4","7.9%","±0.4"
"    70 to 74 years","4.0%","±0.3","4.2%","±0.4","3.8%","±0.4"
"    75 to 79 years","2.8%","±0.3","2.6%","±0.4","3.1%","±0.4"
"    80 to 84 years","1.8%","±0.2","1.8%","±0.3","1.8%","±0.4"
"    85 years and over","2.4%","±0.3","1.4%","±0.3","3.4%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.5%","±0.1","11.9%","±0.3","11.1%","±0.2"
"    15 to 17 years","3.4%","±0.1","3.6%","±0.2","3.2%","±0.1"
"    18 to 24 years","8.3%","±0.1","8.6%","±0.1","8.1%","±0.3"
"    15 to 44 years","37.1%","±0.2","38.5%","±0.3","35.7%","±0.3"
"    16 years and over","82.1%","±0.2","81.5%","±0.4","82.7%","±0.4"
"    18 years and over","80.0%","±0.1","79.2%","±0.3","80.8%","±0.2"
"    60 years and over","26.2%","±0.4","24.2%","±0.5","28.1%","±0.6"
"    62 years and over","23.1%","±0.4","21.1%","±0.5","25.0%","±0.7"
"    65 years and over","18.3%","±0.1","16.6%","±0.1","20.0%","±0.1"
"    75 years and over","7.1%","±0.1","5.8%","±0.1","8.3%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","42.1","±0.5","40.5","±0.4","43.7","±0.4"
"    Sex ratio (males per 100 females)","95.4","±0.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","62.1","±0.3","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","29.7","±0.2","(X)","(X)","(X)","(X)"
"    Child dependency ratio","32.4","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)"
