"Label (Grouping)","Santa Clara County, California!!Total!!Estimate","Santa Clara County, California!!Total!!Margin of Error","Santa Clara County, California!!Male!!Estimate","Santa Clara County, California!!Male!!Margin of Error","Santa Clara County, California!!Female!!Estimate","Santa Clara County, California!!Female!!Margin of Error"
"Total population","1,885,056","*****","949,223","±119","935,833","±119"
"AGE","","","","","",""
"    Under 5 years","6.4%","*****","6.5%","±0.1","6.3%","±0.1"
"    5 to 9 years","6.7%","±0.1","6.8%","±0.1","6.5%","±0.1"
"    10 to 14 years","6.4%","±0.1","6.4%","±0.1","6.4%","±0.1"
"    15 to 19 years","6.0%","±0.1","6.1%","±0.1","5.9%","±0.1"
"    20 to 24 years","6.4%","±0.1","6.7%","±0.1","6.1%","±0.1"
"    25 to 29 years","7.6%","*****","8.0%","±0.1","7.2%","±0.1"
"    30 to 34 years","7.8%","*****","8.0%","±0.1","7.6%","±0.1"
"    35 to 39 years","7.4%","±0.1","7.4%","±0.1","7.3%","±0.1"
"    40 to 44 years","7.6%","±0.1","7.6%","±0.1","7.5%","±0.1"
"    45 to 49 years","7.2%","*****","7.3%","±0.1","7.2%","±0.1"
"    50 to 54 years","7.1%","*****","7.2%","±0.1","7.0%","±0.1"
"    55 to 59 years","6.2%","±0.1","6.2%","±0.1","6.3%","±0.1"
"    60 to 64 years","5.0%","±0.1","4.8%","±0.1","5.3%","±0.1"
"    65 to 69 years","3.9%","±0.1","3.7%","±0.1","4.1%","±0.1"
"    70 to 74 years","2.9%","±0.1","2.6%","±0.1","3.2%","±0.1"
"    75 to 79 years","2.1%","±0.1","1.9%","±0.1","2.4%","±0.1"
"    80 to 84 years","1.6%","±0.1","1.4%","±0.1","1.8%","±0.1"
"    85 years and over","1.7%","±0.1","1.2%","±0.1","2.2%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.0%","*****","13.2%","±0.1","12.8%","±0.1"
"    15 to 17 years","3.7%","*****","3.7%","±0.1","3.6%","±0.1"
"    18 to 24 years","8.8%","*****","9.1%","±0.1","8.4%","±0.1"
"    15 to 44 years","42.7%","*****","44.0%","±0.1","41.5%","±0.1"
"    16 years and over","79.4%","±0.1","79.1%","±0.1","79.7%","±0.1"
"    18 years and over","76.9%","*****","76.5%","±0.1","77.3%","±0.1"
"    60 years and over","17.3%","±0.1","15.6%","±0.1","19.0%","±0.1"
"    62 years and over","15.0%","±0.1","13.4%","±0.1","16.7%","±0.1"
"    65 years and over","12.2%","*****","10.7%","±0.1","13.7%","±0.1"
"    75 years and over","5.4%","±0.1","4.5%","±0.1","6.4%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.8","±0.1","35.9","±0.2","37.9","±0.2"
"    Sex ratio (males per 100 females)","101.4","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","54.6","*****","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","18.9","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","35.7","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
