"Label (Grouping)","Plumas County, California!!Total!!Estimate","Plumas County, California!!Total!!Margin of Error","Plumas County, California!!Male!!Estimate","Plumas County, California!!Male!!Margin of Error","Plumas County, California!!Female!!Estimate","Plumas County, California!!Female!!Margin of Error"
"Total population","18,754","*****","9,484","±104","9,270","±104"
"AGE","","","","","",""
"    Under 5 years","4.7%","±0.4","5.7%","±0.6","3.7%","±0.5"
"    5 to 9 years","5.0%","±0.8","5.0%","±1.0","5.1%","±1.0"
"    10 to 14 years","4.0%","±0.8","4.2%","±1.0","3.8%","±1.0"
"    15 to 19 years","4.9%","±0.7","6.1%","±1.1","3.7%","±1.0"
"    20 to 24 years","4.1%","±0.6","3.4%","±0.9","4.8%","±0.7"
"    25 to 29 years","4.2%","±0.5","3.6%","±0.4","4.8%","±0.9"
"    30 to 34 years","5.4%","±0.7","5.5%","±1.1","5.2%","±0.9"
"    35 to 39 years","5.3%","±1.0","5.7%","±1.3","5.0%","±1.2"
"    40 to 44 years","4.8%","±0.9","4.8%","±1.2","4.8%","±1.0"
"    45 to 49 years","5.4%","±0.4","5.7%","±0.7","5.0%","±0.5"
"    50 to 54 years","7.6%","±0.5","7.2%","±0.7","7.9%","±0.8"
"    55 to 59 years","9.3%","±1.2","9.8%","±1.6","8.8%","±1.5"
"    60 to 64 years","10.5%","±1.2","9.0%","±1.5","11.9%","±1.7"
"    65 to 69 years","9.1%","±1.1","8.9%","±1.4","9.3%","±1.4"
"    70 to 74 years","6.6%","±1.0","7.0%","±1.1","6.2%","±1.4"
"    75 to 79 years","3.5%","±0.9","3.4%","±1.0","3.6%","±1.2"
"    80 to 84 years","3.0%","±0.6","2.9%","±0.8","3.1%","±1.1"
"    85 years and over","2.6%","±0.8","2.1%","±0.9","3.2%","±1.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","9.0%","±0.3","9.2%","±0.4","8.8%","±0.6"
"    15 to 17 years","2.9%","±0.3","3.3%","±0.5","2.4%","±0.2"
"    18 to 24 years","6.1%","±0.4","6.2%","±0.3","6.1%","±0.8"
"    15 to 44 years","28.7%","±0.7","29.0%","±1.1","28.3%","±0.9"
"    16 years and over","85.5%","±0.3","83.9%","±0.7","87.1%","±0.7"
"    18 years and over","83.4%","±0.1","81.8%","±0.6","85.1%","±0.6"
"    60 years and over","35.4%","±1.3","33.4%","±1.7","37.4%","±1.7"
"    62 years and over","30.9%","±1.2","29.6%","±1.5","32.1%","±1.7"
"    65 years and over","24.9%","±0.5","24.3%","±0.7","25.5%","±0.9"
"    75 years and over","9.2%","±0.3","8.4%","±0.4","10.0%","±0.5"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","51.7","±0.4","50.5","±0.9","52.9","±0.8"
"    Sex ratio (males per 100 females)","102.3","±2.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","70.9","±1.5","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","42.6","±1.2","(X)","(X)","(X)","(X)"
"    Child dependency ratio","28.3","±0.3","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.5%","(X)","(X)","(X)","(X)","(X)"
