"Label (Grouping)","Nevada County, California!!Total!!Estimate","Nevada County, California!!Total!!Margin of Error","Nevada County, California!!Male!!Estimate","Nevada County, California!!Male!!Margin of Error","Nevada County, California!!Female!!Estimate","Nevada County, California!!Female!!Margin of Error"
"Total population","98,521","*****","48,924","±194","49,597","±194"
"AGE","","","","","",""
"    Under 5 years","4.4%","±0.1","4.8%","±0.3","4.1%","±0.2"
"    5 to 9 years","5.1%","±0.4","5.3%","±0.5","4.9%","±0.6"
"    10 to 14 years","5.6%","±0.4","5.8%","±0.5","5.5%","±0.5"
"    15 to 19 years","6.2%","±0.2","6.7%","±0.3","5.7%","±0.4"
"    20 to 24 years","4.7%","±0.2","5.2%","±0.3","4.1%","±0.3"
"    25 to 29 years","4.6%","±0.2","4.6%","±0.3","4.5%","±0.2"
"    30 to 34 years","4.7%","±0.1","5.0%","±0.1","4.5%","±0.1"
"    35 to 39 years","5.3%","±0.5","5.6%","±0.6","4.9%","±0.6"
"    40 to 44 years","5.5%","±0.4","5.2%","±0.6","5.7%","±0.6"
"    45 to 49 years","7.3%","±0.1","7.0%","±0.2","7.4%","±0.2"
"    50 to 54 years","8.7%","±0.1","8.3%","±0.2","9.2%","±0.2"
"    55 to 59 years","9.5%","±0.5","8.9%","±0.8","10.2%","±0.6"
"    60 to 64 years","8.8%","±0.5","9.2%","±0.7","8.4%","±0.6"
"    65 to 69 years","6.3%","±0.4","6.0%","±0.5","6.5%","±0.5"
"    70 to 74 years","4.7%","±0.4","4.9%","±0.5","4.5%","±0.5"
"    75 to 79 years","3.2%","±0.3","3.2%","±0.4","3.3%","±0.5"
"    80 to 84 years","2.8%","±0.3","2.4%","±0.3","3.2%","±0.4"
"    85 years and over","2.7%","±0.3","2.0%","±0.3","3.4%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","10.7%","±0.2","11.1%","±0.2","10.4%","±0.2"
"    15 to 17 years","4.0%","±0.1","4.4%","±0.2","3.6%","±0.2"
"    18 to 24 years","6.9%","±0.2","7.5%","±0.3","6.2%","±0.2"
"    15 to 44 years","30.9%","±0.1","32.3%","±0.2","29.4%","±0.3"
"    16 years and over","83.5%","±0.3","82.5%","±0.4","84.5%","±0.4"
"    18 years and over","80.8%","±0.1","79.7%","±0.2","82.0%","±0.2"
"    60 years and over","28.5%","±0.5","27.6%","±0.8","29.4%","±0.7"
"    62 years and over","24.9%","±0.4","24.0%","±0.6","25.9%","±0.5"
"    65 years and over","19.7%","±0.2","18.5%","±0.3","21.0%","±0.2"
"    75 years and over","8.8%","±0.1","7.5%","±0.2","10.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","48.0","±0.2","46.4","±0.4","49.0","±0.3"
"    Sex ratio (males per 100 females)","98.6","±0.8","(X)","(X)","(X)","(X)"
"    Age dependency ratio","63.7","±0.5","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","32.3","±0.4","(X)","(X)","(X)","(X)"
"        Child dependency ratio","31.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.8%","(X)","(X)","(X)","(X)","(X)"
