"Label (Grouping)","Nevada County, California!!Total!!Estimate","Nevada County, California!!Total!!Margin of Error","Nevada County, California!!Male!!Estimate","Nevada County, California!!Male!!Margin of Error","Nevada County, California!!Female!!Estimate","Nevada County, California!!Female!!Margin of Error"
"Total population","98,292","*****","49,110","±733","49,182","±733"
"AGE","","","","","",""
"    Under 5 years","4.4%","±0.5","4.9%","±1.1","3.8%","±0.6"
"    5 to 9 years","4.1%","±0.9","4.4%","±1.2","3.7%","±1.5"
"    10 to 14 years","5.5%","±1.1","5.6%","±1.5","5.4%","±1.6"
"    15 to 19 years","6.6%","±0.8","6.5%","±0.7","6.7%","±1.5"
"    20 to 24 years","4.6%","±0.8","5.1%","±1.0","4.1%","±1.3"
"    25 to 29 years","4.3%","±0.4","4.3%","±0.4","4.3%","±0.7"
"    30 to 34 years","4.8%","±0.6","5.5%","±1.1","4.2%","±0.4"
"    35 to 39 years","5.2%","±1.3","5.4%","±2.1","5.0%","±1.4"
"    40 to 44 years","5.2%","±0.8","5.8%","±1.3","4.7%","±1.2"
"    45 to 49 years","7.2%","±0.8","6.9%","±1.0","7.4%","±0.8"
"    50 to 54 years","8.2%","±0.5","7.6%","±0.5","8.9%","±0.7"
"    55 to 59 years","8.8%","±1.2","7.9%","±1.7","9.6%","±1.5"
"    60 to 64 years","10.0%","±1.2","10.3%","±1.6","9.6%","±1.6"
"    65 to 69 years","7.1%","±0.9","6.8%","±1.1","7.4%","±1.2"
"    70 to 74 years","5.2%","±1.0","5.6%","±1.3","4.8%","±1.2"
"    75 to 79 years","3.1%","±0.8","2.9%","±1.0","3.2%","±1.1"
"    80 to 84 years","2.9%","±0.6","2.1%","±0.9","3.7%","±1.0"
"    85 years and over","2.9%","±0.7","2.5%","±1.0","3.3%","±1.0"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","9.5%","±0.6","9.9%","±0.8","9.1%","±0.8"
"    15 to 17 years","4.1%","±0.4","4.4%","±0.5","3.7%","±0.7"
"    18 to 24 years","7.2%","±0.8","7.2%","±1.2","7.1%","±1.0"
"    15 to 44 years","30.8%","±0.9","32.5%","±1.2","29.1%","±1.3"
"    16 years and over","84.6%","±0.6","83.0%","±1.5","86.2%","±1.2"
"    18 years and over","82.0%","±0.4","80.7%","±1.3","83.4%","±1.0"
"    60 years and over","31.1%","±1.2","30.2%","±1.7","32.1%","±1.7"
"    62 years and over","27.5%","±1.2","26.3%","±1.7","28.6%","±1.6"
"    65 years and over","21.2%","±0.5","19.9%","±0.7","22.4%","±0.6"
"    75 years and over","8.9%","±0.2","7.5%","±0.2","10.2%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","49.0","±0.4","47.5","±0.7","50.2","±0.5"
"    Sex ratio (males per 100 females)","99.9","±3.0","(X)","(X)","(X)","(X)"
"    Age dependency ratio","64.3","±1.5","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","34.8","±1.0","(X)","(X)","(X)","(X)"
"        Child dependency ratio","29.5","±0.9","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","3.7%","(X)","(X)","(X)","(X)","(X)"
