"Label (Grouping)","Nevada County, California!!Total!!Estimate","Nevada County, California!!Total!!Margin of Error","Nevada County, California!!Male!!Estimate","Nevada County, California!!Male!!Margin of Error","Nevada County, California!!Female!!Estimate","Nevada County, California!!Female!!Margin of Error"
"Total population","99,107","*****","50,350","±1,087","48,757","±1,087"
"AGE","","","","","",""
"    Under 5 years","3.7%","±0.4","3.9%","±0.9","3.5%","±0.5"
"    5 to 9 years","4.7%","±1.1","4.9%","±1.7","4.5%","±1.4"
"    10 to 14 years","6.3%","±0.9","6.5%","±1.5","6.1%","±1.6"
"    15 to 19 years","4.7%","±0.6","6.4%","±1.5","2.9%","±0.9"
"    20 to 24 years","4.2%","±0.7","4.0%","±0.3","4.4%","±1.3"
"    25 to 29 years","4.0%","±0.3","4.0%","±0.4","4.1%","±0.4"
"    30 to 34 years","6.7%","±1.1","6.9%","±2.0","6.4%","±1.2"
"    35 to 39 years","5.2%","±1.0","4.8%","±1.3","5.6%","±1.3"
"    40 to 44 years","4.9%","±1.3","5.7%","±2.0","4.1%","±1.3"
"    45 to 49 years","5.4%","±0.4","5.5%","±0.8","5.3%","±0.6"
"    50 to 54 years","6.5%","±0.4","6.0%","±0.5","7.0%","±0.7"
"    55 to 59 years","8.4%","±1.3","8.4%","±1.7","8.5%","±1.7"
"    60 to 64 years","9.4%","±1.3","8.4%","±1.8","10.3%","±1.8"
"    65 to 69 years","9.6%","±1.0","9.4%","±1.4","9.7%","±1.4"
"    70 to 74 years","6.3%","±1.1","6.6%","±1.7","6.0%","±1.3"
"    75 to 79 years","4.0%","±0.9","3.3%","±1.1","4.6%","±1.3"
"    80 to 84 years","2.5%","±0.7","2.5%","±1.1","2.6%","±0.9"
"    85 years and over","3.5%","±1.0","2.7%","±1.1","4.4%","±1.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.0%","±0.7","11.4%","±1.0","10.6%","±1.6"
"    15 to 17 years","3.2%","±0.6","4.7%","±1.5","1.6%","±0.9"
"    18 to 24 years","5.7%","±0.7","5.8%","±0.4","5.6%","±1.4"
"    15 to 44 years","29.7%","±0.9","31.9%","±1.5","27.4%","±1.0"
"    16 years and over","84.7%","±0.7","83.7%","±1.2","85.7%","±1.5"
"    18 years and over","82.1%","±0.3","80.0%","±1.6","84.3%","±1.7"
"    60 years and over","35.3%","±1.4","32.9%","±2.0","37.6%","±2.1"
"    62 years and over","31.9%","±1.3","31.4%","±2.0","32.4%","±1.7"
"    65 years and over","25.9%","±0.8","24.5%","±1.2","27.3%","±0.9"
"    75 years and over","10.0%","±0.4","8.5%","±0.4","11.6%","±0.8"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","50.2","±0.5","48.1","±1.5","52.8","±1.2"
"    Sex ratio (males per 100 females)","103.3","±4.5","(X)","(X)","(X)","(X)"
"    Age dependency ratio","77.9","±2.6","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","46.1","±2.0","(X)","(X)","(X)","(X)"
"    Child dependency ratio","31.8","±0.8","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.5%","(X)","(X)","(X)","(X)","(X)"
