"Label (Grouping)","Alameda County, California!!Total!!Estimate","Alameda County, California!!Total!!Margin of Error","Alameda County, California!!Male!!Estimate","Alameda County, California!!Male!!Margin of Error","Alameda County, California!!Female!!Estimate","Alameda County, California!!Female!!Margin of Error"
"Total population","1,515,136","*****","742,993","±45","772,143","±45"
"AGE","","","","","",""
"    Under 5 years","6.5%","*****","6.8%","±0.1","6.2%","±0.1"
"    5 to 9 years","6.3%","±0.1","6.6%","±0.1","5.9%","±0.1"
"    10 to 14 years","6.0%","±0.1","6.1%","±0.1","5.8%","±0.1"
"    15 to 19 years","6.5%","±0.1","6.8%","±0.1","6.2%","±0.1"
"    20 to 24 years","7.1%","±0.1","7.3%","±0.1","6.9%","±0.1"
"    25 to 29 years","7.6%","*****","7.7%","±0.1","7.5%","±0.1"
"    30 to 34 years","7.6%","*****","7.6%","±0.1","7.6%","±0.1"
"    35 to 39 years","7.6%","±0.1","7.8%","±0.2","7.4%","±0.1"
"    40 to 44 years","7.5%","±0.1","7.5%","±0.2","7.5%","±0.1"
"    45 to 49 years","7.5%","*****","7.5%","±0.1","7.4%","±0.1"
"    50 to 54 years","7.2%","*****","7.2%","±0.1","7.1%","±0.1"
"    55 to 59 years","6.3%","±0.1","6.2%","±0.1","6.4%","±0.1"
"    60 to 64 years","5.2%","±0.1","5.1%","±0.1","5.4%","±0.1"
"    65 to 69 years","3.5%","±0.1","3.4%","±0.1","3.6%","±0.1"
"    70 to 74 years","2.5%","±0.1","2.3%","±0.1","2.8%","±0.1"
"    75 to 79 years","2.0%","±0.1","1.8%","±0.1","2.1%","±0.1"
"    80 to 84 years","1.6%","±0.1","1.2%","±0.1","1.9%","±0.1"
"    85 years and over","1.7%","±0.1","1.1%","±0.1","2.2%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.2%","*****","12.7%","±0.1","11.8%","±0.1"
"    15 to 17 years","3.8%","*****","4.0%","±0.1","3.6%","±0.1"
"    18 to 24 years","9.8%","*****","10.2%","±0.1","9.5%","±0.1"
"    15 to 44 years","43.9%","*****","44.8%","±0.1","43.1%","±0.1"
"    16 years and over","80.1%","±0.1","79.2%","±0.1","80.9%","±0.1"
"    18 years and over","77.5%","*****","76.5%","±0.1","78.5%","±0.1"
"    60 years and over","16.4%","±0.1","14.8%","±0.1","18.0%","±0.1"
"    62 years and over","14.2%","±0.1","12.7%","±0.1","15.6%","±0.1"
"    65 years and over","11.2%","*****","9.8%","±0.1","12.6%","±0.1"
"    75 years and over","5.2%","±0.1","4.1%","±0.1","6.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.6","±0.1","35.6","±0.2","37.6","±0.1"
"    Sex ratio (males per 100 females)","96.2","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","50.9","*****","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","16.9","*****","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.9","*****","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
