"Label (Grouping)","United States!!Total!!Estimate","United States!!Total!!Margin of Error","United States!!Male!!Estimate","United States!!Male!!Margin of Error","United States!!Female!!Estimate","United States!!Female!!Margin of Error","Alameda County, California!!Total!!Estimate","Alameda County, California!!Total!!Margin of Error","Alameda County, California!!Male!!Estimate","Alameda County, California!!Male!!Margin of Error","Alameda County, California!!Female!!Estimate","Alameda County, California!!Female!!Margin of Error"
"Total population","323,127,515","*****","159,061,631","±26,978","164,065,884","±26,978","1,647,704","*****","809,120","±436","838,584","±436"
"AGE","","","","","","","","","","","",""
"    Under 5 years","6.1%","±0.1","6.4%","±0.1","5.9%","±0.1","5.9%","*****","6.2%","±0.1","5.7%","±0.1"
"    5 to 9 years","6.3%","±0.1","6.6%","±0.1","6.1%","±0.1","5.9%","±0.2","6.4%","±0.2","5.5%","±0.2"
"    10 to 14 years","6.4%","±0.1","6.7%","±0.1","6.2%","±0.1","5.7%","±0.2","5.8%","±0.2","5.7%","±0.2"
"    15 to 19 years","6.7%","±0.1","6.9%","±0.1","6.4%","±0.1","5.7%","±0.1","5.9%","±0.1","5.6%","±0.1"
"    20 to 24 years","6.9%","±0.1","7.2%","±0.1","6.6%","±0.1","6.3%","±0.1","6.5%","±0.1","6.1%","±0.1"
"    25 to 29 years","7.0%","±0.1","7.2%","±0.1","6.8%","±0.1","8.3%","±0.1","8.4%","±0.1","8.2%","±0.1"
"    30 to 34 years","6.7%","±0.1","6.9%","±0.1","6.6%","±0.1","8.3%","±0.1","8.4%","±0.1","8.2%","±0.1"
"    35 to 39 years","6.5%","±0.1","6.5%","±0.1","6.4%","±0.1","7.4%","±0.2","7.3%","±0.4","7.4%","±0.3"
"    40 to 44 years","6.1%","±0.1","6.2%","±0.1","6.1%","±0.1","7.4%","±0.2","7.6%","±0.4","7.2%","±0.3"
"    45 to 49 years","6.5%","±0.1","6.5%","±0.1","6.4%","±0.1","7.0%","±0.1","7.1%","±0.1","6.9%","±0.1"
"    50 to 54 years","6.8%","±0.1","6.7%","±0.1","6.8%","±0.1","6.8%","±0.1","6.8%","±0.1","6.8%","±0.1"
"    55 to 59 years","6.7%","±0.1","6.6%","±0.1","6.8%","±0.1","6.5%","±0.2","6.4%","±0.3","6.6%","±0.3"
"    60 to 64 years","6.1%","±0.1","5.9%","±0.1","6.3%","±0.1","5.7%","±0.2","5.6%","±0.3","5.8%","±0.3"
"    65 to 69 years","5.2%","±0.1","5.0%","±0.1","5.4%","±0.1","4.4%","±0.2","4.3%","±0.2","4.6%","±0.3"
"    70 to 74 years","3.7%","±0.1","3.5%","±0.1","3.9%","±0.1","3.3%","±0.2","2.9%","±0.2","3.6%","±0.3"
"    75 to 79 years","2.6%","±0.1","2.3%","±0.1","2.8%","±0.1","2.0%","±0.1","1.9%","±0.2","2.1%","±0.2"
"    80 to 84 years","1.8%","±0.1","1.5%","±0.1","2.1%","±0.1","1.6%","±0.1","1.3%","±0.1","1.8%","±0.2"
"    85 years and over","1.9%","±0.1","1.4%","±0.1","2.5%","±0.1","1.8%","±0.1","1.1%","±0.1","2.4%","±0.2"
"SELECTED AGE CATEGORIES","","","","","","","","","","","",""
"    5 to 14 years","12.7%","±0.1","13.2%","±0.1","12.3%","±0.1","11.7%","±0.1","12.2%","±0.1","11.2%","±0.1"
"    15 to 17 years","3.9%","±0.1","4.1%","±0.1","3.8%","±0.1","3.4%","±0.1","3.5%","±0.1","3.2%","±0.1"
"    18 to 24 years","9.6%","±0.1","10.0%","±0.1","9.2%","±0.1","8.7%","±0.1","8.9%","±0.1","8.5%","±0.1"
"    15 to 44 years","39.8%","±0.1","40.9%","±0.1","38.8%","±0.1","43.4%","±0.1","44.1%","±0.1","42.7%","±0.1"
"    16 years and over","79.8%","±0.1","79.0%","±0.1","80.6%","±0.1","81.2%","±0.1","80.5%","±0.2","81.8%","±0.2"
"    18 years and over","77.2%","±0.1","76.3%","±0.1","78.1%","±0.1","79.0%","*****","78.1%","±0.1","79.9%","±0.1"
"    60 years and over","21.3%","±0.1","19.6%","±0.1","23.0%","±0.1","18.7%","±0.2","17.2%","±0.3","20.2%","±0.3"
"    62 years and over","18.8%","±0.1","17.1%","±0.1","20.4%","±0.1","16.3%","±0.2","14.8%","±0.2","17.8%","±0.2"
"    65 years and over","15.2%","±0.1","13.7%","±0.1","16.7%","±0.1","13.1%","*****","11.6%","±0.1","14.5%","±0.1"
"    75 years and over","6.4%","±0.1","5.3%","±0.1","7.4%","±0.1","5.3%","±0.1","4.4%","±0.1","6.3%","±0.1"
"SUMMARY INDICATORS","","","","","","","","","","","",""
"    Median age (years)","37.9","±0.1","36.6","±0.1","39.2","±0.2","37.4","±0.2","36.5","±0.2","38.4","±0.2"
"    Sex ratio (males per 100 females)","96.9","±0.1","(X)","(X)","(X)","(X)","96.5","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","61.3","±0.1","(X)","(X)","(X)","(X)","51.6","*****","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","24.6","±0.1","(X)","(X)","(X)","(X)","19.8","*****","(X)","(X)","(X)","(X)"
"    Child dependency ratio","36.8","±0.1","(X)","(X)","(X)","(X)","31.8","*****","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","","","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)","1.5%","(X)","(X)","(X)","(X)","(X)"
