"Label (Grouping)","Humboldt County, California!!Total!!Estimate","Humboldt County, California!!Total!!Margin of Error","Humboldt County, California!!Male!!Estimate","Humboldt County, California!!Male!!Margin of Error","Humboldt County, California!!Female!!Estimate","Humboldt County, California!!Female!!Margin of Error"
"Total population","134,317","*****","67,287","±107","67,030","±107"
"AGE","","","","","",""
"    Under 5 years","5.6%","±0.1","5.8%","±0.1","5.5%","±0.1"
"    5 to 9 years","5.5%","±0.3","5.5%","±0.4","5.5%","±0.4"
"    10 to 14 years","5.4%","±0.3","5.6%","±0.4","5.1%","±0.4"
"    15 to 19 years","7.2%","±0.2","7.0%","±0.3","7.3%","±0.2"
"    20 to 24 years","9.1%","±0.2","9.3%","±0.3","9.0%","±0.2"
"    25 to 29 years","7.5%","±0.1","8.0%","±0.2","7.1%","±0.1"
"    30 to 34 years","6.9%","±0.1","7.4%","±0.2","6.5%","±0.1"
"    35 to 39 years","5.9%","±0.3","6.3%","±0.5","5.6%","±0.4"
"    40 to 44 years","5.3%","±0.3","5.7%","±0.5","5.0%","±0.3"
"    45 to 49 years","6.4%","±0.1","6.3%","±0.1","6.4%","±0.1"
"    50 to 54 years","7.4%","±0.1","7.2%","±0.1","7.6%","±0.1"
"    55 to 59 years","8.1%","±0.3","8.2%","±0.5","8.0%","±0.5"
"    60 to 64 years","6.3%","±0.3","6.1%","±0.5","6.6%","±0.5"
"    65 to 69 years","4.2%","±0.3","4.0%","±0.3","4.5%","±0.4"
"    70 to 74 years","3.1%","±0.3","3.1%","±0.3","3.2%","±0.4"
"    75 to 79 years","2.3%","±0.2","2.0%","±0.3","2.5%","±0.3"
"    80 to 84 years","1.8%","±0.2","1.3%","±0.2","2.2%","±0.3"
"    85 years and over","1.9%","±0.2","1.3%","±0.2","2.5%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","10.9%","±0.1","11.1%","±0.1","10.6%","±0.1"
"    15 to 17 years","3.5%","±0.1","3.6%","±0.1","3.5%","±0.1"
"    18 to 24 years","12.8%","±0.1","12.7%","±0.2","12.8%","±0.1"
"    15 to 44 years","42.0%","±0.1","43.6%","±0.2","40.5%","±0.1"
"    16 years and over","82.4%","±0.1","82.1%","±0.3","82.7%","±0.2"
"    18 years and over","80.0%","*****","79.6%","±0.1","80.4%","±0.1"
"    60 years and over","19.6%","±0.3","17.8%","±0.5","21.4%","±0.5"
"    62 years and over","16.7%","±0.3","15.3%","±0.4","18.2%","±0.4"
"    65 years and over","13.3%","±0.1","11.8%","±0.1","14.9%","±0.1"
"    75 years and over","5.9%","±0.1","4.7%","±0.1","7.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.5","±0.3","36.0","±0.3","38.8","±0.3"
"    Sex ratio (males per 100 females)","100.4","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","50.0","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","20.0","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","30.0","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.9%","(X)","(X)","(X)","(X)","(X)"
