"Label (Grouping)","Humboldt County, California!!Total!!Estimate","Humboldt County, California!!Total!!Margin of Error","Humboldt County, California!!Male!!Estimate","Humboldt County, California!!Male!!Margin of Error","Humboldt County, California!!Female!!Estimate","Humboldt County, California!!Female!!Margin of Error"
"Total population","136,646","*****","67,540","±805","69,106","±805"
"AGE","","","","","",""
"    Under 5 years","5.0%","±0.7","4.9%","±0.8","5.1%","±0.7"
"    5 to 9 years","5.2%","±0.8","4.6%","±1.4","5.9%","±0.9"
"    10 to 14 years","6.0%","±0.7","7.0%","±1.3","5.0%","±0.8"
"    15 to 19 years","6.7%","±0.5","6.2%","±0.7","7.1%","±0.8"
"    20 to 24 years","10.0%","±0.8","10.0%","±0.9","10.1%","±1.1"
"    25 to 29 years","6.3%","±0.6","6.5%","±0.8","6.1%","±1.0"
"    30 to 34 years","6.6%","±0.7","6.9%","±0.9","6.3%","±1.0"
"    35 to 39 years","6.6%","±0.9","7.1%","±1.4","6.1%","±1.0"
"    40 to 44 years","5.8%","±0.7","6.3%","±1.2","5.3%","±1.0"
"    45 to 49 years","5.9%","±0.7","6.2%","±0.8","5.7%","±1.0"
"    50 to 54 years","5.3%","±0.4","5.2%","±0.4","5.5%","±0.7"
"    55 to 59 years","7.2%","±1.0","7.3%","±1.5","7.2%","±1.4"
"    60 to 64 years","6.5%","±0.9","6.3%","±1.4","6.8%","±1.4"
"    65 to 69 years","5.7%","±0.7","5.5%","±1.0","5.9%","±1.0"
"    70 to 74 years","5.1%","±0.8","5.1%","±1.1","5.2%","±1.1"
"    75 to 79 years","2.5%","±0.5","3.0%","±0.6","2.1%","±0.6"
"    80 to 84 years","1.4%","±0.4","0.6%","±0.3","2.3%","±0.7"
"    85 years and over","2.0%","±0.5","1.5%","±0.6","2.4%","±0.8"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.2%","±0.6","11.5%","±1.1","10.9%","±0.6"
"    15 to 17 years","3.3%","±0.3","2.9%","±0.4","3.7%","±0.6"
"    18 to 24 years","13.4%","±0.7","13.3%","±0.9","13.5%","±1.0"
"    15 to 44 years","42.0%","±0.7","43.0%","±1.1","41.0%","±1.1"
"    16 years and over","82.7%","±0.4","82.3%","±1.0","83.2%","±1.0"
"    18 years and over","80.6%","*****","80.8%","±0.8","80.4%","±0.7"
"    60 years and over","23.3%","±1.0","21.9%","±1.5","24.7%","±1.4"
"    62 years and over","20.4%","±0.9","19.5%","±1.1","21.2%","±1.2"
"    65 years and over","16.8%","±0.4","15.7%","±0.6","17.9%","±0.6"
"    75 years and over","5.9%","±0.3","5.0%","±0.3","6.8%","±0.5"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.9","±0.8","37.6","±1.2","38.2","±1.3"
"    Sex ratio (males per 100 females)","97.7","±2.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","56.8","±1.0","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","26.3","±0.8","(X)","(X)","(X)","(X)"
"    Child dependency ratio","30.5","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.0%","(X)","(X)","(X)","(X)","(X)"
