"Label (Grouping)","Del Norte County, California!!Total!!Estimate","Del Norte County, California!!Total!!Margin of Error","Del Norte County, California!!Male!!Estimate","Del Norte County, California!!Male!!Margin of Error","Del Norte County, California!!Female!!Estimate","Del Norte County, California!!Female!!Margin of Error"
"Total population","28,496","*****","15,677","±145","12,819","±145"
"AGE","","","","","",""
"    Under 5 years","6.0%","±0.4","4.7%","±0.2","7.6%","±0.8"
"    5 to 9 years","5.0%","±0.7","5.0%","±0.9","5.0%","±1.2"
"    10 to 14 years","6.4%","±0.7","5.7%","±0.9","7.3%","±1.2"
"    15 to 19 years","6.4%","±0.5","5.9%","±0.7","7.0%","±1.2"
"    20 to 24 years","7.0%","±0.6","7.8%","±0.9","6.0%","±0.8"
"    25 to 29 years","6.8%","±0.6","8.3%","±0.8","4.9%","±0.6"
"    30 to 34 years","7.5%","±0.7","8.9%","±1.1","5.7%","±0.7"
"    35 to 39 years","6.2%","±0.7","7.3%","±1.2","4.8%","±1.0"
"    40 to 44 years","6.0%","±0.7","6.6%","±1.0","5.4%","±0.9"
"    45 to 49 years","7.6%","±0.6","8.3%","±0.9","6.7%","±0.6"
"    50 to 54 years","8.0%","±0.6","7.3%","±0.8","8.8%","±0.6"
"    55 to 59 years","7.0%","±0.9","6.8%","±0.9","7.2%","±1.2"
"    60 to 64 years","5.9%","±0.8","5.0%","±0.9","7.0%","±1.2"
"    65 to 69 years","4.5%","±0.6","4.1%","±0.8","5.0%","±0.8"
"    70 to 74 years","3.9%","±0.7","3.8%","±1.1","4.0%","±0.8"
"    75 to 79 years","2.2%","±0.5","1.6%","±0.6","2.9%","±0.7"
"    80 to 84 years","2.0%","±0.4","1.6%","±0.4","2.4%","±0.7"
"    85 years and over","1.7%","±0.5","1.3%","±0.5","2.2%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.4%","±0.2","10.7%","±0.5","12.3%","±0.4"
"    15 to 17 years","3.9%","±0.2","3.3%","±0.5","4.6%","±0.7"
"    18 to 24 years","9.5%","±0.6","10.5%","±1.0","8.4%","±0.7"
"    15 to 44 years","39.9%","±0.8","44.9%","±1.2","33.8%","±0.9"
"    16 years and over","81.1%","±0.4","83.1%","±0.8","78.7%","±0.8"
"    18 years and over","78.7%","±0.3","81.4%","±0.7","75.5%","±1.0"
"    60 years and over","20.2%","±1.0","17.4%","±1.3","23.6%","±1.3"
"    62 years and over","17.9%","±1.0","15.4%","±1.2","20.9%","±1.3"
"    65 years and over","14.3%","±0.5","12.4%","±0.8","16.6%","±0.3"
"    75 years and over","5.9%","±0.2","4.5%","±0.2","7.6%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","38.8","±1.1","37.3","±0.8","41.1","±1.5"
"    Sex ratio (males per 100 females)","122.3","±2.5","(X)","(X)","(X)","(X)"
"    Age dependency ratio","55.1","±1.2","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","22.1","±0.9","(X)","(X)","(X)","(X)"
"        Child dependency ratio","33.0","±0.6","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.9%","(X)","(X)","(X)","(X)","(X)"
