"Label (Grouping)","Calaveras County, California!!Total!!Estimate","Calaveras County, California!!Total!!Margin of Error","Calaveras County, California!!Male!!Estimate","Calaveras County, California!!Male!!Margin of Error","Calaveras County, California!!Female!!Estimate","Calaveras County, California!!Female!!Margin of Error"
"Total population","44,787","*****","22,156","±158","22,631","±158"
"AGE","","","","","",""
"    Under 5 years","4.1%","±0.1","3.4%","±0.2","4.8%","±0.3"
"    5 to 9 years","5.7%","±0.6","6.6%","±1.0","4.9%","±0.8"
"    10 to 14 years","4.4%","±0.6","4.1%","±0.9","4.7%","±0.8"
"    15 to 19 years","5.8%","±0.3","6.1%","±0.6","5.5%","±0.6"
"    20 to 24 years","4.4%","±0.3","5.0%","±0.5","3.9%","±0.4"
"    25 to 29 years","4.2%","±0.3","4.3%","±0.4","4.1%","±0.5"
"    30 to 34 years","4.2%","±0.3","4.2%","±0.3","4.2%","±0.5"
"    35 to 39 years","3.9%","±0.7","4.3%","±0.9","3.5%","±0.8"
"    40 to 44 years","5.1%","±0.7","4.7%","±0.8","5.5%","±0.8"
"    45 to 49 years","6.5%","±0.5","6.5%","±0.6","6.4%","±0.6"
"    50 to 54 years","7.7%","±0.2","7.6%","±0.2","7.8%","±0.2"
"    55 to 59 years","9.5%","±1.0","9.2%","±1.1","9.8%","±1.4"
"    60 to 64 years","9.3%","±1.0","9.0%","±1.2","9.6%","±1.3"
"    65 to 69 years","9.1%","±0.7","8.5%","±1.0","9.7%","±0.9"
"    70 to 74 years","6.6%","±0.8","7.4%","±1.1","5.9%","±0.8"
"    75 to 79 years","3.9%","±0.5","3.4%","±0.7","4.3%","±0.6"
"    80 to 84 years","3.0%","±0.5","3.8%","±0.7","2.3%","±0.6"
"    85 years and over","2.4%","±0.5","1.9%","±0.5","3.0%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","10.1%","±0.2","10.6%","±0.5","9.6%","±0.4"
"    15 to 17 years","3.8%","±0.2","4.2%","±0.5","3.3%","±0.4"
"    18 to 24 years","6.5%","±0.3","6.8%","±0.5","6.1%","±0.5"
"    15 to 44 years","27.7%","±0.5","28.6%","±0.7","26.8%","±0.7"
"    16 years and over","84.5%","±0.4","84.3%","±0.8","84.7%","±0.6"
"    18 years and over","82.0%","±0.2","81.8%","±0.7","82.3%","±0.6"
"    60 years and over","34.4%","±1.1","34.0%","±1.3","34.8%","±1.4"
"    62 years and over","30.9%","±1.0","30.6%","±1.2","31.1%","±1.4"
"    65 years and over","25.1%","±0.5","25.0%","±0.5","25.2%","±0.7"
"    75 years and over","9.3%","±0.3","9.0%","±0.4","9.6%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","51.2","±0.4","50.6","±0.6","52.1","±0.6"
"    Sex ratio (males per 100 females)","97.9","±1.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","75.6","±1.2","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","44.1","±1.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","31.5","±0.5","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","3.0%","(X)","(X)","(X)","(X)","(X)"
