"Label (Grouping)","Merced County, California!!Total!!Estimate","Merced County, California!!Total!!Margin of Error","Merced County, California!!Male!!Estimate","Merced County, California!!Male!!Margin of Error","Merced County, California!!Female!!Estimate","Merced County, California!!Female!!Margin of Error"
"Total population","262,305","*****","132,891","±642","129,414","±642"
"AGE","","","","","",""
"    Under 5 years","8.3%","±0.1","8.6%","±0.1","8.0%","±0.1"
"    5 to 9 years","8.4%","±0.6","8.3%","±0.9","8.5%","±1.1"
"    10 to 14 years","8.9%","±0.7","9.3%","±0.9","8.4%","±1.1"
"    15 to 19 years","9.1%","±0.2","9.3%","±0.3","8.9%","±0.4"
"    20 to 24 years","8.6%","±0.2","8.7%","±0.4","8.5%","±0.4"
"    25 to 29 years","6.8%","±0.2","7.3%","±0.4","6.4%","±0.3"
"    30 to 34 years","6.5%","±0.2","6.7%","±0.3","6.3%","±0.3"
"    35 to 39 years","6.8%","±0.7","6.3%","±1.0","7.2%","±0.7"
"    40 to 44 years","5.7%","±0.7","5.9%","±1.0","5.5%","±0.8"
"    45 to 49 years","5.9%","±0.3","6.0%","±0.4","5.8%","±0.3"
"    50 to 54 years","5.9%","±0.3","5.7%","±0.4","6.0%","±0.4"
"    55 to 59 years","5.0%","±0.5","4.7%","±0.8","5.4%","±0.7"
"    60 to 64 years","4.2%","±0.5","4.5%","±0.7","3.8%","±0.7"
"    65 to 69 years","3.6%","±0.3","3.4%","±0.4","3.8%","±0.5"
"    70 to 74 years","2.2%","±0.3","1.9%","±0.4","2.6%","±0.5"
"    75 to 79 years","1.9%","±0.3","1.6%","±0.4","2.1%","±0.4"
"    80 to 84 years","1.3%","±0.3","1.1%","±0.4","1.6%","±0.3"
"    85 years and over","1.0%","±0.2","0.8%","±0.3","1.3%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","17.2%","±0.1","17.6%","±0.3","16.9%","±0.2"
"    15 to 17 years","5.3%","±0.1","5.4%","±0.4","5.2%","±0.4"
"    18 to 24 years","12.4%","±0.2","12.6%","±0.3","12.1%","±0.3"
"    15 to 44 years","43.5%","±0.4","44.3%","±0.6","42.7%","±0.6"
"    16 years and over","72.8%","±0.3","72.4%","±0.5","73.2%","±0.5"
"    18 years and over","69.2%","±0.1","68.5%","±0.4","69.9%","±0.3"
"    60 years and over","14.2%","±0.5","13.2%","±0.8","15.2%","±0.7"
"    62 years and over","12.3%","±0.4","11.7%","±0.7","13.0%","±0.4"
"    65 years and over","10.0%","±0.1","8.7%","±0.2","11.3%","±0.2"
"    75 years and over","4.2%","±0.1","3.4%","±0.2","5.0%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","30.0","±0.1","29.1","±0.5","31.0","±0.4"
"    Sex ratio (males per 100 females)","102.7","±1.0","(X)","(X)","(X)","(X)"
"    Age dependency ratio","69.0","±0.5","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","16.9","±0.3","(X)","(X)","(X)","(X)"
"        Child dependency ratio","52.1","±0.3","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.9%","(X)","(X)","(X)","(X)","(X)"
