"Label (Grouping)","Merced County, California!!Total!!Estimate","Merced County, California!!Total!!Margin of Error","Merced County, California!!Male!!Estimate","Merced County, California!!Male!!Margin of Error","Merced County, California!!Female!!Estimate","Merced County, California!!Female!!Margin of Error"
"Total population","256,398","*****","129,131","±139","127,267","±139"
"AGE","","","","","",""
"    Under 5 years","8.6%","±0.1","8.8%","±0.1","8.5%","±0.1"
"    5 to 9 years","8.4%","±0.2","8.5%","±0.4","8.2%","±0.4"
"    10 to 14 years","8.8%","±0.2","9.0%","±0.4","8.7%","±0.4"
"    15 to 19 years","9.4%","±0.1","9.8%","±0.1","9.1%","±0.1"
"    20 to 24 years","8.0%","±0.1","8.3%","±0.1","7.7%","±0.1"
"    25 to 29 years","7.1%","±0.1","7.4%","±0.1","6.9%","±0.1"
"    30 to 34 years","6.6%","±0.1","6.6%","±0.1","6.5%","±0.1"
"    35 to 39 years","6.4%","±0.3","6.3%","±0.4","6.6%","±0.4"
"    40 to 44 years","6.2%","±0.3","6.4%","±0.4","6.0%","±0.4"
"    45 to 49 years","6.3%","±0.1","6.3%","±0.1","6.4%","±0.1"
"    50 to 54 years","5.8%","±0.1","5.8%","±0.1","5.9%","±0.1"
"    55 to 59 years","4.9%","±0.2","4.9%","±0.3","4.9%","±0.3"
"    60 to 64 years","3.9%","±0.2","3.8%","±0.3","4.1%","±0.3"
"    65 to 69 years","3.1%","±0.1","3.0%","±0.2","3.2%","±0.2"
"    70 to 74 years","2.2%","±0.1","1.9%","±0.2","2.4%","±0.2"
"    75 to 79 years","1.8%","±0.1","1.4%","±0.1","2.2%","±0.2"
"    80 to 84 years","1.3%","±0.1","1.1%","±0.2","1.6%","±0.2"
"    85 years and over","1.1%","±0.1","0.9%","±0.1","1.3%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","17.2%","±0.1","17.5%","±0.1","16.9%","±0.1"
"    15 to 17 years","5.5%","±0.1","5.7%","±0.1","5.3%","±0.1"
"    18 to 24 years","11.9%","±0.1","12.3%","±0.1","11.5%","±0.1"
"    15 to 44 years","43.7%","±0.1","44.7%","±0.1","42.7%","±0.1"
"    16 years and over","72.2%","±0.2","71.7%","±0.3","72.8%","±0.2"
"    18 years and over","68.6%","*****","68.0%","±0.1","69.2%","±0.1"
"    60 years and over","13.4%","±0.2","12.1%","±0.3","14.7%","±0.3"
"    62 years and over","11.7%","±0.2","10.6%","±0.2","12.8%","±0.2"
"    65 years and over","9.5%","±0.1","8.3%","±0.1","10.6%","±0.1"
"    75 years and over","4.2%","±0.1","3.4%","±0.1","5.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","29.7","±0.1","28.8","±0.2","30.6","±0.1"
"    Sex ratio (males per 100 females)","101.5","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","69.1","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","16.0","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","53.1","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
