"Label (Grouping)","Merced County, California!!Total!!Estimate","Merced County, California!!Total!!Margin of Error","Merced County, California!!Male!!Estimate","Merced County, California!!Male!!Margin of Error","Merced County, California!!Female!!Estimate","Merced County, California!!Female!!Margin of Error"
"Total population","265,001","*****","133,782","±178","131,219","±178"
"AGE","","","","","",""
"    Under 5 years","8.1%","±0.1","8.2%","±0.1","8.0%","±0.1"
"    5 to 9 years","8.5%","±0.2","8.5%","±0.4","8.4%","±0.5"
"    10 to 14 years","8.5%","±0.2","8.6%","±0.4","8.3%","±0.5"
"    15 to 19 years","8.7%","±0.1","8.8%","±0.1","8.5%","±0.1"
"    20 to 24 years","8.1%","±0.1","8.4%","±0.1","7.9%","±0.1"
"    25 to 29 years","7.3%","±0.1","7.6%","±0.1","6.9%","±0.1"
"    30 to 34 years","6.8%","±0.1","7.0%","±0.1","6.5%","±0.1"
"    35 to 39 years","6.2%","±0.3","6.0%","±0.4","6.4%","±0.3"
"    40 to 44 years","6.1%","±0.3","6.3%","±0.4","5.9%","±0.3"
"    45 to 49 years","5.8%","±0.1","5.9%","±0.1","5.8%","±0.1"
"    50 to 54 years","5.8%","±0.1","5.8%","±0.1","5.9%","±0.1"
"    55 to 59 years","5.3%","±0.2","5.2%","±0.3","5.5%","±0.3"
"    60 to 64 years","4.3%","±0.2","4.2%","±0.3","4.4%","±0.3"
"    65 to 69 years","3.5%","±0.2","3.5%","±0.2","3.6%","±0.2"
"    70 to 74 years","2.5%","±0.2","2.2%","±0.2","2.8%","±0.2"
"    75 to 79 years","1.9%","±0.1","1.8%","±0.2","2.0%","±0.2"
"    80 to 84 years","1.3%","±0.1","1.0%","±0.1","1.6%","±0.2"
"    85 years and over","1.2%","±0.1","0.9%","±0.2","1.5%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","17.0%","±0.1","17.2%","±0.1","16.7%","±0.1"
"    15 to 17 years","5.1%","±0.1","5.2%","±0.1","4.9%","±0.1"
"    18 to 24 years","11.8%","±0.1","12.0%","±0.1","11.5%","±0.1"
"    15 to 44 years","43.2%","±0.1","44.1%","±0.1","42.2%","±0.1"
"    16 years and over","73.3%","±0.2","72.9%","±0.2","73.7%","±0.2"
"    18 years and over","69.9%","±0.1","69.4%","±0.1","70.3%","±0.1"
"    60 years and over","14.8%","±0.2","13.6%","±0.3","15.9%","±0.3"
"    62 years and over","12.9%","±0.1","11.9%","±0.3","13.8%","±0.2"
"    65 years and over","10.5%","±0.1","9.4%","±0.1","11.5%","±0.1"
"    75 years and over","4.4%","±0.1","3.7%","±0.1","5.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","30.6","±0.1","29.8","±0.1","31.3","±0.2"
"    Sex ratio (males per 100 females)","102.0","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","68.3","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","17.6","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","50.7","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","3.0%","(X)","(X)","(X)","(X)","(X)"
