"Label (Grouping)","Glenn County, California!!Total!!Estimate","Glenn County, California!!Total!!Margin of Error","Glenn County, California!!Male!!Estimate","Glenn County, California!!Male!!Margin of Error","Glenn County, California!!Female!!Estimate","Glenn County, California!!Female!!Margin of Error"
"Total population","27,976","*****","14,216","±73","13,760","±73"
"AGE","","","","","",""
"    Under 5 years","7.3%","±0.3","7.8%","±0.7","6.8%","±0.1"
"    5 to 9 years","7.1%","±0.9","7.8%","±1.3","6.3%","±1.4"
"    10 to 14 years","8.0%","±0.9","7.6%","±1.4","8.4%","±1.4"
"    15 to 19 years","7.1%","±0.4","7.0%","±0.6","7.3%","±0.3"
"    20 to 24 years","6.7%","±0.3","7.2%","±0.6","6.1%","±0.2"
"    25 to 29 years","6.1%","±0.1","6.2%","±0.1","5.9%","±0.2"
"    30 to 34 years","6.0%","±0.1","6.0%","±0.1","6.0%","±0.3"
"    35 to 39 years","5.3%","±0.8","5.7%","±1.2","4.9%","±1.0"
"    40 to 44 years","6.5%","±0.9","5.9%","±1.2","7.2%","±1.0"
"    45 to 49 years","5.8%","±0.2","5.7%","±0.3","6.0%","±0.3"
"    50 to 54 years","6.8%","±0.2","7.2%","±0.4","6.5%","±0.2"
"    55 to 59 years","6.3%","±0.7","6.6%","±0.8","6.1%","±1.0"
"    60 to 64 years","6.4%","±0.7","5.9%","±0.9","6.8%","±1.0"
"    65 to 69 years","5.0%","±0.6","5.4%","±0.6","4.6%","±0.8"
"    70 to 74 years","3.1%","±0.5","2.5%","±0.5","3.7%","±0.7"
"    75 to 79 years","2.8%","±0.5","2.5%","±0.5","3.1%","±0.7"
"    80 to 84 years","1.8%","±0.4","1.2%","±0.4","2.3%","±0.6"
"    85 years and over","1.9%","±0.4","1.9%","±0.5","1.9%","±0.5"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.1%","±0.2","15.4%","±0.5","14.7%","±0.3"
"    15 to 17 years","4.7%","±0.2","4.8%","±0.2","4.6%","±0.2"
"    18 to 24 years","9.1%","±0.2","9.4%","±0.3","8.8%","±0.3"
"    15 to 44 years","37.7%","±0.3","37.9%","±0.4","37.5%","±0.4"
"    16 years and over","76.0%","±0.4","75.5%","±0.6","76.5%","±0.7"
"    18 years and over","72.9%","±0.2","72.0%","±0.4","73.9%","±0.3"
"    60 years and over","20.9%","±0.7","19.5%","±0.9","22.4%","±1.1"
"    62 years and over","18.1%","±0.7","16.6%","±0.8","19.6%","±1.0"
"    65 years and over","14.6%","±0.3","13.6%","±0.4","15.6%","±0.3"
"    75 years and over","6.4%","±0.1","5.6%","±0.3","7.2%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.9","±0.5","35.4","±0.4","37.8","±1.1"
"    Sex ratio (males per 100 females)","103.3","±1.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","71.3","±1.0","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","24.9","±0.7","(X)","(X)","(X)","(X)"
"    Child dependency ratio","46.4","±0.4","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.9%","(X)","(X)","(X)","(X)","(X)"
