"Label (Grouping)","San Bernardino County, California!!Total!!Estimate","San Bernardino County, California!!Total!!Margin of Error","San Bernardino County, California!!Male!!Estimate","San Bernardino County, California!!Male!!Margin of Error","San Bernardino County, California!!Female!!Estimate","San Bernardino County, California!!Female!!Margin of Error"
"Total population","2,106,754","*****","1,047,925","±62","1,058,829","±62"
"AGE","","","","","",""
"    Under 5 years","7.3%","*****","7.5%","±0.1","7.2%","±0.1"
"    5 to 9 years","7.6%","±0.1","7.7%","±0.1","7.5%","±0.1"
"    10 to 14 years","7.6%","±0.1","8.0%","±0.1","7.3%","±0.1"
"    15 to 19 years","7.8%","±0.1","8.1%","±0.1","7.5%","±0.1"
"    20 to 24 years","8.2%","±0.1","8.6%","±0.1","7.8%","±0.1"
"    25 to 29 years","7.6%","*****","7.8%","±0.1","7.4%","±0.1"
"    30 to 34 years","7.0%","*****","7.1%","±0.1","6.9%","±0.1"
"    35 to 39 years","6.4%","±0.1","6.4%","±0.1","6.5%","±0.2"
"    40 to 44 years","6.4%","±0.1","6.4%","±0.1","6.5%","±0.2"
"    45 to 49 years","6.4%","±0.1","6.4%","±0.1","6.4%","±0.1"
"    50 to 54 years","6.5%","±0.1","6.4%","±0.1","6.6%","±0.1"
"    55 to 59 years","5.9%","±0.1","5.7%","±0.1","6.0%","±0.1"
"    60 to 64 years","4.9%","±0.1","4.7%","±0.1","5.1%","±0.1"
"    65 to 69 years","3.7%","±0.1","3.5%","±0.1","3.8%","±0.1"
"    70 to 74 years","2.5%","±0.1","2.3%","±0.1","2.7%","±0.1"
"    75 to 79 years","1.8%","±0.1","1.6%","±0.1","1.9%","±0.1"
"    80 to 84 years","1.2%","±0.1","1.0%","±0.1","1.4%","±0.1"
"    85 years and over","1.2%","±0.1","0.8%","±0.1","1.6%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.2%","*****","15.7%","±0.1","14.8%","±0.1"
"    15 to 17 years","4.8%","*****","4.9%","±0.1","4.7%","±0.1"
"    18 to 24 years","11.2%","*****","11.8%","±0.1","10.7%","±0.1"
"    15 to 44 years","43.4%","*****","44.3%","±0.1","42.6%","±0.1"
"    16 years and over","75.9%","±0.1","75.3%","±0.1","76.5%","±0.1"
"    18 years and over","72.6%","*****","71.9%","±0.1","73.4%","±0.1"
"    60 years and over","15.2%","±0.1","14.0%","±0.1","16.5%","±0.1"
"    62 years and over","13.0%","±0.1","11.9%","±0.1","14.2%","±0.1"
"    65 years and over","10.4%","±0.1","9.3%","±0.1","11.4%","±0.1"
"    75 years and over","4.2%","±0.1","3.4%","±0.1","4.9%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","32.7","±0.1","31.6","±0.1","33.9","±0.2"
"    Sex ratio (males per 100 females)","99.0","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.6","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","16.6","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","43.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.8%","(X)","(X)","(X)","(X)","(X)"
