"Label (Grouping)","San Bernardino County, California!!Total!!Estimate","San Bernardino County, California!!Total!!Margin of Error","San Bernardino County, California!!Male!!Estimate","San Bernardino County, California!!Male!!Margin of Error","San Bernardino County, California!!Female!!Estimate","San Bernardino County, California!!Female!!Margin of Error"
"Total population","2,140,096","*****","1,063,881","±574","1,076,215","±574"
"AGE","","","","","",""
"    Under 5 years","7.2%","±0.1","7.4%","±0.1","7.0%","±0.1"
"    5 to 9 years","7.4%","±0.2","7.4%","±0.3","7.5%","±0.3"
"    10 to 14 years","7.5%","±0.2","8.0%","±0.3","7.1%","±0.3"
"    15 to 19 years","7.5%","±0.1","7.7%","±0.1","7.2%","±0.1"
"    20 to 24 years","7.9%","±0.1","8.3%","±0.1","7.5%","±0.1"
"    25 to 29 years","7.9%","±0.1","8.1%","±0.1","7.7%","±0.1"
"    30 to 34 years","7.0%","±0.1","7.1%","±0.1","6.9%","±0.1"
"    35 to 39 years","6.4%","±0.2","6.5%","±0.3","6.3%","±0.3"
"    40 to 44 years","6.4%","±0.2","6.2%","±0.3","6.6%","±0.3"
"    45 to 49 years","6.3%","±0.1","6.3%","±0.1","6.3%","±0.1"
"    50 to 54 years","6.3%","±0.1","6.2%","±0.1","6.4%","±0.1"
"    55 to 59 years","6.0%","±0.2","5.7%","±0.3","6.2%","±0.2"
"    60 to 64 years","5.2%","±0.2","5.1%","±0.3","5.2%","±0.2"
"    65 to 69 years","4.1%","±0.1","4.0%","±0.2","4.2%","±0.2"
"    70 to 74 years","2.6%","±0.1","2.4%","±0.2","2.9%","±0.2"
"    75 to 79 years","1.8%","±0.1","1.6%","±0.1","2.0%","±0.2"
"    80 to 84 years","1.2%","±0.1","1.2%","±0.1","1.3%","±0.2"
"    85 years and over","1.3%","±0.1","0.8%","±0.1","1.7%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.0%","±0.1","15.3%","±0.1","14.6%","±0.1"
"    15 to 17 years","4.6%","±0.1","4.7%","±0.1","4.5%","±0.1"
"    18 to 24 years","10.7%","±0.1","11.3%","±0.1","10.2%","±0.1"
"    15 to 44 years","43.0%","±0.1","43.9%","±0.1","42.1%","±0.1"
"    16 years and over","76.3%","±0.1","75.8%","±0.2","76.9%","±0.2"
"    18 years and over","73.2%","*****","72.5%","±0.1","73.9%","±0.1"
"    60 years and over","16.2%","±0.2","15.1%","±0.3","17.3%","±0.2"
"    62 years and over","13.8%","±0.2","12.7%","±0.2","14.8%","±0.2"
"    65 years and over","11.1%","±0.1","10.0%","±0.1","12.1%","±0.1"
"    75 years and over","4.3%","±0.1","3.6%","±0.1","5.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","33.2","±0.1","32.1","±0.2","34.3","±0.1"
"    Sex ratio (males per 100 females)","98.9","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.9","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","17.8","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","43.1","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.4%","(X)","(X)","(X)","(X)","(X)"
