"Label (Grouping)","Butte County, California!!Total!!Estimate","Butte County, California!!Total!!Margin of Error","Butte County, California!!Male!!Estimate","Butte County, California!!Male!!Margin of Error","Butte County, California!!Female!!Estimate","Butte County, California!!Female!!Margin of Error"
"Total population","220,101","*****","108,961","±77","111,140","±77"
"AGE","","","","","",""
"    Under 5 years","5.6%","±0.1","5.7%","±0.1","5.5%","±0.1"
"    5 to 9 years","5.5%","±0.2","5.8%","±0.4","5.1%","±0.3"
"    10 to 14 years","6.0%","±0.2","6.0%","±0.4","6.0%","±0.3"
"    15 to 19 years","7.8%","±0.1","8.1%","±0.1","7.6%","±0.1"
"    20 to 24 years","11.1%","±0.1","11.8%","±0.1","10.5%","±0.1"
"    25 to 29 years","6.3%","±0.1","6.8%","±0.1","5.9%","±0.1"
"    30 to 34 years","5.5%","±0.1","5.7%","±0.1","5.3%","±0.1"
"    35 to 39 years","5.0%","±0.3","5.5%","±0.4","4.5%","±0.3"
"    40 to 44 years","5.6%","±0.3","5.4%","±0.4","5.8%","±0.4"
"    45 to 49 years","6.1%","±0.1","6.0%","±0.1","6.3%","±0.1"
"    50 to 54 years","6.8%","±0.1","6.8%","±0.1","6.9%","±0.1"
"    55 to 59 years","6.8%","±0.3","6.7%","±0.4","6.8%","±0.3"
"    60 to 64 years","6.3%","±0.3","6.1%","±0.4","6.5%","±0.3"
"    65 to 69 years","4.6%","±0.2","4.5%","±0.3","4.7%","±0.3"
"    70 to 74 years","3.4%","±0.2","3.0%","±0.3","3.7%","±0.3"
"    75 to 79 years","2.7%","±0.2","2.4%","±0.2","2.9%","±0.3"
"    80 to 84 years","2.4%","±0.2","2.2%","±0.2","2.7%","±0.3"
"    85 years and over","2.4%","±0.2","1.6%","±0.2","3.3%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.5%","±0.1","11.9%","±0.1","11.1%","±0.1"
"    15 to 17 years","3.8%","±0.1","4.0%","±0.1","3.7%","±0.1"
"    18 to 24 years","15.1%","±0.1","15.8%","±0.1","14.4%","±0.1"
"    15 to 44 years","41.4%","±0.1","43.2%","±0.1","39.6%","±0.1"
"    16 years and over","81.9%","±0.1","81.4%","±0.2","82.4%","±0.2"
"    18 years and over","79.1%","*****","78.4%","±0.1","79.8%","±0.1"
"    60 years and over","21.8%","±0.3","19.8%","±0.4","23.8%","±0.4"
"    62 years and over","19.2%","±0.2","17.3%","±0.4","21.1%","±0.3"
"    65 years and over","15.5%","±0.1","13.7%","±0.1","17.3%","±0.1"
"    75 years and over","7.6%","±0.1","6.2%","±0.1","8.9%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.3","±0.3","35.1","±0.2","39.7","±0.3"
"    Sex ratio (males per 100 females)","98.0","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","57.2","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","24.4","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","32.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.2%","(X)","(X)","(X)","(X)","(X)"
