"Label (Grouping)","Butte County, California!!Total!!Estimate","Butte County, California!!Total!!Margin of Error","Butte County, California!!Male!!Estimate","Butte County, California!!Male!!Margin of Error","Butte County, California!!Female!!Estimate","Butte County, California!!Female!!Margin of Error"
"Total population","221,539","*****","110,594","±741","110,945","±741"
"AGE","","","","","",""
"    Under 5 years","5.3%","±0.2","5.7%","±0.5","5.0%","±0.3"
"    5 to 9 years","4.9%","±0.6","4.8%","±0.8","5.1%","±0.8"
"    10 to 14 years","6.3%","±0.6","7.1%","±0.9","5.6%","±0.9"
"    15 to 19 years","7.6%","±0.4","7.8%","±0.6","7.3%","±0.4"
"    20 to 24 years","11.6%","±0.3","12.1%","±0.6","11.1%","±0.4"
"    25 to 29 years","6.2%","±0.2","6.6%","±0.4","5.9%","±0.3"
"    30 to 34 years","5.8%","±0.2","6.1%","±0.3","5.5%","±0.5"
"    35 to 39 years","5.0%","±0.6","5.9%","±0.8","4.1%","±0.7"
"    40 to 44 years","5.2%","±0.5","4.4%","±0.8","6.1%","±0.7"
"    45 to 49 years","5.8%","±0.2","5.6%","±0.2","6.0%","±0.3"
"    50 to 54 years","6.6%","±0.2","6.8%","±0.3","6.5%","±0.2"
"    55 to 59 years","6.7%","±0.6","6.4%","±1.0","7.0%","±0.8"
"    60 to 64 years","6.9%","±0.6","6.7%","±0.9","7.2%","±0.8"
"    65 to 69 years","5.4%","±0.4","5.2%","±0.6","5.7%","±0.6"
"    70 to 74 years","2.9%","±0.4","2.8%","±0.5","3.1%","±0.5"
"    75 to 79 years","2.5%","±0.4","2.2%","±0.6","2.8%","±0.5"
"    80 to 84 years","2.8%","±0.5","2.8%","±0.7","2.9%","±0.7"
"    85 years and over","2.2%","±0.4","1.2%","±0.4","3.3%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.3%","±0.3","11.9%","±0.4","10.7%","±0.6"
"    15 to 17 years","3.9%","±0.3","4.2%","±0.4","3.7%","±0.4"
"    18 to 24 years","15.2%","±0.3","15.8%","±0.5","14.7%","±0.4"
"    15 to 44 years","41.5%","±0.4","42.9%","±0.5","40.0%","±0.7"
"    16 years and over","82.4%","±0.3","81.3%","±0.6","83.4%","±0.7"
"    18 years and over","79.5%","±0.1","78.2%","±0.6","80.7%","±0.5"
"    60 years and over","22.8%","±0.6","20.8%","±0.9","24.9%","±0.8"
"    62 years and over","19.9%","±0.5","17.8%","±0.8","22.0%","±0.6"
"    65 years and over","15.9%","±0.2","14.1%","±0.2","17.8%","±0.2"
"    75 years and over","7.6%","±0.2","6.2%","±0.3","9.0%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.1","±0.6","34.8","±0.5","40.6","±1.1"
"    Sex ratio (males per 100 females)","99.7","±1.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","57.4","±0.5","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","25.1","±0.3","(X)","(X)","(X)","(X)"
"        Child dependency ratio","32.3","±0.2","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.8%","(X)","(X)","(X)","(X)","(X)"
