"Label (Grouping)","Yolo County, California!!Total!!Estimate","Yolo County, California!!Total!!Margin of Error","Yolo County, California!!Male!!Estimate","Yolo County, California!!Male!!Margin of Error","Yolo County, California!!Female!!Estimate","Yolo County, California!!Female!!Margin of Error"
"Total population","209,671","*****","102,268","±151","107,403","±151"
"AGE","","","","","",""
"    Under 5 years","5.9%","±0.1","6.2%","±0.1","5.6%","±0.1"
"    5 to 9 years","6.1%","±0.3","6.5%","±0.4","5.7%","±0.3"
"    10 to 14 years","6.0%","±0.3","6.1%","±0.4","5.9%","±0.3"
"    15 to 19 years","9.2%","±0.1","9.0%","±0.1","9.4%","±0.1"
"    20 to 24 years","14.5%","±0.1","14.1%","±0.1","14.9%","±0.1"
"    25 to 29 years","7.0%","±0.1","7.5%","±0.1","6.5%","±0.1"
"    30 to 34 years","6.5%","±0.1","6.7%","±0.1","6.3%","±0.1"
"    35 to 39 years","5.7%","±0.3","5.6%","±0.4","5.7%","±0.3"
"    40 to 44 years","5.9%","±0.3","6.2%","±0.4","5.7%","±0.3"
"    45 to 49 years","5.7%","±0.1","5.8%","±0.1","5.7%","±0.1"
"    50 to 54 years","5.7%","±0.1","5.7%","±0.1","5.8%","±0.1"
"    55 to 59 years","5.4%","±0.2","5.7%","±0.3","5.2%","±0.3"
"    60 to 64 years","5.0%","±0.2","4.5%","±0.3","5.4%","±0.3"
"    65 to 69 years","3.8%","±0.2","3.7%","±0.3","3.8%","±0.2"
"    70 to 74 years","2.7%","±0.2","2.4%","±0.3","2.9%","±0.2"
"    75 to 79 years","1.9%","±0.2","1.7%","±0.2","2.1%","±0.3"
"    80 to 84 years","1.3%","±0.1","1.2%","±0.2","1.5%","±0.2"
"    85 years and over","1.7%","±0.2","1.3%","±0.2","2.1%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.0%","±0.1","12.6%","±0.1","11.6%","±0.1"
"    15 to 17 years","3.7%","±0.1","3.9%","±0.1","3.5%","±0.1"
"    18 to 24 years","20.0%","±0.1","19.2%","±0.1","20.8%","±0.1"
"    15 to 44 years","48.8%","±0.1","49.2%","±0.1","48.5%","±0.1"
"    16 years and over","80.9%","±0.1","80.0%","±0.2","81.6%","±0.2"
"    18 years and over","78.3%","*****","77.3%","±0.1","79.3%","±0.1"
"    60 years and over","16.3%","±0.2","14.8%","±0.3","17.7%","±0.3"
"    62 years and over","14.5%","±0.3","13.2%","±0.3","15.8%","±0.3"
"    65 years and over","11.3%","±0.1","10.3%","±0.1","12.3%","±0.1"
"    75 years and over","4.9%","±0.1","4.1%","±0.1","5.6%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","30.9","±0.1","30.3","±0.2","31.5","±0.2"
"    Sex ratio (males per 100 females)","95.2","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","49.3","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","16.9","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","32.4","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.4%","(X)","(X)","(X)","(X)","(X)"
