"Label (Grouping)","Yolo County, California!!Total!!Estimate","Yolo County, California!!Total!!Margin of Error","Yolo County, California!!Male!!Estimate","Yolo County, California!!Male!!Margin of Error","Yolo County, California!!Female!!Estimate","Yolo County, California!!Female!!Margin of Error"
"Total population","204,118","*****","100,050","±1,024","104,068","±1,024"
"AGE","","","","","",""
"    Under 5 years","5.7%","±0.1","5.7%","±0.4","5.6%","±0.4"
"    5 to 9 years","5.8%","±0.6","6.5%","±1.0","5.1%","±0.7"
"    10 to 14 years","6.1%","±0.7","5.8%","±1.1","6.4%","±0.9"
"    15 to 19 years","8.9%","±0.3","8.9%","±0.6","9.0%","±0.3"
"    20 to 24 years","14.7%","±0.6","14.7%","±1.2","14.7%","±0.3"
"    25 to 29 years","6.9%","±0.4","7.6%","±0.9","6.2%","±0.1"
"    30 to 34 years","6.4%","±0.2","6.4%","±0.4","6.4%","±0.1"
"    35 to 39 years","5.7%","±0.8","5.5%","±1.1","5.9%","±0.9"
"    40 to 44 years","6.2%","±0.7","6.7%","±1.0","5.8%","±0.8"
"    45 to 49 years","6.4%","±0.3","6.6%","±0.7","6.2%","±0.5"
"    50 to 54 years","6.1%","±0.1","6.0%","±0.2","6.2%","±0.2"
"    55 to 59 years","5.6%","±0.5","5.5%","±0.7","5.7%","±0.7"
"    60 to 64 years","4.5%","±0.6","4.0%","±0.7","4.9%","±0.8"
"    65 to 69 years","3.8%","±0.5","3.3%","±0.7","4.3%","±0.7"
"    70 to 74 years","2.6%","±0.5","2.6%","±0.7","2.6%","±0.6"
"    75 to 79 years","1.7%","±0.4","1.8%","±0.6","1.6%","±0.4"
"    80 to 84 years","1.0%","±0.3","1.2%","±0.5","0.8%","±0.3"
"    85 years and over","1.9%","±0.4","1.2%","±0.4","2.5%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.9%","±0.4","12.3%","±0.4","11.5%","±0.5"
"    15 to 17 years","3.9%","±0.1","4.1%","±0.3","3.7%","±0.3"
"    18 to 24 years","19.8%","±0.6","19.5%","±1.1","20.0%","±0.3"
"    15 to 44 years","48.9%","±0.5","49.8%","±0.9","48.0%","±0.5"
"    16 years and over","81.3%","±0.5","80.8%","±0.7","81.8%","±0.7"
"    18 years and over","78.6%","±0.4","77.9%","±0.6","79.2%","±0.7"
"    60 years and over","15.4%","±0.5","14.1%","±0.7","16.8%","±0.8"
"    62 years and over","14.1%","±0.5","13.0%","±0.7","15.1%","±0.7"
"    65 years and over","11.0%","±0.2","10.0%","±0.4","11.9%","±0.3"
"    75 years and over","4.5%","±0.3","4.1%","±0.5","5.0%","±0.5"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.4","±0.3","30.5","±0.5","31.9","±0.6"
"    Sex ratio (males per 100 females)","96.1","±1.9","(X)","(X)","(X)","(X)"
"    Age dependency ratio","48.0","±1.0","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","16.2","±0.4","(X)","(X)","(X)","(X)"
"        Child dependency ratio","31.7","±0.8","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.9%","(X)","(X)","(X)","(X)","(X)"
