"Label (Grouping)","Yolo County, California!!Total!!Estimate","Yolo County, California!!Total!!Margin of Error","Yolo County, California!!Male!!Estimate","Yolo County, California!!Male!!Margin of Error","Yolo County, California!!Female!!Estimate","Yolo County, California!!Female!!Margin of Error"
"Total population","215,802","*****","105,035","±759","110,767","±759"
"AGE","","","","","",""
"    Under 5 years","5.8%","±0.2","5.8%","±0.4","5.8%","±0.5"
"    5 to 9 years","6.4%","±0.7","6.6%","±1.2","6.3%","±1.0"
"    10 to 14 years","5.4%","±0.7","5.7%","±1.1","5.2%","±0.8"
"    15 to 19 years","9.4%","±0.2","8.9%","±0.3","9.8%","±0.6"
"    20 to 24 years","13.8%","±0.3","13.3%","±0.3","14.4%","±0.5"
"    25 to 29 years","7.5%","±0.3","8.3%","±0.5","6.8%","±0.1"
"    30 to 34 years","6.3%","±0.3","6.5%","±0.3","6.1%","±0.4"
"    35 to 39 years","6.9%","±0.7","7.5%","±1.0","6.3%","±0.8"
"    40 to 44 years","5.2%","±0.7","5.3%","±1.0","5.1%","±0.8"
"    45 to 49 years","5.3%","±0.2","5.4%","±0.5","5.3%","±0.1"
"    50 to 54 years","5.3%","±0.2","5.3%","±0.4","5.4%","±0.1"
"    55 to 59 years","5.6%","±0.6","6.1%","±0.7","5.1%","±0.7"
"    60 to 64 years","5.0%","±0.6","4.3%","±0.6","5.6%","±0.8"
"    65 to 69 years","4.5%","±0.4","4.6%","±0.5","4.4%","±0.5"
"    70 to 74 years","2.5%","±0.4","2.3%","±0.5","2.7%","±0.6"
"    75 to 79 years","1.8%","±0.4","1.6%","±0.4","2.0%","±0.5"
"    80 to 84 years","1.4%","±0.3","1.2%","±0.4","1.7%","±0.5"
"    85 years and over","1.8%","±0.3","1.3%","±0.3","2.2%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.9%","±0.3","12.3%","±0.4","11.5%","±0.4"
"    15 to 17 years","3.5%","±0.1","3.8%","±0.3","3.3%","±0.3"
"    18 to 24 years","19.7%","±0.4","18.4%","±0.3","20.9%","±0.7"
"    15 to 44 years","49.1%","±0.4","49.8%","±0.8","48.4%","±0.4"
"    16 years and over","80.8%","±0.4","80.6%","±0.6","81.0%","±0.7"
"    18 years and over","78.8%","±0.2","78.1%","±0.6","79.5%","±0.5"
"    60 years and over","17.0%","±0.6","15.3%","±0.7","18.6%","±0.8"
"    62 years and over","15.3%","±0.6","13.6%","±0.6","16.9%","±0.8"
"    65 years and over","12.0%","±0.2","11.0%","±0.3","13.0%","±0.2"
"    75 years and over","5.0%","±0.2","4.1%","±0.2","5.8%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","30.9","±0.4","30.6","±0.3","31.4","±0.7"
"    Sex ratio (males per 100 females)","94.8","±1.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","49.7","±0.5","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","18.0","±0.3","(X)","(X)","(X)","(X)"
"    Child dependency ratio","31.7","±0.4","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)"
