"Label (Grouping)","Ventura County, California!!Total!!Estimate","Ventura County, California!!Total!!Margin of Error","Ventura County, California!!Male!!Estimate","Ventura County, California!!Male!!Margin of Error","Ventura County, California!!Female!!Estimate","Ventura County, California!!Female!!Margin of Error"
"Total population","835,981","*****","415,367","±490","420,614","±490"
"AGE","","","","","",""
"    Under 5 years","6.6%","±0.1","6.7%","±0.1","6.4%","±0.1"
"    5 to 9 years","7.1%","±0.3","7.0%","±0.4","7.2%","±0.5"
"    10 to 14 years","6.8%","±0.3","7.2%","±0.4","6.4%","±0.5"
"    15 to 19 years","7.3%","±0.1","7.6%","±0.1","7.0%","±0.1"
"    20 to 24 years","7.3%","±0.1","7.8%","±0.2","6.9%","±0.1"
"    25 to 29 years","6.5%","±0.1","6.9%","±0.1","6.2%","±0.1"
"    30 to 34 years","6.4%","±0.1","6.5%","±0.1","6.2%","±0.1"
"    35 to 39 years","6.5%","±0.3","6.4%","±0.4","6.7%","±0.5"
"    40 to 44 years","6.4%","±0.3","6.6%","±0.4","6.3%","±0.5"
"    45 to 49 years","7.1%","±0.1","7.1%","±0.1","7.2%","±0.1"
"    50 to 54 years","7.5%","±0.1","7.4%","±0.1","7.6%","±0.1"
"    55 to 59 years","6.6%","±0.3","6.5%","±0.4","6.7%","±0.4"
"    60 to 64 years","5.3%","±0.3","5.1%","±0.4","5.5%","±0.4"
"    65 to 69 years","4.2%","±0.2","4.0%","±0.3","4.4%","±0.3"
"    70 to 74 years","2.7%","±0.2","2.6%","±0.3","2.9%","±0.3"
"    75 to 79 years","2.2%","±0.2","2.0%","±0.2","2.4%","±0.2"
"    80 to 84 years","1.6%","±0.2","1.3%","±0.2","1.9%","±0.2"
"    85 years and over","1.9%","±0.2","1.4%","±0.2","2.5%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.9%","±0.1","14.2%","±0.1","13.6%","±0.1"
"    15 to 17 years","4.5%","±0.1","4.7%","±0.1","4.2%","±0.1"
"    18 to 24 years","10.1%","±0.1","10.6%","±0.1","9.6%","±0.1"
"    15 to 44 years","40.4%","±0.1","41.8%","±0.1","39.1%","±0.1"
"    16 years and over","77.9%","±0.2","77.5%","±0.2","78.3%","±0.3"
"    18 years and over","75.1%","±0.1","74.4%","±0.1","75.8%","±0.1"
"    60 years and over","17.9%","±0.3","16.3%","±0.4","19.5%","±0.4"
"    62 years and over","15.8%","±0.3","14.2%","±0.3","17.3%","±0.4"
"    65 years and over","12.6%","±0.1","11.2%","±0.1","14.0%","±0.1"
"    75 years and over","5.7%","±0.1","4.7%","±0.1","6.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","36.5","±0.2","35.2","±0.2","37.7","±0.4"
"    Sex ratio (males per 100 females)","98.8","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.1","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","20.2","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","39.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
