"Label (Grouping)","San Joaquin County, California!!Total!!Estimate","San Joaquin County, California!!Total!!Margin of Error","San Joaquin County, California!!Male!!Estimate","San Joaquin County, California!!Male!!Margin of Error","San Joaquin County, California!!Female!!Estimate","San Joaquin County, California!!Female!!Margin of Error"
"Total population","733,709","*****","365,605","±444","368,104","±444"
"AGE","","","","","",""
"    Under 5 years","7.1%","±0.1","7.3%","±0.1","6.8%","±0.1"
"    5 to 9 years","8.1%","±0.4","8.1%","±0.5","8.1%","±0.5"
"    10 to 14 years","7.5%","±0.4","7.9%","±0.5","7.1%","±0.5"
"    15 to 19 years","7.5%","±0.1","7.9%","±0.2","7.2%","±0.2"
"    20 to 24 years","7.0%","±0.1","7.2%","±0.2","6.7%","±0.1"
"    25 to 29 years","7.1%","±0.1","7.4%","±0.1","6.8%","±0.1"
"    30 to 34 years","6.8%","±0.1","6.8%","±0.1","6.7%","±0.1"
"    35 to 39 years","6.4%","±0.4","6.3%","±0.5","6.6%","±0.5"
"    40 to 44 years","6.3%","±0.4","6.5%","±0.5","6.2%","±0.5"
"    45 to 49 years","6.4%","±0.1","6.3%","±0.1","6.4%","±0.1"
"    50 to 54 years","6.3%","±0.1","6.3%","±0.1","6.2%","±0.1"
"    55 to 59 years","5.8%","±0.3","6.0%","±0.4","5.7%","±0.5"
"    60 to 64 years","5.2%","±0.3","4.9%","±0.4","5.6%","±0.5"
"    65 to 69 years","4.0%","±0.3","3.8%","±0.4","4.2%","±0.3"
"    70 to 74 years","3.3%","±0.2","3.0%","±0.3","3.7%","±0.3"
"    75 to 79 years","2.0%","±0.2","1.8%","±0.2","2.2%","±0.3"
"    80 to 84 years","1.5%","±0.2","1.3%","±0.2","1.8%","±0.3"
"    85 years and over","1.5%","±0.2","1.0%","±0.2","1.9%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","15.6%","±0.1","16.0%","±0.1","15.3%","±0.1"
"    15 to 17 years","4.7%","±0.1","4.9%","±0.1","4.6%","±0.1"
"    18 to 24 years","9.8%","±0.1","10.2%","±0.1","9.3%","±0.1"
"    15 to 44 years","41.2%","±0.1","42.2%","±0.1","40.1%","±0.1"
"    16 years and over","75.7%","±0.2","74.9%","±0.3","76.5%","±0.3"
"    18 years and over","72.6%","*****","71.8%","±0.1","73.3%","±0.1"
"    60 years and over","17.6%","±0.3","15.8%","±0.4","19.4%","±0.5"
"    62 years and over","15.2%","±0.3","13.5%","±0.4","16.9%","±0.4"
"    65 years and over","12.4%","±0.1","10.9%","±0.1","13.8%","±0.1"
"    75 years and over","5.0%","±0.1","4.1%","±0.1","6.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","34.3","±0.2","33.2","±0.3","35.3","±0.2"
"    Sex ratio (males per 100 females)","99.3","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","66.2","±0.1","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","20.6","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","45.6","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
