"Label (Grouping)","Tulare County, California!!Total!!Estimate","Tulare County, California!!Total!!Margin of Error","Tulare County, California!!Male!!Estimate","Tulare County, California!!Male!!Margin of Error","Tulare County, California!!Female!!Estimate","Tulare County, California!!Female!!Margin of Error"
"Total population","455,769","*****","227,963","±82","227,806","±82"
"AGE","","","","","",""
"    Under 5 years","8.7%","±0.1","8.9%","±0.1","8.5%","±0.1"
"    5 to 9 years","9.0%","±0.2","9.2%","±0.4","8.8%","±0.3"
"    10 to 14 years","8.7%","±0.2","8.9%","±0.4","8.6%","±0.3"
"    15 to 19 years","8.2%","±0.1","8.4%","±0.1","8.0%","±0.1"
"    20 to 24 years","7.6%","±0.1","7.9%","±0.1","7.4%","±0.1"
"    25 to 29 years","7.1%","±0.1","7.2%","±0.1","7.0%","±0.1"
"    30 to 34 years","6.9%","±0.1","7.0%","±0.1","6.9%","±0.1"
"    35 to 39 years","6.0%","±0.2","6.2%","±0.3","5.8%","±0.3"
"    40 to 44 years","6.3%","±0.2","6.2%","±0.3","6.4%","±0.3"
"    45 to 49 years","5.8%","±0.1","5.8%","±0.1","5.7%","±0.1"
"    50 to 54 years","5.7%","±0.1","5.6%","±0.1","5.7%","±0.1"
"    55 to 59 years","5.1%","±0.2","5.0%","±0.2","5.2%","±0.2"
"    60 to 64 years","4.5%","±0.2","4.4%","±0.2","4.6%","±0.2"
"    65 to 69 years","3.6%","±0.1","3.4%","±0.2","3.8%","±0.2"
"    70 to 74 years","2.4%","±0.1","2.3%","±0.2","2.5%","±0.2"
"    75 to 79 years","1.8%","±0.1","1.7%","±0.1","1.9%","±0.2"
"    80 to 84 years","1.3%","±0.1","1.1%","±0.1","1.5%","±0.2"
"    85 years and over","1.3%","±0.1","0.9%","±0.1","1.7%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","17.7%","±0.1","18.1%","±0.1","17.4%","±0.1"
"    15 to 17 years","5.1%","±0.1","5.2%","±0.1","5.1%","±0.1"
"    18 to 24 years","10.7%","±0.1","11.1%","±0.1","10.3%","±0.1"
"    15 to 44 years","42.1%","±0.1","42.8%","±0.1","41.4%","±0.1"
"    16 years and over","71.9%","±0.1","71.2%","±0.2","72.5%","±0.1"
"    18 years and over","68.4%","±0.1","67.8%","±0.1","69.0%","±0.1"
"    60 years and over","14.9%","±0.2","13.8%","±0.2","16.1%","±0.2"
"    62 years and over","13.0%","±0.1","11.9%","±0.2","14.1%","±0.2"
"    65 years and over","10.4%","±0.1","9.4%","±0.1","11.5%","±0.1"
"    75 years and over","4.4%","±0.1","3.7%","±0.1","5.1%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","30.4","±0.1","29.8","±0.2","31.1","±0.2"
"    Sex ratio (males per 100 females)","100.1","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","72.4","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","18.0","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","54.5","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.8%","(X)","(X)","(X)","(X)","(X)"
