"Label (Grouping)","Tulare County, California!!Total!!Estimate","Tulare County, California!!Total!!Margin of Error","Tulare County, California!!Male!!Estimate","Tulare County, California!!Male!!Margin of Error","Tulare County, California!!Female!!Estimate","Tulare County, California!!Female!!Margin of Error"
"Total population","460,437","*****","228,947","±775","231,490","±775"
"AGE","","","","","",""
"    Under 5 years","8.6%","±0.1","8.6%","±0.2","8.5%","±0.2"
"    5 to 9 years","8.8%","±0.7","9.3%","±1.2","8.3%","±0.9"
"    10 to 14 years","8.9%","±0.7","8.8%","±1.2","8.9%","±0.9"
"    15 to 19 years","8.0%","±0.1","8.0%","±0.1","7.9%","±0.2"
"    20 to 24 years","7.3%","±0.1","7.5%","±0.2","7.1%","±0.2"
"    25 to 29 years","7.3%","±0.1","7.3%","±0.2","7.3%","±0.2"
"    30 to 34 years","6.7%","±0.2","6.7%","±0.2","6.8%","±0.3"
"    35 to 39 years","6.4%","±0.5","6.9%","±0.7","5.9%","±0.7"
"    40 to 44 years","6.0%","±0.5","5.9%","±0.6","6.1%","±0.7"
"    45 to 49 years","5.7%","±0.2","5.7%","±0.2","5.7%","±0.3"
"    50 to 54 years","5.6%","±0.2","5.6%","±0.2","5.7%","±0.3"
"    55 to 59 years","5.4%","±0.4","5.1%","±0.6","5.7%","±0.6"
"    60 to 64 years","4.5%","±0.4","4.7%","±0.5","4.3%","±0.6"
"    65 to 69 years","3.7%","±0.3","3.4%","±0.4","3.9%","±0.4"
"    70 to 74 years","2.7%","±0.3","2.6%","±0.4","2.8%","±0.4"
"    75 to 79 years","2.0%","±0.3","1.8%","±0.4","2.1%","±0.3"
"    80 to 84 years","1.3%","±0.2","1.1%","±0.3","1.4%","±0.3"
"    85 years and over","1.2%","±0.2","0.9%","±0.3","1.6%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","17.6%","±0.1","18.1%","±0.2","17.2%","±0.1"
"    15 to 17 years","5.1%","±0.1","5.1%","±0.1","5.0%","±0.2"
"    18 to 24 years","10.2%","±0.1","10.5%","±0.2","9.9%","±0.2"
"    15 to 44 years","41.7%","±0.2","42.3%","±0.3","41.1%","±0.3"
"    16 years and over","72.4%","±0.3","71.7%","±0.5","73.1%","±0.4"
"    18 years and over","68.7%","±0.1","68.3%","±0.2","69.2%","±0.3"
"    60 years and over","15.4%","±0.4","14.6%","±0.5","16.1%","±0.6"
"    62 years and over","13.3%","±0.4","12.5%","±0.5","14.2%","±0.5"
"    65 years and over","10.9%","±0.1","9.9%","±0.1","11.9%","±0.1"
"    75 years and over","4.5%","±0.1","3.9%","±0.1","5.1%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","30.8","±0.2","30.3","±0.2","31.3","±0.3"
"    Sex ratio (males per 100 females)","98.9","±0.7","(X)","(X)","(X)","(X)"
"    Age dependency ratio","72.9","±0.3","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","18.9","±0.2","(X)","(X)","(X)","(X)"
"    Child dependency ratio","54.1","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.3%","(X)","(X)","(X)","(X)","(X)"
