"Label (Grouping)","Tulare County, California!!Total!!Estimate","Tulare County, California!!Total!!Margin of Error","Tulare County, California!!Male!!Estimate","Tulare County, California!!Male!!Margin of Error","Tulare County, California!!Female!!Estimate","Tulare County, California!!Female!!Margin of Error"
"Total population","441,877","*****","221,571","±75","220,306","±75"
"AGE","","","","","",""
"    Under 5 years","9.3%","±0.1","9.5%","±0.1","9.1%","±0.1"
"    5 to 9 years","8.6%","±0.2","8.6%","±0.3","8.5%","±0.3"
"    10 to 14 years","9.1%","±0.2","9.4%","±0.3","8.9%","±0.3"
"    15 to 19 years","8.7%","±0.1","9.0%","±0.1","8.4%","±0.1"
"    20 to 24 years","7.4%","±0.1","7.7%","±0.1","7.2%","±0.1"
"    25 to 29 years","7.3%","±0.1","7.4%","±0.1","7.1%","±0.1"
"    30 to 34 years","6.7%","±0.1","6.8%","±0.1","6.6%","±0.1"
"    35 to 39 years","6.3%","±0.2","6.5%","±0.2","6.2%","±0.2"
"    40 to 44 years","6.0%","±0.2","6.0%","±0.2","6.1%","±0.2"
"    45 to 49 years","6.1%","±0.1","6.1%","±0.1","6.1%","±0.1"
"    50 to 54 years","5.7%","±0.1","5.7%","±0.1","5.8%","±0.1"
"    55 to 59 years","5.0%","±0.2","5.0%","±0.2","5.1%","±0.2"
"    60 to 64 years","4.1%","±0.2","3.9%","±0.2","4.2%","±0.2"
"    65 to 69 years","3.1%","±0.1","2.8%","±0.1","3.3%","±0.2"
"    70 to 74 years","2.2%","±0.1","2.1%","±0.1","2.3%","±0.2"
"    75 to 79 years","1.7%","±0.1","1.5%","±0.1","1.9%","±0.1"
"    80 to 84 years","1.3%","±0.1","1.1%","±0.1","1.5%","±0.1"
"    85 years and over","1.2%","±0.1","0.9%","±0.1","1.6%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","17.7%","±0.1","18.0%","±0.1","17.4%","±0.1"
"    15 to 17 years","5.4%","±0.1","5.5%","±0.1","5.3%","±0.1"
"    18 to 24 years","10.7%","±0.1","11.2%","±0.1","10.3%","±0.1"
"    15 to 44 years","42.6%","±0.1","43.5%","±0.1","41.6%","±0.1"
"    16 years and over","71.2%","±0.1","70.8%","±0.1","71.7%","±0.2"
"    18 years and over","67.5%","±0.1","66.9%","±0.1","68.2%","±0.1"
"    60 years and over","13.6%","±0.2","12.3%","±0.2","14.8%","±0.2"
"    62 years and over","11.7%","±0.1","10.6%","±0.2","12.9%","±0.2"
"    65 years and over","9.5%","±0.1","8.5%","±0.1","10.6%","±0.1"
"    75 years and over","4.3%","±0.1","3.5%","±0.1","5.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","29.7","±0.1","28.9","±0.2","30.5","±0.1"
"    Sex ratio (males per 100 females)","100.6","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","72.4","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","16.4","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","55.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","3.7%","(X)","(X)","(X)","(X)","(X)"
