"Label (Grouping)","Shasta County, California!!Total!!Estimate","Shasta County, California!!Total!!Margin of Error","Shasta County, California!!Male!!Estimate","Shasta County, California!!Male!!Margin of Error","Shasta County, California!!Female!!Estimate","Shasta County, California!!Female!!Margin of Error"
"Total population","179,631","*****","88,646","±597","90,985","±597"
"AGE","","","","","",""
"    Under 5 years","5.9%","±0.3","6.4%","±0.6","5.4%","±0.5"
"    5 to 9 years","5.7%","±0.7","5.3%","±0.9","6.0%","±1.2"
"    10 to 14 years","6.3%","±0.8","6.8%","±1.0","5.7%","±1.1"
"    15 to 19 years","6.1%","±0.4","7.2%","±0.8","5.1%","±0.5"
"    20 to 24 years","5.8%","±0.4","5.5%","±0.5","6.1%","±0.6"
"    25 to 29 years","6.2%","±0.3","6.4%","±0.5","6.1%","±0.3"
"    30 to 34 years","6.0%","±0.6","6.2%","±0.6","5.7%","±0.7"
"    35 to 39 years","5.3%","±0.6","5.5%","±1.0","5.1%","±0.8"
"    40 to 44 years","5.3%","±0.6","5.5%","±0.9","5.1%","±1.0"
"    45 to 49 years","5.7%","±0.4","5.3%","±0.5","6.0%","±0.5"
"    50 to 54 years","6.6%","±0.3","6.6%","±0.5","6.6%","±0.5"
"    55 to 59 years","7.0%","±0.7","7.0%","±0.9","7.0%","±0.9"
"    60 to 64 years","7.8%","±0.7","7.4%","±0.9","8.1%","±1.0"
"    65 to 69 years","6.8%","±0.6","7.0%","±0.7","6.7%","±0.9"
"    70 to 74 years","5.1%","±0.6","4.6%","±0.8","5.7%","±0.8"
"    75 to 79 years","3.9%","±0.4","4.0%","±0.5","3.9%","±0.6"
"    80 to 84 years","2.6%","±0.4","2.4%","±0.6","2.8%","±0.6"
"    85 years and over","1.8%","±0.4","0.8%","±0.3","2.8%","±0.7"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.9%","±0.3","12.2%","±0.6","11.7%","±0.5"
"    15 to 17 years","3.7%","±0.2","4.4%","±0.4","2.9%","±0.3"
"    18 to 24 years","8.2%","±0.4","8.3%","±0.6","8.2%","±0.5"
"    15 to 44 years","34.7%","±0.5","36.3%","±0.7","33.3%","±0.7"
"    16 years and over","81.1%","±0.4","80.1%","±0.8","82.1%","±0.7"
"    18 years and over","78.5%","*****","77.0%","±0.5","80.0%","±0.5"
"    60 years and over","28.1%","±0.7","26.2%","±0.9","30.0%","±0.9"
"    62 years and over","24.8%","±0.6","22.8%","±0.8","26.8%","±0.8"
"    65 years and over","20.3%","±0.2","18.8%","±0.3","21.8%","±0.4"
"    75 years and over","8.4%","±0.2","7.2%","±0.3","9.5%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","42.1","±1.1","40.4","±0.8","44.7","±0.6"
"    Sex ratio (males per 100 females)","97.4","±1.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","71.9","±0.7","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","34.9","±0.6","(X)","(X)","(X)","(X)"
"    Child dependency ratio","36.9","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
