"Label (Grouping)","Shasta County, California!!Total!!Estimate","Shasta County, California!!Total!!Margin of Error","Shasta County, California!!Male!!Estimate","Shasta County, California!!Male!!Margin of Error","Shasta County, California!!Female!!Estimate","Shasta County, California!!Female!!Margin of Error"
"Total population","177,693","*****","87,442","±128","90,251","±128"
"AGE","","","","","",""
"    Under 5 years","5.8%","±0.1","6.1%","±0.1","5.5%","±0.1"
"    5 to 9 years","5.8%","±0.3","6.5%","±0.4","5.1%","±0.4"
"    10 to 14 years","6.6%","±0.3","6.5%","±0.4","6.6%","±0.4"
"    15 to 19 years","7.0%","±0.1","7.5%","±0.2","6.4%","±0.2"
"    20 to 24 years","6.3%","±0.1","6.5%","±0.2","6.1%","±0.2"
"    25 to 29 years","5.9%","±0.1","6.0%","±0.1","5.8%","±0.1"
"    30 to 34 years","5.3%","±0.1","5.4%","±0.1","5.3%","±0.2"
"    35 to 39 years","5.1%","±0.3","5.1%","±0.4","5.1%","±0.4"
"    40 to 44 years","6.1%","±0.3","6.2%","±0.4","6.0%","±0.4"
"    45 to 49 years","7.0%","±0.1","6.8%","±0.1","7.3%","±0.1"
"    50 to 54 years","7.7%","±0.1","7.5%","±0.1","7.8%","±0.1"
"    55 to 59 years","7.5%","±0.3","7.4%","±0.4","7.6%","±0.4"
"    60 to 64 years","6.9%","±0.3","6.8%","±0.4","7.0%","±0.4"
"    65 to 69 years","5.4%","±0.2","5.3%","±0.3","5.6%","±0.3"
"    70 to 74 years","4.1%","±0.2","4.0%","±0.3","4.1%","±0.3"
"    75 to 79 years","2.8%","±0.2","2.7%","±0.2","3.0%","±0.3"
"    80 to 84 years","2.5%","±0.2","2.2%","±0.3","2.8%","±0.3"
"    85 years and over","2.3%","±0.2","1.5%","±0.2","3.0%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.4%","±0.1","13.0%","±0.1","11.7%","±0.1"
"    15 to 17 years","4.2%","±0.1","4.5%","±0.1","3.9%","±0.1"
"    18 to 24 years","9.1%","±0.1","9.5%","±0.2","8.6%","±0.1"
"    15 to 44 years","35.6%","±0.1","36.7%","±0.1","34.6%","±0.1"
"    16 years and over","80.5%","±0.2","79.6%","±0.2","81.3%","±0.2"
"    18 years and over","77.6%","*****","76.3%","±0.1","78.9%","±0.1"
"    60 years and over","24.0%","±0.3","22.4%","±0.4","25.5%","±0.4"
"    62 years and over","21.2%","±0.3","19.7%","±0.4","22.5%","±0.4"
"    65 years and over","17.1%","±0.1","15.6%","±0.1","18.4%","±0.1"
"    75 years and over","7.6%","±0.1","6.3%","±0.1","8.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","41.9","±0.3","40.2","±0.3","43.5","±0.3"
"    Sex ratio (males per 100 females)","96.9","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.1","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","28.1","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","36.9","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","0.9%","(X)","(X)","(X)","(X)","(X)"
