"Label (Grouping)","Shasta County, California!!Total!!Estimate","Shasta County, California!!Total!!Margin of Error","Shasta County, California!!Male!!Estimate","Shasta County, California!!Male!!Margin of Error","Shasta County, California!!Female!!Estimate","Shasta County, California!!Female!!Margin of Error"
"Total population","179,228","*****","87,903","±105","91,325","±105"
"AGE","","","","","",""
"    Under 5 years","5.8%","*****","6.0%","±0.1","5.7%","±0.1"
"    5 to 9 years","6.1%","±0.3","6.1%","±0.4","6.2%","±0.4"
"    10 to 14 years","5.9%","±0.3","6.4%","±0.4","5.3%","±0.4"
"    15 to 19 years","6.1%","±0.1","6.5%","±0.2","5.7%","±0.2"
"    20 to 24 years","6.2%","±0.1","6.4%","±0.1","6.1%","±0.2"
"    25 to 29 years","6.2%","±0.1","6.6%","±0.1","5.8%","±0.1"
"    30 to 34 years","6.0%","±0.1","6.1%","±0.2","5.8%","±0.1"
"    35 to 39 years","5.4%","±0.3","5.6%","±0.4","5.2%","±0.4"
"    40 to 44 years","5.1%","±0.3","5.1%","±0.4","5.2%","±0.4"
"    45 to 49 years","6.0%","±0.1","5.9%","±0.1","6.0%","±0.1"
"    50 to 54 years","7.2%","±0.1","7.0%","±0.1","7.4%","±0.1"
"    55 to 59 years","7.4%","±0.3","7.2%","±0.4","7.6%","±0.4"
"    60 to 64 years","7.3%","±0.3","7.1%","±0.4","7.4%","±0.4"
"    65 to 69 years","6.5%","±0.2","6.6%","±0.3","6.5%","±0.3"
"    70 to 74 years","4.7%","±0.2","4.4%","±0.3","4.9%","±0.3"
"    75 to 79 years","3.1%","±0.2","3.1%","±0.3","3.1%","±0.3"
"    80 to 84 years","2.5%","±0.2","2.4%","±0.3","2.6%","±0.3"
"    85 years and over","2.5%","±0.2","1.5%","±0.2","3.4%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.0%","*****","12.5%","±0.1","11.5%","±0.1"
"    15 to 17 years","3.8%","*****","4.2%","±0.1","3.5%","±0.1"
"    18 to 24 years","8.5%","±0.1","8.7%","±0.1","8.2%","±0.1"
"    15 to 44 years","35.0%","±0.1","36.3%","±0.1","33.8%","±0.1"
"    16 years and over","80.9%","±0.1","80.2%","±0.2","81.6%","±0.2"
"    18 years and over","78.3%","*****","77.4%","±0.1","79.3%","±0.1"
"    60 years and over","26.6%","±0.3","25.2%","±0.4","28.0%","±0.4"
"    62 years and over","23.6%","±0.3","22.2%","±0.4","25.0%","±0.3"
"    65 years and over","19.3%","±0.1","18.0%","±0.1","20.5%","±0.1"
"    75 years and over","8.1%","±0.1","7.0%","±0.1","9.1%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","42.3","±0.3","40.3","±0.4","44.2","±0.2"
"    Sex ratio (males per 100 females)","96.3","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","69.3","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","32.7","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","36.7","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.3%","(X)","(X)","(X)","(X)","(X)"
