"Label (Grouping)","Mono County, California!!Total!!Estimate","Mono County, California!!Total!!Margin of Error","Mono County, California!!Male!!Estimate","Mono County, California!!Male!!Margin of Error","Mono County, California!!Female!!Estimate","Mono County, California!!Female!!Margin of Error"
"Total population","14,181","*****","7,516","±214","6,665","±214"
"AGE","","","","","",""
"    Under 5 years","6.2%","±0.3","4.6%","±1.2","7.9%","±1.3"
"    5 to 9 years","5.7%","±1.4","4.4%","±1.3","7.2%","±2.4"
"    10 to 14 years","7.0%","±1.4","7.2%","±1.7","6.7%","±2.2"
"    15 to 19 years","5.5%","±1.6","6.7%","±2.2","4.0%","±2.5"
"    20 to 24 years","7.4%","±1.2","8.5%","±1.6","6.2%","±2.0"
"    25 to 29 years","8.2%","±1.0","8.3%","±1.3","8.0%","±1.5"
"    30 to 34 years","6.8%","±1.3","8.0%","±1.8","5.4%","±1.9"
"    35 to 39 years","6.6%","±1.7","5.6%","±1.9","7.7%","±2.6"
"    40 to 44 years","8.1%","±1.8","9.2%","±2.0","6.9%","±2.8"
"    45 to 49 years","7.3%","±0.9","6.4%","±0.6","8.4%","±1.7"
"    50 to 54 years","8.0%","±0.7","8.2%","±1.1","7.7%","±0.8"
"    55 to 59 years","7.1%","±1.3","6.8%","±1.8","7.4%","±2.0"
"    60 to 64 years","6.6%","±1.5","6.2%","±1.8","7.1%","±2.5"
"    65 to 69 years","4.8%","±0.8","4.2%","±0.8","5.6%","±1.1"
"    70 to 74 years","1.6%","±0.6","1.9%","±0.8","1.3%","±0.8"
"    75 to 79 years","1.6%","±0.5","2.3%","±0.6","0.9%","±0.8"
"    80 to 84 years","0.5%","±0.3","0.6%","±0.5","0.4%","±0.5"
"    85 years and over","1.0%","±0.6","0.7%","±0.8","1.3%","±1.0"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.7%","±1.3","11.6%","±1.0","13.8%","±2.1"
"    15 to 17 years","2.4%","±1.0","3.0%","±1.8","1.8%","±1.2"
"    18 to 24 years","10.5%","±1.3","12.3%","±2.0","8.5%","±1.6"
"    15 to 44 years","42.6%","±1.6","46.4%","±2.1","38.2%","±2.3"
"    16 years and over","80.0%","±1.2","82.3%","±1.9","77.4%","±2.1"
"    18 years and over","78.8%","±1.0","80.8%","±2.1","76.5%","±2.0"
"    60 years and over","16.2%","±1.4","15.9%","±1.9","16.6%","±2.5"
"    62 years and over","13.1%","±1.2","14.9%","±1.9","11.2%","±1.5"
"    65 years and over","9.6%","±0.6","9.7%","±0.7","9.5%","±1.0"
"    75 years and over","3.1%","±0.4","3.7%","±0.8","2.6%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.1","±1.4","37.1","±2.4","37.1","±1.8"
"    Sex ratio (males per 100 females)","112.8","±6.9","(X)","(X)","(X)","(X)"
"    Age dependency ratio","44.6","±2.3","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","13.9","±0.9","(X)","(X)","(X)","(X)"
"        Child dependency ratio","30.7","±1.9","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.0%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.0%","(X)","(X)","(X)","(X)","(X)"
