"Label (Grouping)","Tehama County, California!!Total!!Estimate","Tehama County, California!!Total!!Margin of Error","Tehama County, California!!Male!!Estimate","Tehama County, California!!Male!!Margin of Error","Tehama County, California!!Female!!Estimate","Tehama County, California!!Female!!Margin of Error"
"Total population","63,200","*****","31,428","±132","31,772","±132"
"AGE","","","","","",""
"    Under 5 years","6.8%","±0.2","7.0%","±0.3","6.6%","±0.3"
"    5 to 9 years","6.7%","±0.5","6.5%","±0.8","6.8%","±0.7"
"    10 to 14 years","7.2%","±0.6","7.7%","±0.8","6.7%","±0.7"
"    15 to 19 years","7.3%","±0.2","7.4%","±0.2","7.2%","±0.3"
"    20 to 24 years","5.8%","±0.1","6.1%","±0.2","5.5%","±0.1"
"    25 to 29 years","5.8%","±0.2","6.1%","±0.2","5.5%","±0.2"
"    30 to 34 years","5.5%","±0.2","5.7%","±0.2","5.3%","±0.3"
"    35 to 39 years","5.4%","±0.5","5.1%","±0.6","5.8%","±0.8"
"    40 to 44 years","6.2%","±0.6","6.6%","±0.6","5.8%","±0.8"
"    45 to 49 years","7.1%","±0.1","7.1%","±0.2","7.0%","±0.2"
"    50 to 54 years","7.2%","±0.1","7.1%","±0.2","7.3%","±0.1"
"    55 to 59 years","7.2%","±0.5","7.1%","±0.7","7.3%","±0.6"
"    60 to 64 years","5.8%","±0.5","5.6%","±0.7","6.0%","±0.6"
"    65 to 69 years","5.1%","±0.3","4.8%","±0.5","5.4%","±0.5"
"    70 to 74 years","4.0%","±0.3","4.0%","±0.4","4.1%","±0.5"
"    75 to 79 years","3.2%","±0.4","3.1%","±0.5","3.2%","±0.5"
"    80 to 84 years","1.9%","±0.2","1.4%","±0.3","2.5%","±0.4"
"    85 years and over","1.8%","±0.3","1.6%","±0.4","2.0%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.9%","±0.2","14.2%","±0.3","13.5%","±0.3"
"    15 to 17 years","4.7%","±0.2","4.7%","±0.2","4.8%","±0.3"
"    18 to 24 years","8.3%","±0.1","8.7%","±0.2","7.9%","±0.2"
"    15 to 44 years","36.0%","±0.2","36.9%","±0.2","35.2%","±0.4"
"    16 years and over","77.9%","±0.4","77.4%","±0.5","78.4%","±0.5"
"    18 years and over","74.6%","±0.1","74.1%","±0.3","75.2%","±0.3"
"    60 years and over","21.9%","±0.5","20.6%","±0.7","23.2%","±0.6"
"    62 years and over","19.6%","±0.4","18.5%","±0.6","20.7%","±0.5"
"    65 years and over","16.1%","±0.1","14.9%","±0.3","17.2%","±0.2"
"    75 years and over","6.9%","±0.1","6.1%","±0.2","7.7%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","39.6","±0.4","38.8","±0.5","40.4","±0.6"
"    Sex ratio (males per 100 females)","98.9","±0.8","(X)","(X)","(X)","(X)"
"    Age dependency ratio","70.8","±0.4","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","27.4","±0.3","(X)","(X)","(X)","(X)"
"        Child dependency ratio","43.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.3%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.5%","(X)","(X)","(X)","(X)","(X)"
