"Label (Grouping)","El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Total!!Margin of Error","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Male!!Margin of Error","El Dorado County, California!!Female!!Estimate","El Dorado County, California!!Female!!Margin of Error"
"Total population","185,625","*****","93,447","±662","92,178","±662"
"AGE","","","","","",""
"    Under 5 years","4.6%","±0.2","5.3%","±0.5","3.9%","±0.4"
"    5 to 9 years","6.3%","±0.6","6.6%","±0.9","6.1%","±1.0"
"    10 to 14 years","5.4%","±0.7","5.7%","±1.1","5.0%","±1.1"
"    15 to 19 years","6.4%","±0.4","6.7%","±0.9","6.1%","±0.5"
"    20 to 24 years","5.0%","±0.4","5.2%","±0.7","4.7%","±0.5"
"    25 to 29 years","4.7%","±0.5","4.6%","±0.5","4.8%","±0.7"
"    30 to 34 years","4.8%","±0.5","4.5%","±0.5","5.1%","±0.7"
"    35 to 39 years","5.4%","±1.0","5.5%","±1.3","5.4%","±1.0"
"    40 to 44 years","5.9%","±1.0","5.3%","±1.2","6.5%","±1.2"
"    45 to 49 years","7.2%","±0.6","7.2%","±0.7","7.1%","±0.6"
"    50 to 54 years","7.7%","±0.6","7.8%","±0.9","7.6%","±0.5"
"    55 to 59 years","9.4%","±0.9","8.8%","±1.2","10.0%","±1.0"
"    60 to 64 years","8.0%","±0.9","8.3%","±1.3","7.7%","±1.1"
"    65 to 69 years","7.2%","±0.6","7.2%","±0.9","7.2%","±0.8"
"    70 to 74 years","4.7%","±0.6","4.6%","±0.8","4.8%","±0.8"
"    75 to 79 years","2.5%","±0.5","2.6%","±0.6","2.4%","±0.8"
"    80 to 84 years","2.0%","±0.5","2.1%","±0.6","1.9%","±0.6"
"    85 years and over","2.8%","±0.6","1.9%","±0.7","3.8%","±0.8"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.7%","±0.2","12.3%","±0.4","11.1%","±0.1"
"    15 to 17 years","4.1%","±0.2","4.1%","±0.5","4.2%","±0.4"
"    18 to 24 years","7.2%","±0.5","7.8%","±0.5","6.6%","±0.6"
"    15 to 44 years","32.2%","±0.6","32.0%","±0.9","32.5%","±0.7"
"    16 years and over","82.3%","±0.4","81.2%","±0.7","83.5%","±0.6"
"    18 years and over","79.6%","±0.1","78.3%","±0.5","80.8%","±0.5"
"    60 years and over","27.2%","±0.9","26.7%","±1.3","27.7%","±1.1"
"    62 years and over","24.4%","±0.8","23.6%","±1.1","25.2%","±1.0"
"    65 years and over","19.2%","±0.2","18.4%","±0.4","20.0%","±0.2"
"    75 years and over","7.3%","±0.3","6.6%","±0.4","8.1%","±0.3"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","46.1","±0.5","45.4","±0.8","46.7","±0.6"
"    Sex ratio (males per 100 females)","101.4","±1.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.7","±0.6","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","31.8","±0.4","(X)","(X)","(X)","(X)"
"    Child dependency ratio","33.9","±0.3","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.5%","(X)","(X)","(X)","(X)","(X)"
