"Label (Grouping)","El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Total!!Margin of Error","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Male!!Margin of Error","El Dorado County, California!!Female!!Estimate","El Dorado County, California!!Female!!Margin of Error"
"Total population","183,000","*****","91,349","±181","91,651","±181"
"AGE","","","","","",""
"    Under 5 years","4.7%","±0.1","4.7%","±0.1","4.6%","±0.1"
"    5 to 9 years","5.9%","±0.3","5.9%","±0.4","5.9%","±0.4"
"    10 to 14 years","6.2%","±0.3","6.7%","±0.5","5.8%","±0.4"
"    15 to 19 years","6.4%","±0.1","6.8%","±0.2","6.1%","±0.1"
"    20 to 24 years","5.5%","±0.1","5.9%","±0.2","5.2%","±0.1"
"    25 to 29 years","4.7%","±0.1","5.0%","±0.2","4.5%","±0.1"
"    30 to 34 years","5.0%","±0.1","5.1%","±0.1","5.0%","±0.1"
"    35 to 39 years","5.1%","±0.3","5.2%","±0.4","5.1%","±0.4"
"    40 to 44 years","6.0%","±0.3","5.7%","±0.4","6.3%","±0.4"
"    45 to 49 years","7.0%","±0.1","6.9%","±0.1","7.1%","±0.1"
"    50 to 54 years","8.5%","±0.1","8.4%","±0.2","8.6%","±0.1"
"    55 to 59 years","9.0%","±0.4","8.5%","±0.5","9.5%","±0.5"
"    60 to 64 years","7.9%","±0.4","8.1%","±0.5","7.7%","±0.5"
"    65 to 69 years","6.5%","±0.3","6.5%","±0.4","6.5%","±0.3"
"    70 to 74 years","4.4%","±0.3","4.3%","±0.4","4.5%","±0.3"
"    75 to 79 years","2.8%","±0.2","2.7%","±0.3","2.9%","±0.3"
"    80 to 84 years","2.2%","±0.2","2.1%","±0.3","2.3%","±0.3"
"    85 years and over","2.0%","±0.2","1.6%","±0.3","2.4%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.2%","±0.1","12.6%","±0.1","11.7%","±0.1"
"    15 to 17 years","4.2%","±0.1","4.3%","±0.1","4.1%","±0.1"
"    18 to 24 years","7.8%","±0.1","8.4%","±0.2","7.2%","±0.1"
"    15 to 44 years","32.9%","±0.1","33.6%","±0.2","32.2%","±0.2"
"    16 years and over","81.8%","±0.2","81.3%","±0.3","82.3%","±0.3"
"    18 years and over","79.0%","±0.1","78.4%","±0.2","79.6%","±0.1"
"    60 years and over","25.8%","±0.4","25.2%","±0.6","26.3%","±0.5"
"    62 years and over","22.7%","±0.4","22.2%","±0.5","23.2%","±0.4"
"    65 years and over","17.9%","±0.1","17.1%","±0.1","18.6%","±0.1"
"    75 years and over","7.0%","±0.1","6.4%","±0.1","7.6%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","45.2","±0.1","44.2","±0.3","45.9","±0.2"
"    Sex ratio (males per 100 females)","99.7","±0.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","63.6","±0.2","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","29.2","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","34.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.8%","(X)","(X)","(X)","(X)","(X)"
