"Label (Grouping)","El Dorado County, California!!Total!!Estimate","El Dorado County, California!!Total!!Margin of Error","El Dorado County, California!!Male!!Estimate","El Dorado County, California!!Male!!Margin of Error","El Dorado County, California!!Female!!Estimate","El Dorado County, California!!Female!!Margin of Error"
"Total population","180,561","*****","90,551","±636","90,010","±636"
"AGE","","","","","",""
"    Under 5 years","4.5%","±0.2","4.7%","±0.3","4.3%","±0.2"
"    5 to 9 years","6.3%","±0.6","6.5%","±0.8","6.1%","±1.0"
"    10 to 14 years","6.4%","±0.6","6.7%","±0.8","6.1%","±0.9"
"    15 to 19 years","6.8%","±0.5","7.3%","±0.8","6.3%","±0.7"
"    20 to 24 years","5.8%","±0.4","6.4%","±0.6","5.2%","±0.5"
"    25 to 29 years","4.4%","±0.3","4.3%","±0.4","4.5%","±0.3"
"    30 to 34 years","4.8%","±0.3","4.8%","±0.6","4.8%","±0.2"
"    35 to 39 years","3.9%","±0.7","3.8%","±1.0","4.1%","±0.9"
"    40 to 44 years","7.4%","±0.8","7.1%","±1.0","7.7%","±1.0"
"    45 to 49 years","7.8%","±0.4","7.6%","±0.4","8.0%","±0.7"
"    50 to 54 years","9.1%","±0.2","8.9%","±0.1","9.2%","±0.5"
"    55 to 59 years","8.4%","±0.8","8.1%","±1.1","8.6%","±1.1"
"    60 to 64 years","7.7%","±0.7","8.0%","±1.1","7.5%","±1.0"
"    65 to 69 years","6.2%","±0.5","6.0%","±0.6","6.4%","±1.0"
"    70 to 74 years","3.7%","±0.5","3.6%","±0.6","3.8%","±0.9"
"    75 to 79 years","2.3%","±0.5","2.4%","±0.7","2.3%","±0.6"
"    80 to 84 years","2.4%","±0.5","1.7%","±0.6","3.2%","±0.8"
"    85 years and over","2.0%","±0.5","2.1%","±0.6","1.9%","±0.6"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.8%","±0.4","13.3%","±0.3","12.3%","±0.6"
"    15 to 17 years","4.5%","±0.4","4.6%","±0.6","4.3%","±0.6"
"    18 to 24 years","8.1%","±0.4","9.0%","±0.5","7.2%","±0.5"
"    15 to 44 years","33.1%","±0.5","33.7%","±0.6","32.6%","±0.8"
"    16 years and over","81.9%","±0.5","81.5%","±0.6","82.3%","±0.7"
"    18 years and over","78.3%","±0.2","77.5%","±0.5","79.1%","±0.5"
"    60 years and over","24.4%","±0.8","23.8%","±1.1","25.0%","±1.1"
"    62 years and over","21.2%","±0.7","20.4%","±1.0","22.1%","±0.9"
"    65 years and over","16.7%","±0.3","15.8%","±0.5","17.6%","±0.4"
"    75 years and over","6.8%","±0.3","6.2%","±0.5","7.4%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","44.7","±0.3","43.7","±0.4","45.5","±0.5"
"    Sex ratio (males per 100 females)","100.6","±1.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","62.3","±1.0","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","27.1","±0.7","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.2","±0.5","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.7%","(X)","(X)","(X)","(X)","(X)"
