"Label (Grouping)","San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Total!!Margin of Error","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Male!!Margin of Error","San Luis Obispo County, California!!Female!!Estimate","San Luis Obispo County, California!!Female!!Margin of Error"
"Total population","270,121","*****","138,319","±129","131,802","±129"
"AGE","","","","","",""
"    Under 5 years","5.0%","±0.1","4.9%","±0.1","5.0%","±0.1"
"    5 to 9 years","4.8%","±0.2","4.6%","±0.3","5.1%","±0.4"
"    10 to 14 years","5.5%","±0.3","5.6%","±0.3","5.3%","±0.4"
"    15 to 19 years","8.2%","±0.1","8.5%","±0.1","7.9%","±0.1"
"    20 to 24 years","10.4%","±0.1","11.5%","±0.1","9.3%","±0.1"
"    25 to 29 years","6.2%","±0.1","6.7%","±0.2","5.7%","±0.1"
"    30 to 34 years","5.5%","±0.1","5.9%","±0.2","5.0%","±0.1"
"    35 to 39 years","5.2%","±0.3","5.2%","±0.3","5.1%","±0.4"
"    40 to 44 years","5.8%","±0.3","6.0%","±0.4","5.5%","±0.4"
"    45 to 49 years","6.9%","±0.1","7.0%","±0.2","6.8%","±0.1"
"    50 to 54 years","7.5%","±0.1","7.3%","±0.2","7.8%","±0.1"
"    55 to 59 years","7.3%","±0.2","7.0%","±0.3","7.6%","±0.3"
"    60 to 64 years","6.4%","±0.2","6.2%","±0.3","6.5%","±0.3"
"    65 to 69 years","4.6%","±0.2","4.3%","±0.2","4.8%","±0.3"
"    70 to 74 years","3.4%","±0.2","3.1%","±0.2","3.7%","±0.3"
"    75 to 79 years","2.7%","±0.2","2.4%","±0.2","3.0%","±0.3"
"    80 to 84 years","2.2%","±0.2","1.8%","±0.2","2.6%","±0.2"
"    85 years and over","2.5%","±0.2","1.8%","±0.2","3.1%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","10.3%","±0.1","10.2%","±0.1","10.4%","±0.1"
"    15 to 17 years","3.5%","±0.1","3.6%","±0.1","3.4%","±0.1"
"    18 to 24 years","15.1%","±0.1","16.3%","±0.2","13.8%","±0.1"
"    15 to 44 years","41.3%","±0.1","43.8%","±0.2","38.6%","±0.1"
"    16 years and over","83.6%","±0.1","83.5%","±0.2","83.6%","±0.2"
"    18 years and over","81.2%","±0.1","81.2%","±0.1","81.2%","±0.1"
"    60 years and over","21.7%","±0.2","19.7%","±0.3","23.9%","±0.3"
"    62 years and over","19.0%","±0.2","17.1%","±0.2","21.1%","±0.4"
"    65 years and over","15.4%","±0.1","13.5%","±0.1","17.3%","±0.1"
"    75 years and over","7.4%","±0.1","6.0%","±0.1","8.8%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","39.3","±0.3","37.3","±0.4","41.3","±0.4"
"    Sex ratio (males per 100 females)","104.9","±0.2","(X)","(X)","(X)","(X)"
"    Age dependency ratio","51.8","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","23.3","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","28.5","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.0%","(X)","(X)","(X)","(X)","(X)"
