"Label (Grouping)","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Total!!Margin of Error","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Male!!Margin of Error","San Mateo County, California!!Female!!Estimate","San Mateo County, California!!Female!!Margin of Error"
"Total population","739,311","*****","364,079","±858","375,232","±858"
"AGE","","","","","",""
"    Under 5 years","6.2%","±0.1","6.6%","±0.2","5.9%","±0.2"
"    5 to 9 years","6.4%","±0.3","6.8%","±0.5","6.1%","±0.4"
"    10 to 14 years","5.7%","±0.3","5.8%","±0.6","5.6%","±0.4"
"    15 to 19 years","5.5%","±0.1","5.8%","±0.1","5.3%","±0.1"
"    20 to 24 years","5.5%","±0.1","5.9%","±0.1","5.1%","±0.1"
"    25 to 29 years","6.8%","±0.1","7.0%","±0.1","6.5%","±0.2"
"    30 to 34 years","7.3%","±0.1","7.5%","±0.2","7.0%","±0.1"
"    35 to 39 years","7.3%","±0.4","7.6%","±0.6","7.1%","±0.5"
"    40 to 44 years","7.6%","±0.4","7.4%","±0.6","7.7%","±0.5"
"    45 to 49 years","7.5%","±0.1","7.5%","±0.2","7.4%","±0.1"
"    50 to 54 years","7.5%","±0.1","7.5%","±0.1","7.5%","±0.1"
"    55 to 59 years","7.1%","±0.3","6.8%","±0.4","7.4%","±0.5"
"    60 to 64 years","5.8%","±0.3","5.7%","±0.4","5.8%","±0.4"
"    65 to 69 years","4.3%","±0.2","4.2%","±0.3","4.5%","±0.4"
"    70 to 74 years","3.1%","±0.2","2.7%","±0.3","3.6%","±0.4"
"    75 to 79 years","2.5%","±0.2","2.1%","±0.3","2.8%","±0.3"
"    80 to 84 years","1.9%","±0.2","1.7%","±0.3","2.0%","±0.2"
"    85 years and over","2.1%","±0.2","1.4%","±0.2","2.9%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.2%","±0.1","12.6%","±0.2","11.7%","±0.1"
"    15 to 17 years","3.5%","±0.1","3.6%","±0.1","3.3%","±0.1"
"    18 to 24 years","7.6%","±0.1","8.1%","±0.1","7.0%","±0.2"
"    15 to 44 years","39.9%","±0.1","41.2%","±0.2","38.6%","±0.2"
"    16 years and over","80.4%","±0.2","79.4%","±0.3","81.4%","±0.2"
"    18 years and over","78.2%","*****","77.2%","±0.1","79.1%","±0.1"
"    60 years and over","19.7%","±0.3","17.8%","±0.4","21.5%","±0.4"
"    62 years and over","17.3%","±0.3","15.5%","±0.4","19.0%","±0.4"
"    65 years and over","13.9%","±0.1","12.1%","±0.1","15.7%","±0.1"
"    75 years and over","6.5%","±0.1","5.2%","±0.1","7.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","39.6","±0.3","37.7","±0.4","41.1","±0.3"
"    Sex ratio (males per 100 females)","97.0","±0.5","(X)","(X)","(X)","(X)"
"    Age dependency ratio","55.7","±0.1","(X)","(X)","(X)","(X)"
"        Old-Age dependency ratio","21.7","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","34.0","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","2.1%","(X)","(X)","(X)","(X)","(X)"
