"Label (Grouping)","San Mateo County, California!!Total!!Estimate","San Mateo County, California!!Total!!Margin of Error","San Mateo County, California!!Male!!Estimate","San Mateo County, California!!Male!!Margin of Error","San Mateo County, California!!Female!!Estimate","San Mateo County, California!!Female!!Margin of Error"
"Total population","721,183","*****","354,728","±117","366,455","±117"
"AGE","","","","","",""
"    Under 5 years","6.4%","*****","6.7%","±0.1","6.2%","±0.1"
"    5 to 9 years","6.3%","±0.1","6.4%","±0.2","6.2%","±0.2"
"    10 to 14 years","5.8%","±0.1","6.1%","±0.2","5.4%","±0.2"
"    15 to 19 years","5.7%","±0.1","6.0%","±0.1","5.5%","±0.1"
"    20 to 24 years","5.6%","±0.1","6.0%","±0.1","5.2%","±0.1"
"    25 to 29 years","6.8%","±0.1","7.1%","±0.1","6.5%","±0.1"
"    30 to 34 years","7.1%","±0.1","7.3%","±0.1","6.9%","±0.1"
"    35 to 39 years","7.5%","±0.2","7.5%","±0.3","7.4%","±0.2"
"    40 to 44 years","7.6%","±0.2","7.7%","±0.3","7.5%","±0.2"
"    45 to 49 years","7.8%","±0.1","7.8%","±0.1","7.7%","±0.1"
"    50 to 54 years","7.5%","±0.1","7.5%","±0.1","7.5%","±0.1"
"    55 to 59 years","6.7%","±0.2","6.6%","±0.2","6.8%","±0.2"
"    60 to 64 years","5.8%","±0.2","5.5%","±0.2","6.0%","±0.2"
"    65 to 69 years","4.1%","±0.1","3.9%","±0.1","4.3%","±0.2"
"    70 to 74 years","2.9%","±0.1","2.6%","±0.1","3.2%","±0.1"
"    75 to 79 years","2.4%","±0.1","2.1%","±0.1","2.8%","±0.1"
"    80 to 84 years","2.0%","±0.1","1.6%","±0.1","2.3%","±0.1"
"    85 years and over","2.1%","±0.1","1.5%","±0.1","2.6%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.0%","±0.1","12.5%","±0.1","11.6%","±0.1"
"    15 to 17 years","3.6%","±0.1","3.8%","±0.1","3.5%","±0.1"
"    18 to 24 years","7.7%","±0.1","8.3%","±0.1","7.1%","±0.1"
"    15 to 44 years","40.3%","±0.1","41.7%","±0.1","38.9%","±0.1"
"    16 years and over","80.3%","±0.1","79.5%","±0.1","81.1%","±0.1"
"    18 years and over","77.9%","*****","77.1%","±0.1","78.7%","±0.1"
"    60 years and over","19.3%","±0.2","17.2%","±0.2","21.3%","±0.2"
"    62 years and over","16.8%","±0.1","14.8%","±0.2","18.7%","±0.2"
"    65 years and over","13.5%","±0.1","11.7%","±0.1","15.3%","±0.1"
"    75 years and over","6.5%","±0.1","5.2%","±0.1","7.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","39.3","±0.1","38.0","±0.2","40.5","±0.2"
"    Sex ratio (males per 100 females)","96.8","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","55.4","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","21.0","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","34.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.8%","(X)","(X)","(X)","(X)","(X)"
