"Label (Grouping)","Inyo County, California!!Total!!Estimate","Inyo County, California!!Total!!Margin of Error","Inyo County, California!!Male!!Estimate","Inyo County, California!!Male!!Margin of Error","Inyo County, California!!Female!!Estimate","Inyo County, California!!Female!!Margin of Error"
"Total population","18,474","*****","9,396","±88","9,078","±88"
"AGE","","","","","",""
"    Under 5 years","5.9%","±0.2","6.7%","±0.5","5.0%","±0.6"
"    5 to 9 years","5.2%","±0.7","5.8%","±0.9","4.6%","±1.2"
"    10 to 14 years","6.1%","±0.8","5.9%","±0.9","6.4%","±1.3"
"    15 to 19 years","5.9%","±0.5","6.0%","±1.1","5.9%","±1.0"
"    20 to 24 years","4.7%","±0.5","5.1%","±0.9","4.3%","±0.8"
"    25 to 29 years","5.4%","±0.1","5.3%","±0.2","5.4%","±0.1"
"    30 to 34 years","5.3%","±0.4","5.5%","±0.4","5.1%","±0.6"
"    35 to 39 years","5.2%","±0.6","4.7%","±0.8","5.8%","±1.2"
"    40 to 44 years","5.4%","±0.6","5.9%","±0.8","4.9%","±1.2"
"    45 to 49 years","7.7%","±0.3","7.4%","±0.4","8.1%","±0.6"
"    50 to 54 years","8.1%","±0.3","8.3%","±0.4","7.8%","±0.3"
"    55 to 59 years","8.7%","±1.0","9.0%","±1.4","8.3%","±1.2"
"    60 to 64 years","7.4%","±0.9","7.4%","±1.4","7.4%","±1.2"
"    65 to 69 years","5.7%","±0.8","4.4%","±0.9","7.0%","±0.9"
"    70 to 74 years","4.0%","±0.7","5.0%","±0.9","2.9%","±0.8"
"    75 to 79 years","3.6%","±0.7","2.6%","±0.7","4.6%","±1.2"
"    80 to 84 years","2.9%","±0.6","2.9%","±0.8","3.0%","±1.0"
"    85 years and over","2.9%","±0.8","2.2%","±0.7","3.6%","±1.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","11.3%","±0.3","11.6%","±0.5","11.0%","±0.4"
"    15 to 17 years","4.0%","±0.1","4.1%","±0.6","3.9%","±0.6"
"    18 to 24 years","6.6%","±0.1","7.0%","±0.2","6.2%","±0.2"
"    15 to 44 years","31.9%","±0.3","32.5%","±0.5","31.4%","±0.5"
"    16 years and over","81.5%","±0.4","80.6%","±0.8","82.3%","±0.6"
"    18 years and over","78.8%","±0.2","77.5%","±0.8","80.1%","±0.7"
"    60 years and over","26.4%","±1.0","24.5%","±1.4","28.4%","±1.3"
"    62 years and over","23.6%","±0.8","22.3%","±1.4","24.8%","±0.9"
"    65 years and over","19.1%","±0.3","17.1%","±0.5","21.1%","±0.4"
"    75 years and over","9.4%","±0.3","7.7%","±0.4","11.2%","±0.4"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","45.7","±0.4","44.1","±0.7","47.6","±0.7"
"    Sex ratio (males per 100 females)","103.5","±2.0","(X)","(X)","(X)","(X)"
"    Age dependency ratio","67.5","±1.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","31.9","±0.7","(X)","(X)","(X)","(X)"
"        Child dependency ratio","35.5","±0.5","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.0%","(X)","(X)","(X)","(X)","(X)"
