"Label (Grouping)","Kern County, California!!Total!!Estimate","Kern County, California!!Total!!Margin of Error","Kern County, California!!Male!!Estimate","Kern County, California!!Male!!Margin of Error","Kern County, California!!Female!!Estimate","Kern County, California!!Female!!Margin of Error"
"Total population","884,788","*****","454,117","±796","430,671","±796"
"AGE","","","","","",""
"    Under 5 years","8.0%","±0.1","7.9%","±0.1","8.1%","±0.1"
"    5 to 9 years","8.3%","±0.4","7.9%","±0.6","8.7%","±0.6"
"    10 to 14 years","8.2%","±0.4","8.4%","±0.6","8.0%","±0.6"
"    15 to 19 years","7.4%","±0.1","7.4%","±0.2","7.4%","±0.2"
"    20 to 24 years","7.9%","±0.1","8.4%","±0.2","7.3%","±0.1"
"    25 to 29 years","8.0%","±0.1","8.4%","±0.2","7.6%","±0.1"
"    30 to 34 years","7.4%","±0.1","7.7%","±0.1","7.0%","±0.1"
"    35 to 39 years","6.6%","±0.4","6.7%","±0.5","6.5%","±0.6"
"    40 to 44 years","5.9%","±0.4","6.1%","±0.5","5.6%","±0.6"
"    45 to 49 years","5.8%","±0.1","5.8%","±0.1","5.7%","±0.1"
"    50 to 54 years","5.8%","±0.1","5.7%","±0.1","5.9%","±0.1"
"    55 to 59 years","5.8%","±0.4","6.0%","±0.4","5.6%","±0.5"
"    60 to 64 years","4.6%","±0.4","4.3%","±0.4","5.0%","±0.5"
"    65 to 69 years","3.8%","±0.2","3.4%","±0.3","4.2%","±0.3"
"    70 to 74 years","2.5%","±0.2","2.4%","±0.3","2.6%","±0.3"
"    75 to 79 years","1.6%","±0.2","1.5%","±0.2","1.8%","±0.3"
"    80 to 84 years","1.2%","±0.1","0.9%","±0.2","1.5%","±0.2"
"    85 years and over","1.2%","±0.2","0.9%","±0.2","1.5%","±0.3"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","16.5%","±0.1","16.3%","±0.1","16.7%","±0.1"
"    15 to 17 years","4.7%","±0.1","4.7%","±0.1","4.7%","±0.2"
"    18 to 24 years","10.6%","±0.1","11.1%","±0.2","10.1%","±0.1"
"    15 to 44 years","43.2%","±0.1","44.8%","±0.2","41.5%","±0.2"
"    16 years and over","73.7%","±0.3","74.0%","±0.3","73.3%","±0.4"
"    18 years and over","70.8%","±0.1","71.0%","±0.1","70.6%","±0.1"
"    60 years and over","15.0%","±0.4","13.4%","±0.4","16.6%","±0.5"
"    62 years and over","13.1%","±0.3","11.7%","±0.4","14.6%","±0.4"
"    65 years and over","10.3%","±0.1","9.2%","±0.1","11.6%","±0.1"
"    75 years and over","4.1%","±0.1","3.3%","±0.1","4.8%","±0.2"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","31.3","±0.2","30.8","±0.2","31.9","±0.3"
"    Sex ratio (males per 100 females)","105.4","±0.4","(X)","(X)","(X)","(X)"
"    Age dependency ratio","65.4","±0.2","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","17.1","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","48.3","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.1%","(X)","(X)","(X)","(X)","(X)"
