"Label (Grouping)","Solano County, California!!Total!!Estimate","Solano County, California!!Total!!Margin of Error","Solano County, California!!Male!!Estimate","Solano County, California!!Male!!Margin of Error","Solano County, California!!Female!!Estimate","Solano County, California!!Female!!Margin of Error"
"Total population","440,207","*****","219,221","±328","220,986","±328"
"AGE","","","","","",""
"    Under 5 years","6.2%","±0.1","6.5%","±0.2","6.0%","±0.1"
"    5 to 9 years","6.2%","±0.5","6.2%","±0.7","6.3%","±0.6"
"    10 to 14 years","6.2%","±0.5","6.7%","±0.7","5.8%","±0.6"
"    15 to 19 years","6.1%","±0.1","6.3%","±0.3","5.8%","±0.1"
"    20 to 24 years","6.9%","±0.2","7.5%","±0.3","6.3%","±0.1"
"    25 to 29 years","7.6%","±0.1","8.0%","±0.2","7.2%","±0.1"
"    30 to 34 years","7.0%","±0.1","7.3%","±0.1","6.8%","±0.1"
"    35 to 39 years","6.6%","±0.5","6.5%","±0.7","6.7%","±0.6"
"    40 to 44 years","5.6%","±0.5","5.8%","±0.7","5.4%","±0.6"
"    45 to 49 years","6.3%","±0.1","6.3%","±0.1","6.4%","±0.1"
"    50 to 54 years","7.0%","±0.1","7.0%","±0.1","7.0%","±0.1"
"    55 to 59 years","7.0%","±0.4","7.1%","±0.6","6.9%","±0.6"
"    60 to 64 years","6.5%","±0.4","5.8%","±0.6","7.3%","±0.6"
"    65 to 69 years","5.4%","±0.4","5.0%","±0.5","5.8%","±0.5"
"    70 to 74 years","3.5%","±0.4","3.3%","±0.5","3.7%","±0.5"
"    75 to 79 years","2.4%","±0.3","2.0%","±0.3","2.7%","±0.4"
"    80 to 84 years","1.5%","±0.2","1.5%","±0.3","1.6%","±0.3"
"    85 years and over","1.9%","±0.3","1.3%","±0.3","2.4%","±0.4"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","12.5%","±0.1","12.9%","±0.1","12.1%","±0.1"
"    15 to 17 years","3.8%","±0.1","3.9%","±0.1","3.7%","±0.1"
"    18 to 24 years","9.2%","±0.1","9.9%","±0.2","8.4%","±0.1"
"    15 to 44 years","39.8%","±0.1","41.4%","±0.2","38.2%","±0.2"
"    16 years and over","80.1%","±0.2","79.3%","±0.3","80.9%","±0.3"
"    18 years and over","77.5%","±0.1","76.8%","±0.2","78.3%","±0.1"
"    60 years and over","21.2%","±0.4","18.9%","±0.6","23.5%","±0.7"
"    62 years and over","18.8%","±0.4","16.7%","±0.5","20.8%","±0.6"
"    65 years and over","14.7%","±0.1","13.1%","±0.1","16.3%","±0.1"
"    75 years and over","5.8%","±0.1","4.8%","±0.1","6.7%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.9","±0.5","36.2","±0.4","39.3","±0.5"
"    Sex ratio (males per 100 females)","99.2","±0.3","(X)","(X)","(X)","(X)"
"    Age dependency ratio","59.1","±0.3","(X)","(X)","(X)","(X)"
"    Old-Age dependency ratio","23.3","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","35.7","±0.2","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
