"Label (Grouping)","Solano County, California!!Total!!Estimate","Solano County, California!!Total!!Margin of Error","Solano County, California!!Male!!Estimate","Solano County, California!!Male!!Margin of Error","Solano County, California!!Female!!Estimate","Solano County, California!!Female!!Margin of Error"
"Total population","414,209","*****","206,891","±65","207,318","±65"
"AGE","","","","","",""
"    Under 5 years","6.5%","*****","6.7%","±0.1","6.3%","±0.1"
"    5 to 9 years","6.7%","±0.2","6.8%","±0.3","6.6%","±0.3"
"    10 to 14 years","6.8%","±0.2","7.0%","±0.3","6.5%","±0.3"
"    15 to 19 years","7.3%","±0.1","7.6%","±0.1","7.0%","±0.1"
"    20 to 24 years","7.1%","±0.1","7.5%","±0.1","6.7%","±0.1"
"    25 to 29 years","6.9%","±0.1","7.2%","±0.1","6.7%","±0.1"
"    30 to 34 years","6.4%","±0.1","6.6%","±0.1","6.3%","±0.1"
"    35 to 39 years","6.5%","±0.2","6.5%","±0.3","6.4%","±0.3"
"    40 to 44 years","6.7%","±0.2","6.8%","±0.3","6.6%","±0.3"
"    45 to 49 years","7.6%","±0.1","7.6%","±0.1","7.6%","±0.1"
"    50 to 54 years","7.7%","±0.1","7.6%","±0.1","7.7%","±0.1"
"    55 to 59 years","6.6%","±0.2","6.5%","±0.3","6.8%","±0.2"
"    60 to 64 years","5.8%","±0.2","5.6%","±0.3","5.9%","±0.2"
"    65 to 69 years","3.8%","±0.1","3.5%","±0.2","4.1%","±0.2"
"    70 to 74 years","2.6%","±0.1","2.5%","±0.2","2.8%","±0.2"
"    75 to 79 years","2.2%","±0.1","1.9%","±0.1","2.4%","±0.2"
"    80 to 84 years","1.5%","±0.1","1.2%","±0.1","1.7%","±0.2"
"    85 years and over","1.4%","±0.1","0.9%","±0.1","2.0%","±0.2"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.5%","*****","13.8%","±0.1","13.1%","±0.1"
"    15 to 17 years","4.5%","*****","4.6%","±0.1","4.4%","±0.1"
"    18 to 24 years","9.9%","±0.1","10.5%","±0.1","9.3%","±0.1"
"    15 to 44 years","40.9%","*****","42.1%","±0.1","39.7%","±0.1"
"    16 years and over","78.7%","±0.1","78.0%","±0.2","79.3%","±0.1"
"    18 years and over","75.6%","*****","74.9%","±0.1","76.2%","±0.1"
"    60 years and over","17.2%","±0.2","15.7%","±0.3","18.8%","±0.2"
"    62 years and over","14.7%","±0.2","13.1%","±0.2","16.2%","±0.2"
"    65 years and over","11.5%","±0.1","10.0%","±0.1","12.9%","±0.1"
"    75 years and over","5.1%","±0.1","4.1%","±0.1","6.1%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","37.0","±0.1","35.6","±0.1","38.2","±0.2"
"    Sex ratio (males per 100 females)","99.8","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","56.0","±0.1","(X)","(X)","(X)","(X)"
"        Old-age dependency ratio","17.9","±0.1","(X)","(X)","(X)","(X)"
"        Child dependency ratio","38.1","±0.1","(X)","(X)","(X)","(X)"
"PERCENT IMPUTED","","","","","",""
"    Sex","0.2%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.6%","(X)","(X)","(X)","(X)","(X)"
