"Label (Grouping)","Contra Costa County, California!!Total!!Estimate","Contra Costa County, California!!Total!!Margin of Error","Contra Costa County, California!!Male!!Estimate","Contra Costa County, California!!Male!!Margin of Error","Contra Costa County, California!!Female!!Estimate","Contra Costa County, California!!Female!!Margin of Error"
"Total population","1,107,925","*****","540,671","±84","567,254","±84"
"AGE","","","","","",""
"    Under 5 years","5.9%","*****","6.1%","±0.1","5.7%","±0.1"
"    5 to 9 years","6.7%","±0.1","6.9%","±0.2","6.6%","±0.2"
"    10 to 14 years","6.7%","±0.1","7.2%","±0.2","6.3%","±0.2"
"    15 to 19 years","6.5%","±0.1","6.9%","±0.1","6.2%","±0.1"
"    20 to 24 years","6.1%","±0.1","6.4%","±0.1","5.9%","±0.1"
"    25 to 29 years","6.1%","*****","6.3%","±0.1","5.9%","±0.1"
"    30 to 34 years","6.4%","*****","6.5%","±0.1","6.4%","±0.1"
"    35 to 39 years","6.6%","±0.1","6.6%","±0.2","6.5%","±0.2"
"    40 to 44 years","6.9%","±0.1","6.8%","±0.2","7.0%","±0.2"
"    45 to 49 years","7.3%","±0.1","7.3%","±0.1","7.3%","±0.1"
"    50 to 54 years","7.6%","±0.1","7.5%","±0.1","7.6%","±0.1"
"    55 to 59 years","6.9%","±0.1","6.9%","±0.2","6.9%","±0.2"
"    60 to 64 years","6.0%","±0.1","5.7%","±0.2","6.2%","±0.2"
"    65 to 69 years","4.8%","±0.1","4.6%","±0.1","5.1%","±0.1"
"    70 to 74 years","3.4%","±0.1","3.1%","±0.1","3.6%","±0.1"
"    75 to 79 years","2.3%","±0.1","2.2%","±0.1","2.5%","±0.1"
"    80 to 84 years","1.7%","±0.1","1.5%","±0.1","1.9%","±0.1"
"    85 years and over","1.9%","±0.1","1.3%","±0.1","2.6%","±0.1"
"SELECTED AGE CATEGORIES","","","","","",""
"    5 to 14 years","13.5%","*****","14.1%","±0.1","12.9%","±0.1"
"    15 to 17 years","4.2%","*****","4.4%","±0.1","3.9%","±0.1"
"    18 to 24 years","8.5%","*****","9.0%","±0.1","8.1%","±0.1"
"    15 to 44 years","38.7%","±0.1","39.6%","±0.1","37.8%","±0.1"
"    16 years and over","79.2%","±0.1","78.3%","±0.1","80.1%","±0.1"
"    18 years and over","76.5%","*****","75.4%","±0.1","77.5%","±0.1"
"    60 years and over","20.2%","±0.1","18.4%","±0.2","21.8%","±0.2"
"    62 years and over","17.7%","±0.1","16.0%","±0.1","19.4%","±0.1"
"    65 years and over","14.2%","±0.1","12.7%","±0.1","15.6%","±0.1"
"    75 years and over","6.0%","±0.1","5.0%","±0.1","7.0%","±0.1"
"SUMMARY INDICATORS","","","","","",""
"    Median age (years)","39.1","±0.1","37.7","±0.1","40.4","±0.1"
"    Sex ratio (males per 100 females)","95.3","±0.1","(X)","(X)","(X)","(X)"
"    Age dependency ratio","60.6","±0.1","(X)","(X)","(X)","(X)"
"    Old-age dependency ratio","22.8","±0.1","(X)","(X)","(X)","(X)"
"    Child dependency ratio","37.8","±0.1","(X)","(X)","(X)","(X)"
"PERCENT ALLOCATED","","","","","",""
"    Sex","0.1%","(X)","(X)","(X)","(X)","(X)"
"    Age","1.5%","(X)","(X)","(X)","(X)","(X)"
