,Label (Grouping),"Monterey County, California!!Total!!Estimate","Monterey County, California!!Male!!Estimate","Monterey County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,14.3%,14.3%,14.3%
22,    15 to 17 years,4.5%,4.5%,4.5%
23,    18 to 24 years,11.1%,11.7%,10.6%
24,    15 to 44 years,43.8%,45.7%,41.8%
25,    16 years and over,76.2%,76.1%,76.2%
26,    18 years and over,73.3%,73.3%,73.2%
27,    60 years and over,15.7%,13.9%,17.5%
28,    62 years and over,13.6%,11.9%,15.5%
29,    65 years and over,10.8%,9.2%,12.5%
30,    75 years and over,5.2%,4.0%,6.4%
