,Label (Grouping),"Yuba County, California!!Total!!Estimate","Yuba County, California!!Male!!Estimate","Yuba County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,15.6%,15.7%,15.6%
22,    15 to 17 years,4.3%,4.2%,4.3%
23,    18 to 24 years,10.8%,11.4%,10.3%
24,    15 to 44 years,41.3%,42.5%,40.2%
25,    16 years and over,74.9%,75.8%,74.0%
26,    18 years and over,71.6%,72.3%,70.9%
27,    60 years and over,16.3%,16.1%,16.6%
28,    62 years and over,13.5%,12.8%,14.2%
29,    65 years and over,10.4%,9.3%,11.5%
30,    75 years and over,4.4%,3.8%,5.1%
