,Label (Grouping),"San Luis Obispo County, California!!Total!!Estimate","San Luis Obispo County, California!!Male!!Estimate","San Luis Obispo County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.2%,10.2%,10.3%
22,    15 to 17 years,3.0%,3.0%,3.1%
23,    18 to 24 years,15.4%,16.5%,14.2%
24,    15 to 44 years,40.5%,42.6%,38.3%
25,    16 years and over,84.0%,84.1%,83.9%
26,    18 years and over,82.1%,82.1%,82.1%
27,    60 years and over,26.2%,24.2%,28.3%
28,    62 years and over,23.4%,21.4%,25.4%
29,    65 years and over,19.1%,17.6%,20.7%
30,    75 years and over,7.6%,6.6%,8.7%
