,Label (Grouping),"Nevada County, California!!Total!!Estimate","Nevada County, California!!Male!!Estimate","Nevada County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,10.1%,10.3%,9.8%
22,    15 to 17 years,3.4%,3.8%,3.0%
23,    18 to 24 years,6.9%,7.6%,6.2%
24,    15 to 44 years,30.5%,32.2%,28.8%
25,    16 years and over,84.6%,83.9%,85.3%
26,    18 years and over,82.2%,81.2%,83.2%
27,    60 years and over,33.2%,31.7%,34.7%
28,    62 years and over,29.6%,28.6%,30.6%
29,    65 years and over,23.4%,22.3%,24.5%
30,    75 years and over,9.4%,8.3%,10.4%
