,Label (Grouping),"Marin County, California!!Total!!Estimate","Marin County, California!!Male!!Estimate","Marin County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,12.2%,12.6%,11.8%
22,    15 to 17 years,3.4%,3.6%,3.3%
23,    18 to 24 years,6.3%,6.9%,5.8%
24,    15 to 44 years,31.8%,33.6%,30.2%
25,    16 years and over,81.6%,80.9%,82.3%
26,    18 years and over,79.5%,78.7%,80.2%
27,    60 years and over,27.2%,25.0%,29.3%
28,    62 years and over,23.9%,21.8%,25.8%
29,    65 years and over,19.5%,17.6%,21.2%
30,    75 years and over,8.1%,6.8%,9.4%
