,Label (Grouping),"Ventura County, California!!Total!!Estimate","Ventura County, California!!Male!!Estimate","Ventura County, California!!Female!!Estimate"
20,SELECTED AGE CATEGORIES,,,
21,    5 to 14 years,13.6%,13.9%,13.3%
22,    15 to 17 years,4.3%,4.4%,4.2%
23,    18 to 24 years,9.9%,10.3%,9.5%
24,    15 to 44 years,39.9%,41.0%,38.7%
25,    16 years and over,78.6%,78.1%,79.1%
26,    18 years and over,75.8%,75.1%,76.4%
27,    60 years and over,19.2%,17.7%,20.7%
28,    62 years and over,16.8%,15.3%,18.2%
29,    65 years and over,13.6%,12.2%,14.9%
30,    75 years and over,5.9%,4.9%,6.8%
